t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq
0.000000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.048048059,-0.032863074,0,-0.251889376,0
0.010000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.048051456,-0.032879498,0,-0.251889376,1
0.020000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.047933583,-0.032895921,0,-0.251889376,2
0.030000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.047574319,-0.032912344,0,-0.251889376,3
0.040000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.046853482,-0.032928768,0,-0.251889376,4
0.050000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.045650832,-0.032945191,0,-0.251889376,5
0.060000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.043846070,-0.032961614,0,-0.251889376,6
0.070000,-2.844000381,-0.235466051,0.000000000,0.000000000,-0.041319690,-0.032978038,0,-0.251889376,7
0.080000,-2.844000381,-0.235466051,0.000000000,-0.012783173,-0.037997931,-0.032994461,0,-0.251889376,8
0.090000,-2.844000381,-0.235466051,0.000000000,-0.025566346,-0.033874903,-0.033010884,0,-0.251889376,9
0.100000,-2.844000381,-0.236233041,0.000000000,-0.025566346,-0.028950205,-0.026379290,0,-0.251889376,10
0.110000,-2.844000381,-0.236233041,0.000000000,-0.012783173,-0.023223438,-0.028099370,0,-0.251889376,11
0.120000,-2.844000381,-0.236233041,0.000000000,0.000000000,-0.016694202,-0.029251308,0,-0.251889376,12
0.130000,-2.844000381,-0.236233041,0.000000000,0.000000000,-0.009362098,-0.030024486,0,-0.251889376,13
0.140000,-2.844000381,-0.236233041,0.000000000,0.000000000,-0.001226725,-0.030545157,0,-0.251889376,14
0.150000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.007712314,-0.030897489,0,-0.251889376,15
0.160000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.017455421,-0.031137596,0,-0.251889376,16
0.170000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.028002995,-0.031302886,0,-0.251889376,17
0.180000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.039355434,-0.031418299,0,-0.251889376,18
0.190000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.051513140,-0.031500459,0,-0.251889376,19
0.200000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.064476512,-0.031560451,0,-0.251889376,20
0.210000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.078245948,-0.031605665,0,-0.251889376,21
0.220000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.092821849,-0.031641026,0,-0.251889376,22
0.230000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.108204615,-0.031669819,0,-0.251889376,23
0.240000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.124394644,-0.031694233,0,-0.251889376,24
0.250000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.141371723,-0.031715728,0,-0.251889376,25
0.260000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.159035594,-0.031735276,0,-0.251889376,26
0.270000,-2.844000381,-0.236233041,0.000000000,0.000000000,0.177266536,-0.031753528,0,-0.251889376,27
0.280000,-2.844000381,-0.236233041,0.012783173,0.000000000,0.195944768,-0.031770914,0,-0.251889376,28
0.290000,-2.844000381,-0.236233041,0.025566346,0.000000000,0.214950450,-0.031787724,0,-0.251889376,29
0.300000,-2.843233390,-0.236233041,0.025566346,-0.012783173,0.227515662,-0.031804149,0,-0.251889376,30
0.310000,-2.843233390,-0.236233041,0.012783173,-0.025566346,0.248558992,-0.031820318,0,-0.251889376,31
0.320000,-2.843233390,-0.237000032,0.012783173,-0.025566346,0.269173706,-0.025188299,0,-0.251889376,32
0.330000,-2.843233390,-0.237000032,0.025566346,-0.012783173,0.289541029,-0.026907839,0,-0.251889376,33
0.340000,-2.842466400,-0.237000032,0.038349520,0.000000000,0.303222862,-0.028059162,0,-0.251889376,34
0.350000,-2.842466400,-0.237000032,0.051132693,0.000000000,0.325423229,-0.028831674,0,-0.251889376,35
0.360000,-2.841699410,-0.237000032,0.063915866,0.000000000,0.340750632,-0.029351645,0,-0.251889376,36
0.370000,-2.840932419,-0.237000032,0.089482213,0.000000000,0.357903816,-0.029703256,0,-0.251889376,37
0.380000,-2.840165429,-0.237000032,0.115048559,0.000000000,0.376586173,-0.029942626,0,-0.251889376,38
0.390000,-2.838631448,-0.237000032,0.140614906,0.000000000,0.389968969,-0.030107169,0,-0.251889376,39
0.400000,-2.837097467,-0.237000032,0.153398079,-0.012783173,0.406236110,-0.030221828,0,-0.251889376,40
0.410000,-2.835563486,-0.237000032,0.166181252,-0.025566346,0.424696315,-0.030303230,0,-0.251889376,41
0.420000,-2.834029506,-0.237767022,0.191747598,-0.025566346,0.444888864,-0.023714444,0,-0.251889376,42
0.430000,-2.831728534,-0.237767022,0.230097118,-0.012783173,0.459858724,-0.025462551,0,-0.251889376,43
0.440000,-2.829427563,-0.237767022,0.268446638,-0.012783173,0.477753026,-0.026632663,0,-0.251889376,44
0.450000,-2.826359602,-0.237767022,0.294012984,-0.025566346,0.491219383,-0.027417445,0,-0.251889376,45
