t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq
0.000000,2.518029463,-0.078233020,-0.000000000,-0.000000000,0.100000000,0.053783291,0,-0.051354814,0
0.010000,2.518029463,-0.078233020,-0.000000000,0.012783173,0.163967176,0.053810170,0,-0.051354814,1
0.020000,2.518029463,-0.077466030,0.012783173,0.025566346,0.163907203,0.047189031,0,-0.051354814,2
0.030000,2.518029463,-0.077466030,0.038349520,0.012783173,0.163605838,0.048919565,0,-0.051354814,3
0.040000,2.518796454,-0.077466030,0.051132693,0.012783173,0.156294884,0.050081958,0,-0.051354814,4
0.050000,2.519563444,-0.077466030,0.051132693,0.025566346,0.150205774,0.050865591,0,-0.051354814,5
0.060000,2.519563444,-0.076699039,0.051132693,0.038349520,0.151311806,0.044748699,0,-0.051354814,6
0.070000,2.520330434,-0.076699039,0.063915866,0.038349520,0.144245268,0.046815143,0,-0.051354814,7
0.080000,2.521097425,-0.075932049,0.063915866,0.038349520,0.137717895,0.041553203,0,-0.051354814,8
0.090000,2.521864415,-0.075932049,0.051132693,0.038349520,0.131365077,0.044189358,0,-0.051354814,9
0.100000,2.521864415,-0.075165059,0.051132693,0.038349520,0.131511597,0.039306971,0,-0.051354814,10
0.110000,2.522631406,-0.075165059,0.063915866,0.051132693,0.122943833,0.042195906,0,-0.051354814,11
0.120000,2.523398396,-0.074398068,0.076699039,0.051132693,0.114478014,0.037481782,0,-0.051354814,12
0.130000,2.524165386,-0.073631078,0.063915866,0.051132693,0.105858625,0.033834620,0,-0.051354814,13
0.140000,2.524932377,-0.073631078,0.051132693,0.038349520,0.096866872,0.037546527,0,-0.051354814,14
0.150000,2.524932377,-0.072864087,0.051132693,0.038349520,0.094057726,0.033380540,0,-0.051354814,15
0.160000,2.525699367,-0.072864087,0.063915866,0.038349520,0.082407523,0.036746309,0,-0.051354814,16
0.170000,2.526466358,-0.072097097,0.063915866,0.038349520,0.070834710,0.032349307,0,-0.051354814,17
