t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq
0.000000,-0.875136039,0.047553404,-0.000000000,0.000000000,0.071345742,0.034269550,1,-0.839480996,0
0.010000,-0.875136039,0.047553404,-0.000000000,0.000000000,0.071381397,0.034300419,1,-0.839480996,1
0.020000,-0.875136039,0.047553404,0.000000000,0.000000000,0.071417052,0.034412136,1,-0.839480996,2
0.030000,-0.875136039,0.047553404,0.012783173,0.012783173,0.071452707,0.034684363,1,-0.839480996,3
0.040000,-0.875136039,0.047553404,0.025566346,0.025566346,0.071488362,0.035162598,1,-0.839480996,4
0.050000,-0.874369049,0.048320395,0.025566346,0.025566346,0.064876000,0.029172219,1,-0.839480996,5
0.060000,-0.874369049,0.048320395,0.025566346,0.025566346,0.066615311,0.031682580,1,-0.839480996,6
0.070000,-0.874369049,0.048320395,0.025566346,0.025566346,0.067786481,0.033754490,1,-0.839480996,7
0.080000,-0.873602059,0.049087385,0.025566346,0.025566346,0.061930873,0.028900054,1,-0.839480996,8
0.090000,-0.873602059,0.049087385,0.025566346,0.025566346,0.064174432,0.032230185,1,-0.839480996,9
0.100000,-0.873602059,0.049087385,0.025566346,0.025566346,0.065681511,0.034878920,1,-0.839480996,10
0.110000,-0.872835068,0.049854376,0.025566346,0.038349520,0.060049587,0.030417654,1,-0.839480996,11
0.120000,-0.872835068,0.049854376,0.025566346,0.038349520,0.062442013,0.033995567,1,-0.839480996,12
0.130000,-0.872835068,0.050621366,0.025566346,0.025566346,0.064048081,0.030206571,1,-0.839480996,13
0.140000,-0.872068078,0.050621366,0.025566346,0.025566346,0.058481894,0.034339396,1,-0.839480996,14
0.150000,-0.872068078,0.050621366,0.025566346,0.025566346,0.060917888,0.037649784,1,-0.839480996,15
0.160000,-0.872068078,0.051388356,0.025566346,0.038349520,0.062552747,0.033844794,1,-0.839480996,16
0.170000,-0.871301088,0.051388356,0.038349520,0.038349520,0.057005498,0.038150171,1,-0.839480996,17
0.180000,-0.871301088,0.052155347,0.038349520,0.038349520,0.059453861,0.035122767,1,-0.839480996,18
0.190000,-0.870534097,0.052155347,0.025566346,0.038349520,0.054448694,0.040068579,1,-0.839480996,19
0.200000,-0.870534097,0.052922337,0.025566346,0.038349520,0.057258189,0.037642321,1,-0.839480996,20
0.210000,-0.870534097,0.052922337,0.025566346,0.038349520,0.059141537,0.043143960,1,-0.839480996,21
0.220000,-0.869767107,0.053689328,0.025566346,0.038349520,0.053759437,0.041202891,1,-0.839480996,22
0.230000,-0.869767107,0.053689328,0.012783173,0.051132693,0.056317388,0.047126953,1,-0.839480996,23
0.240000,-0.869767107,0.054456318,0.012783173,0.051132693,0.058032785,0.045591527,1,-0.839480996,24
0.250000,-0.869767107,0.055223308,0.025566346,0.051132693,0.059186477,0.045254944,1,-0.839480996,25
0.260000,-0.869000116,0.055223308,0.025566346,0.051132693,0.053317684,0.052385025,1,-0.839480996,26
0.270000,-0.869000116,0.055990299,0.025566346,0.051132693,0.055550918,0.051759714,1,-0.839480996,27
0.280000,-0.869000116,0.056757289,0.025566346,0.051132693,0.057049581,0.052113452,1,-0.839480996,28
0.290000,-0.868233126,0.056757289,0.025566346,0.051132693,0.051410512,0.059754603,1,-0.839480996,29
0.300000,-0.868233126,0.057524280,0.025566346,0.063915866,0.053796640,0.059441049,1,-0.839480996,30
0.310000,-0.868233126,0.058291270,0.025566346,0.076699039,0.055396976,0.059918637,1,-0.839480996,31
0.320000,-0.867466136,0.059058260,0.025566346,0.063915866,0.049825433,0.060845414,1,-0.839480996,32
0.330000,-0.867466136,0.059825251,0.012783173,0.051132693,0.052256323,0.061980587,1,-0.839480996,33
0.340000,-0.867466136,0.059825251,0.012783173,0.051132693,0.053886245,0.069845148,1,-0.839480996,34
0.350000,-0.867466136,0.060592241,0.025566346,0.063915866,0.054982188,0.069409241,1,-0.839480996,35
0.360000,-0.866699145,0.061359232,0.025566346,0.076699039,0.049074127,0.069575767,1,-0.839480996,36
0.370000,-0.866699145,0.062126222,0.025566346,0.076699039,0.051280417,0.070175873,1,-0.839480996,37
0.380000,-0.866699145,0.062893212,0.025566346,0.076699039,0.052760349,0.071082376,1,-0.839480996,38
0.390000,-0.865932155,0.063660203,0.025566346,0.089482213,0.047108026,0.072191356,1,-0.839480996,39
0.400000,-0.865932155,0.064427193,0.012783173,0.102265386,0.049484551,0.073436944,1,-0.839480996,40
0.410000,-0.865932155,0.065961174,0.012783173,0.102265386,0.051077718,0.068136572,1,-0.839480996,41
0.420000,-0.865932155,0.066728164,0.025566346,0.089482213,0.052148646,0.071222520,1,-0.839480996,42
0.430000,-0.865165164,0.067495155,0.025566346,0.076699039,0.046223398,0.073724283,1,-0.839480996,43
0.440000,-0.865165164,0.068262145,0.025566346,0.076699039,0.048417718,0.075771897,1,-0.839480996,44
0.450000,-0.865165164,0.069029135,0.025566346,0.089482213,0.049889159,0.077435580,1,-0.839480996,45
0.460000,-0.864398174,0.069796126,0.025566346,0.102265386,0.044230664,0.078726274,1,-0.839480996,46
0.470000,-0.864398174,0.071330107,0.012783173,0.102265386,0.046602562,0.072968070,1,-0.839480996,47
0.480000,-0.864398174,0.072097097,0.012783173,0.089482213,0.048192134,0.075115750,1,-0.839480996,48
0.490000,-0.864398174,0.072864087,0.025566346,0.076699039,0.049260154,0.076202314,1,-0.839480996,49
0.500000,-0.863631184,0.073631078,0.025566346,0.089482213,0.043332456,0.076454872,1,-0.839480996,50
0.510000,-0.863631184,0.074398068,0.012783173,0.102265386,0.045524631,0.076089022,1,-0.839480996,51
0.520000,-0.863631184,0.075932049,0.012783173,0.102265386,0.046994131,0.068627657,1,-0.839480996,52
0.530000,-0.863631184,0.076699039,0.025566346,0.089482213,0.047981847,0.069211072,1,-0.839480996,53
0.540000,-0.862864193,0.077466030,0.025566346,0.076699039,0.042000358,0.069039862,1,-0.839480996,54
0.550000,-0.862864193,0.078233020,0.025566346,0.089482213,0.044156416,0.068410372,1,-0.839480996,55
0.560000,-0.862864193,0.079000011,0.025566346,0.102265386,0.045601582,0.067517716,1,-0.839480996,56
0.570000,-0.862097203,0.080533991,0.025566346,0.102265386,0.039924804,0.059766066,1,-0.839480996,57
0.580000,-0.862097203,0.081300982,0.012783173,0.089482213,0.042283747,0.060231682,1,-0.839480996,58
0.590000,-0.862097203,0.082067972,0.012783173,0.076699039,0.043863914,0.060042968,1,-0.839480996,59
0.600000,-0.862097203,0.082834963,0.025566346,0.076699039,0.044924898,0.059417745,1,-0.839480996,60
0.610000,-0.861330212,0.083601953,0.025566346,0.076699039,0.038991742,0.058501262,1,-0.839480996,61
0.620000,-0.861330212,0.084368943,0.012783173,0.063915866,0.041179511,0.057390347,1,-0.839480996,62
0.630000,-0.861330212,0.085135934,0.012783173,0.051132693,0.042645307,0.056134179,1,-0.839480996,63
0.640000,-0.861330212,0.085135934,0.025566346,0.051132693,0.043629787,0.061355138,1,-0.839480996,64
0.650000,-0.860563222,0.085902924,0.025566346,0.063915866,0.037645373,0.058004120,1,-0.839480996,65
0.660000,-0.860563222,0.086669915,0.025566346,0.076699039,0.039798714,0.054983009,1,-0.839480996,66
0.670000,-0.860563222,0.087436905,0.025566346,0.076699039,0.041241303,0.052071873,1,-0.839480996,67
0.680000,-0.859796232,0.088203895,0.025566346,0.076699039,0.035562039,0.049139793,1,-0.839480996,68
0.690000,-0.859796232,0.088970886,0.012783173,0.063915866,0.037918557,0.046117069,1,-0.839480996,69
0.700000,-0.859796232,0.089737876,0.012783173,0.051132693,0.039496342,0.042958326,1,-0.839480996,70
0.710000,-0.859796232,0.089737876,0.025566346,0.051132693,0.040554970,0.046237494,1,-0.839480996,71
0.720000,-0.859029241,0.090504866,0.025566346,0.051132693,0.034619476,0.040940775,1,-0.839480996,72
0.730000,-0.859029241,0.091271857,0.012783173,0.051132693,0.036804920,0.035994970,1,-0.839480996,73
0.740000,-0.859029241,0.091271857,0.012783173,0.038349520,0.038268398,0.037826313,1,-0.839480996,74
0.750000,-0.859029241,0.092038847,0.025566346,0.038349520,0.039250567,0.031318948,1,-0.839480996,75
0.760000,-0.858262251,0.092038847,0.025566346,0.038349520,0.033263845,0.031969599,1,-0.839480996,76
0.770000,-0.858262251,0.092805838,0.012783173,0.038349520,0.035414880,0.024496281,1,-0.839480996,77
0.780000,-0.858262251,0.092805838,0.012783173,0.038349520,0.036855165,0.024302394,1,-0.839480996,78
0.790000,-0.858262251,0.093572828,0.025566346,0.025566346,0.037821614,0.016103266,1,-0.839480996,79
0.800000,-0.857495260,0.093572828,0.025566346,0.025566346,0.031824158,0.015283767,1,-0.839480996,80
0.810000,-0.857495260,0.093572828,0.012783173,0.025566346,0.033967781,0.013179949,1,-0.839480996,81
0.820000,-0.857495260,0.094339818,0.012783173,0.025566346,0.035402868,0.003474318,1,-0.839480996,82
0.830000,-0.857495260,0.094339818,0.025566346,0.012783173,0.036365597,0.001417932,1,-0.839480996,83
0.840000,-0.856728270,0.094339818,0.025566346,0.000000000,0.030365405,-0.001744362,1,-0.839480996,84
0.850000,-0.856728270,0.094339818,0.012783173,0.000000000,0.032506949,-0.005683836,1,-0.839480996,85
0.860000,-0.856728270,0.094339818,0.012783173,0.000000000,0.033940393,-0.010168575,1,-0.839480996,86
0.870000,-0.856728270,0.094339818,0.025566346,0.000000000,0.034901773,-0.015040679,1,-0.839480996,87
0.880000,-0.855961280,0.094339818,0.025566346,0.000000000,0.028900424,-0.020204541,1,-0.839480996,88
0.890000,-0.855961280,0.094339818,0.012783173,-0.012783173,0.031040941,-0.025575809,1,-0.839480996,89
0.900000,-0.855961280,0.094339818,0.012783173,-0.025566346,0.032473446,-0.031098544,1,-0.839480996,90
0.910000,-0.855961280,0.093572828,0.025566346,-0.025566346,0.033433943,-0.030092311,1,-0.839480996,91
0.920000,-0.855194289,0.093572828,0.025566346,-0.025566346,0.027431751,-0.037576706,1,-0.839480996,92
0.930000,-0.855194289,0.093572828,0.012783173,-0.025566346,0.029571450,-0.044629012,1,-0.839480996,93
0.940000,-0.855194289,0.092805838,0.012783173,-0.038349520,0.031003154,-0.044785528,1,-0.839480996,94
0.950000,-0.855194289,0.092805838,0.025566346,-0.038349520,0.031962861,-0.053191949,1,-0.839480996,95
0.960000,-0.854427299,0.092038847,0.025566346,-0.038349520,0.025959887,-0.054342291,1,-0.839480996,96
0.970000,-0.854427299,0.092038847,0.012783173,-0.051132693,0.028098809,-0.063442530,1,-0.839480996,97
0.980000,-0.854427299,0.091271857,0.012783173,-0.063915866,0.029529739,-0.065052928,1,-0.839480996,98
0.990000,-0.854427299,0.090504866,0.025566346,-0.076699039,0.030488675,-0.067799740,1,-0.839480996,99
1.000000,-0.853660308,0.089737876,0.025566346,-0.076699039,0.024484930,-0.071313983,1,-0.839480996,100
1.010000,-0.853660308,0.088970886,0.012783173,-0.076699039,0.026623083,-0.075306176,1,-0.839480996,101
1.020000,-0.853660308,0.088203895,0.000000000,-0.076699039,0.028053245,-0.079571036,1,-0.839480996,102
1.030000,-0.853660308,0.087436905,0.012783173,-0.076699039,0.029011413,-0.083951597,1,-0.839480996,103
1.040000,-0.853660308,0.086669915,0.025566346,-0.076699039,0.029654918,-0.088313042,1,-0.839480996,104
1.050000,-0.852893318,0.085902924,0.025566346,-0.089482213,0.023440630,-0.092552852,1,-0.839480996,105
1.060000,-0.852893318,0.085135934,0.012783173,-0.102265386,0.025438166,-0.096593472,1,-0.839480996,106
1.070000,-0.852893318,0.083601953,0.012783173,-0.115048559,0.026774327,-0.093727611,1,-0.839480996,107
1.080000,-0.852893318,0.082834963,0.025566346,-0.127831732,0.027669572,-0.098933705,1,-0.839480996,108
1.090000,-0.852126328,0.081300982,0.025566346,-0.127831732,0.021622856,-0.096609752,1,-0.839480996,109
1.100000,-0.852126328,0.079767001,0.012783173,-0.127831732,0.023731850,-0.095253723,1,-0.839480996,110
1.110000,-0.852126328,0.079000011,0.000000000,-0.127831732,0.025142061,-0.101061660,1,-0.839480996,111
1.120000,-0.852126328,0.077466030,0.012783173,-0.140614906,0.026086417,-0.098691581,1,-0.839480996,112
1.130000,-0.852126328,0.075932049,0.025566346,-0.153398079,0.026720203,-0.096902634,1,-0.839480996,113
1.140000,-0.851359337,0.074398068,0.025566346,-0.153398079,0.020498924,-0.095404188,1,-0.839480996,114
1.150000,-0.851359337,0.072864087,0.012783173,-0.153398079,0.022491288,-0.094022589,1,-0.839480996,115
1.160000,-0.851359337,0.071330107,0.000000000,-0.140614906,0.023823490,-0.092601585,1,-0.839480996,116
1.170000,-0.851359337,0.069796126,0.012783173,-0.127831732,0.024715584,-0.091030524,1,-0.839480996,117
1.180000,-0.851359337,0.069029135,0.025566346,-0.127831732,0.025314273,-0.095905067,1,-0.839480996,118
1.190000,-0.850592347,0.067495155,0.025566346,-0.140614906,0.019069342,-0.092242108,1,-0.839480996,119
1.200000,-0.850592347,0.065961174,0.012783173,-0.153398079,0.021045681,-0.089013133,1,-0.839480996,120
1.210000,-0.850592347,0.064427193,0.000000000,-0.153398079,0.022366944,-0.086089888,1,-0.839480996,121
1.220000,-0.850592347,0.062893212,0.000000000,-0.153398079,0.023251490,-0.083413555,1,-0.839480996,122
