t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.000000,4.108767540,-0.134990309,-0.000000000,0.000000000,0.027248528,-0.003648491,0,-0.136813643,0,-0.967266,1.402238
0.010000,4.108767540,-0.134990309,-0.000000000,0.000000000,0.027262145,-0.003650314,0,-0.136813643,1,-0.967266,1.402238
0.020000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027275763,-0.003652137,0,-0.136813643,2,-0.967266,1.402238
0.030000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027289380,-0.003653961,0,-0.136813643,3,-0.967266,1.402238
0.040000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027302997,-0.003655784,0,-0.136813643,4,-0.967266,1.402238
0.050000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027316615,-0.003657607,0,-0.136813643,5,-0.967266,1.402238
0.060000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027330232,-0.003659431,0,-0.136813643,6,-0.967266,1.402238
0.070000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027343850,-0.003661254,0,-0.136813643,7,-0.967266,1.402238
0.080000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027357467,-0.003663077,0,-0.136813643,8,-0.967266,1.402238
0.090000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027371085,-0.003664901,0,-0.136813643,9,-0.967266,1.402238
0.100000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027384702,-0.003666724,0,-0.136813643,10,-0.967266,1.402238
0.110000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027398320,-0.003668547,0,-0.136813643,11,-0.967266,1.402238
0.120000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027411937,-0.003670371,0,-0.136813643,12,-0.967265,1.402238
0.130000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027425555,-0.003672194,0,-0.136813643,13,-0.967265,1.402238
0.140000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027439172,-0.003674017,0,-0.136813643,14,-0.967265,1.402238
0.150000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027452789,-0.003675841,0,-0.136813643,15,-0.967265,1.402238
0.160000,4.108767540,-0.134990309,0.000000000,0.000000000,0.027466407,-0.003677664,0,-0.136813643,16,-0.967265,1.402238
