t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.000000,-1.472621556,0.156466040,-0.000000000,0.000000000,-0.100000000,-0.100000000,0,0.101342456,0,0.166948,1.695288
0.010000,-1.472621556,0.156466040,-0.000000000,0.000000000,-0.136413925,-0.110357415,0,0.101342456,1,0.166947,1.695288
0.020000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.136340189,-0.110412539,0,0.101342456,2,0.166946,1.695288
0.030000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.136025061,-0.110467662,0,0.101342456,3,0.166945,1.695288
0.040000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.135348361,-0.110522786,0,0.101342456,4,0.166944,1.695289
0.050000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.134189849,-0.110577910,0,0.101342456,5,0.166943,1.695289
0.060000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.132429223,-0.110633033,0,0.101342456,6,0.166942,1.695289
0.070000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.129946981,-0.110688157,0,0.101342456,7,0.166941,1.695289
0.080000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.126669359,-0.110743280,0,0.101342456,8,0.166940,1.695289
0.090000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.122590468,-0.110798404,0,0.101342456,9,0.166939,1.695289
0.100000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.117709907,-0.110853527,0,0.101342456,10,0.166938,1.695289
0.110000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.112027277,-0.110908651,0,0.101342456,11,0.166937,1.695289
0.120000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.105542178,-0.110963775,0,0.101342456,12,0.166936,1.695289
0.130000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.098254211,-0.111018898,0,0.101342456,13,0.166936,1.695289
0.140000,-1.472621556,0.156466040,0.000000000,0.000000000,-0.090162976,-0.111074022,0,0.101342456,14,0.166935,1.695289
0.150000,-1.472621556,0.156466040,0.000000000,-0.012783173,-0.081268073,-0.111129145,0,0.101342456,15,0.166934,1.695289
0.160000,-1.472621556,0.156466040,0.000000000,-0.025566346,-0.071569104,-0.111184269,0,0.101342456,16,0.166934,1.695290
0.170000,-1.472621556,0.155699050,0.000000000,-0.025566346,-0.061065667,-0.104591375,0,0.101342456,17,0.166933,1.695290
0.180000,-1.472621556,0.155699050,0.000000000,-0.012783173,-0.049757364,-0.106350155,0,0.101342456,18,0.166933,1.695290
0.190000,-1.472621556,0.155699050,0.000000000,0.000000000,-0.037643796,-0.107540794,0,0.101342456,19,0.166933,1.695290
0.200000,-1.472621556,0.155699050,0.000000000,0.000000000,-0.024724562,-0.108352672,0,0.101342456,20,0.166932,1.695290
0.210000,-1.472621556,0.155699050,0.000000000,0.000000000,-0.010999262,-0.108912043,0,0.101342456,21,0.166932,1.695290
0.220000,-1.472621556,0.155699050,0.000000000,0.000000000,0.003532502,-0.109303075,0,0.101342456,22,0.166932,1.695290
0.230000,-1.472621556,0.155699050,0.000000000,0.000000000,0.018871130,-0.109581883,0,0.101342456,23,0.166932,1.695290
0.240000,-1.472621556,0.155699050,0.000000000,0.000000000,0.035017023,-0.109785873,0,0.101342456,24,0.166933,1.695290
0.250000,-1.472621556,0.155699050,0.000000000,0.000000000,0.051970579,-0.109939986,0,0.101342456,25,0.166933,1.695290
0.260000,-1.472621556,0.155699050,0.000000000,0.000000000,0.069732198,-0.110060846,0,0.101342456,26,0.166934,1.695290
0.270000,-1.472621556,0.155699050,0.000000000,0.000000000,0.088302279,-0.110159539,0,0.101342456,27,0.166934,1.695289
0.280000,-1.472621556,0.155699050,0.000000000,0.000000000,0.107681223,-0.110243453,0,0.101342456,28,0.166935,1.695289
0.290000,-1.472621556,0.155699050,0.000000000,0.000000000,0.127869429,-0.110317514,0,0.101342456,29,0.166936,1.695289
0.300000,-1.472621556,0.155699050,0.000000000,0.000000000,0.148846682,-0.110385007,0,0.101342456,30,0.166937,1.695289
0.310000,-1.472621556,0.155699050,0.000000000,0.000000000,0.170512726,-0.110448122,0,0.101342456,31,0.166939,1.695289
0.320000,-1.472621556,0.155699050,0.000000000,-0.012783173,0.192747839,-0.110508317,0,0.101342456,32,0.166941,1.695289
0.330000,-1.472621556,0.155699050,0.000000000,-0.025566346,0.215432239,-0.110566566,0,0.101342456,33,0.166944,1.695289
0.340000,-1.472621556,0.154932060,0.000000000,-0.025566346,0.238446088,-0.103975500,0,0.101342456,34,0.166962,1.695287
0.350000,-1.472621556,0.154932060,0.012783173,-0.012783173,0.261669482,-0.105735243,0,0.101342456,35,0.167036,1.695279
0.360000,-1.472621556,0.154932060,0.025566346,-0.012783173,0.284982461,-0.106926268,0,0.101342456,36,0.167235,1.695260
0.370000,-1.471854566,0.154932060,0.038349520,-0.025566346,0.301616988,-0.107738147,0,0.101342456,37,0.167640,1.695220
0.380000,-1.471854566,0.154165069,0.051132693,-0.038349520,0.326452671,-0.101649247,0,0.101342456,38,0.168318,1.695153
0.390000,-1.471087576,0.154165069,0.063915866,-0.063915866,0.343801539,-0.103743510,0,0.101342456,39,0.169326,1.695052
0.400000,-1.470320585,0.153398079,0.089482213,-0.089482213,0.362125671,-0.098509277,0,0.101342456,40,0.170722,1.694912
0.410000,-1.469553595,0.151864098,0.115048559,-0.115048559,0.381064234,-0.087877028,0,0.101342456,41,0.172556,1.694727
0.420000,-1.468019614,0.151097108,0.153398079,-0.127831732,0.393794537,-0.086429532,0,0.101342456,42,0.174855,1.694491
0.430000,-1.466485633,0.149563127,0.191747598,-0.140614906,0.408576907,-0.078321009,0,0.101342456,43,0.177645,1.694201
0.440000,-1.464184662,0.148029146,0.217313945,-0.153398079,0.418025459,-0.071907213,0,0.101342456,44,0.180948,1.693851
0.450000,-1.461883691,0.146495165,0.242880291,-0.153398079,0.429906589,-0.066622723,0,0.101342456,45,0.184775,1.693438
0.460000,-1.459582720,0.144961184,0.268446638,-0.166181252,0.443262520,-0.062090593,0,0.101342456,46,0.189132,1.692957
0.470000,-1.456514758,0.143427204,0.306796158,-0.178964425,0.450940431,-0.058059524,0,0.101342456,47,0.194038,1.692401
0.480000,-1.453446797,0.141126232,0.345145677,-0.191747598,0.461021354,-0.047713969,0,0.101342456,48,0.199507,1.691765
0.490000,-1.449611845,0.139592252,0.370712024,-0.191747598,0.466148748,-0.045941928,0,0.101342456,49,0.205537,1.691043
0.500000,-1.445776893,0.137291281,0.396278370,-0.178964425,0.474242005,-0.037101113,0,0.101342456,50,0.212125,1.690230
