t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.000000,-2.274893508,-0.103543703,-0.000000000,-0.000000000,0.022794605,-0.023754270,1,-2.263501902,0,-1.102541,1.298567
0.010000,-2.274893508,-0.103543703,-0.000000000,-0.000000000,0.022805996,-0.023766141,1,-2.263501902,1,-1.102541,1.298567
0.020000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022817388,-0.023778012,1,-2.263501902,2,-1.102541,1.298567
0.030000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022828779,-0.023789883,1,-2.263501902,3,-1.102541,1.298568
0.040000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022840171,-0.023801755,1,-2.263501902,4,-1.102540,1.298568
0.050000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022851563,-0.023827369,1,-2.263501902,5,-1.102540,1.298568
0.060000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022862954,-0.023933830,1,-2.263501902,6,-1.102540,1.298568
0.070000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022874346,-0.024201219,1,-2.263501902,7,-1.102540,1.298568
0.080000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022885737,-0.024709656,1,-2.263501902,8,-1.102539,1.298569
0.090000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022897129,-0.025539302,1,-2.263501902,9,-1.102539,1.298569
0.100000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022908521,-0.026770356,1,-2.263501902,10,-1.102539,1.298569
0.110000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022919912,-0.028476970,1,-2.263501902,11,-1.102539,1.298569
0.120000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022931304,-0.030683719,1,-2.263501902,12,-1.102538,1.298569
0.130000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022942695,-0.033391013,1,-2.263501902,13,-1.102538,1.298570
0.140000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022954087,-0.036599101,1,-2.263501902,14,-1.102538,1.298570
0.150000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022965479,-0.040308234,1,-2.263501902,15,-1.102538,1.298570
0.160000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022976870,-0.044518662,1,-2.263501902,16,-1.102538,1.298570
0.170000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022988262,-0.049223006,1,-2.263501902,17,-1.102537,1.298570
0.180000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.022999654,-0.054362642,1,-2.263501902,18,-1.102537,1.298571
0.190000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023011045,-0.059857810,1,-2.263501902,19,-1.102537,1.298571
0.200000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023022437,-0.065628648,1,-2.263501902,20,-1.102537,1.298571
0.210000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023033828,-0.071595251,1,-2.263501902,21,-1.102536,1.298571
0.220000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023045220,-0.077677675,1,-2.263501902,22,-1.102536,1.298571
0.230000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023056612,-0.083795938,1,-2.263501902,23,-1.102536,1.298572
0.240000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023068003,-0.089870016,1,-2.263501902,24,-1.102536,1.298572
0.250000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023079395,-0.095819845,1,-2.263501902,25,-1.102535,1.298572
0.260000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023090786,-0.101565321,1,-2.263501902,26,-1.102535,1.298572
0.270000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023102178,-0.107026302,1,-2.263501902,27,-1.102535,1.298572
0.280000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023113570,-0.112122602,1,-2.263501902,28,-1.102535,1.298573
0.290000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023124961,-0.116774571,1,-2.263501902,29,-1.102534,1.298573
0.300000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023136353,-0.120933050,1,-2.263501902,30,-1.102534,1.298573
0.310000,-2.274893508,-0.103543703,0.000000000,0.000000000,0.023147744,-0.124594128,1,-2.263501902,31,-1.102534,1.298573
0.320000,-2.274893508,-0.103543703,0.000000000,-0.012783173,0.023159136,-0.127757557,1,-2.263501902,32,-1.102534,1.298573
0.330000,-2.274893508,-0.103543703,0.000000000,-0.025566346,0.023170528,-0.130423086,1,-2.263501902,33,-1.102533,1.298574
0.340000,-2.274893508,-0.104310694,0.000000000,-0.025566346,0.023181919,-0.125942448,1,-2.263501902,34,-1.102533,1.298574
0.350000,-2.274893508,-0.104310694,0.000000000,-0.025566346,0.023193311,-0.129315085,1,-2.263501902,35,-1.102533,1.298574
0.360000,-2.274893508,-0.104310694,0.000000000,-0.038349520,0.023204702,-0.131620933,1,-2.263501902,36,-1.102532,1.298575
0.370000,-2.274893508,-0.105077684,0.000000000,-0.051132693,0.023216094,-0.126401104,1,-2.263501902,37,-1.102532,1.298575
0.380000,-2.274893508,-0.105844674,0.000000000,-0.051132693,0.023227486,-0.122133278,1,-2.263501902,38,-1.102532,1.298575
0.390000,-2.274893508,-0.105844674,0.000000000,-0.051132693,0.023238877,-0.124981248,1,-2.263501902,39,-1.102531,1.298575
0.400000,-2.274893508,-0.106611665,0.000000000,-0.063915866,0.023250269,-0.119622427,1,-2.263501902,40,-1.102531,1.298576
0.410000,-2.274893508,-0.107378655,0.000000000,-0.063915866,0.023261660,-0.114761281,1,-2.263501902,41,-1.102531,1.298576
0.420000,-2.274893508,-0.108145646,0.000000000,-0.051132693,0.023273052,-0.110064781,1,-2.263501902,42,-1.102531,1.298576
0.430000,-2.274893508,-0.108145646,0.000000000,-0.051132693,0.023284444,-0.111961183,1,-2.263501902,43,-1.102530,1.298576
0.440000,-2.274893508,-0.108912636,0.000000000,-0.063915866,0.023295835,-0.105340236,1,-2.263501902,44,-1.102530,1.298576
0.450000,-2.274893508,-0.109679626,0.000000000,-0.063915866,0.023307227,-0.099089028,1,-2.263501902,45,-1.102530,1.298577
0.460000,-2.274893508,-0.110446617,0.000000000,-0.038349520,0.023318619,-0.092998045,1,-2.263501902,46,-1.102530,1.298577
0.470000,-2.274893508,-0.110446617,0.000000000,-0.025566346,0.023330010,-0.093503097,1,-2.263501902,47,-1.102530,1.298577
0.480000,-2.274893508,-0.110446617,0.000000000,-0.025566346,0.023341402,-0.092127457,1,-2.263501902,48,-1.102530,1.298577
0.490000,-2.274893508,-0.111213607,0.000000000,-0.025566346,0.023352793,-0.082688037,1,-2.263501902,49,-1.102530,1.298577
