t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid
0.0028,-2.407606,0.022923,-0.000374,-0.005131,0.000000,-0.000226,0,-0.213576,80,0.000000,0.000000,-2.407606,0.003084,-2.369479,-0.000374,-2.407606,-2.369479,-0.000374,0.022923,-0.005131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369479,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022901,-0.005131,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.000374,0.000000,0.000000,9.810000,-2.369479,0.000000,0.000000,100,1,0,0.000000,0,-2.369479,0.000000,0.000000,0,0.022904,0.000000,-0.000226,-2.369479,0.022904,1,1,1
0.0129,-2.407574,0.022914,-0.000511,-0.000152,0.001696,-0.000732,0,-0.213576,80,0.000000,0.000000,-2.407574,0.003126,-2.369487,-0.000511,-2.407606,-2.369487,-0.000511,0.022914,-0.000152,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.110000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369487,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022890,-0.000152,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.000511,0.000000,0.000000,9.810000,-2.369487,0.000000,0.000000,100,1,0,0.000000,0,-2.369345,0.000000,0.001696,0,0.022837,0.000000,-0.000732,-2.369345,0.022837,1,1,1
0.0228,-2.407543,0.022886,-0.000370,-0.000086,0.011547,-0.005436,0,-0.213576,80,0.000000,0.000000,-2.407543,0.003123,-2.369491,-0.000370,-2.407606,-2.369491,-0.000370,0.022886,-0.000086,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.110000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369491,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022889,-0.000086,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.000370,0.000000,0.000000,9.810000,-2.369491,0.000000,0.000000,100,1,0,0.000000,0,-2.368411,0.000000,0.011547,0,0.022370,0.000000,-0.005436,-2.368411,0.022370,1,1,1
0.0329,-2.407512,0.022899,-0.000175,-0.000562,0.032610,-0.016401,0,-0.213576,80,0.000000,0.000000,-2.407512,0.003091,-2.369493,-0.000175,-2.407606,-2.369493,-0.000175,0.022899,-0.000562,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.110000,0.000000,0.030000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369493,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022884,-0.000562,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.000175,0.000000,0.000000,9.810000,-2.369493,0.000000,0.000000,100,1,0,0.000000,0,-2.365876,0.000000,0.032610,0,0.021102,0.000000,-0.016401,-2.365876,0.021102,1,1,1
0.0429,-2.407481,0.022859,0.000319,-0.001718,0.066420,-0.032713,0,-0.213576,80,0.000000,0.000000,-2.407481,0.003102,-2.369491,0.000319,-2.407606,-2.369491,0.000319,0.022859,-0.001718,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.110000,0.000000,0.040000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369491,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022869,-0.001718,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.000319,0.000000,0.000000,9.810000,-2.369491,0.000000,0.000000,100,1,0,0.000000,0,-2.360942,0.000000,0.066420,0,0.018635,0.000000,-0.032713,-2.360942,0.018635,1,1,1
0.0529,-2.407449,0.022838,0.001478,-0.003601,0.111505,-0.055464,0,-0.213576,80,0.000000,0.000000,-2.407449,0.003129,-2.369480,0.001478,-2.407606,-2.369480,0.001478,0.022838,-0.003601,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.110000,0.000000,0.050000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369480,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022835,-0.003601,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.001478,0.000000,0.000000,9.810000,-2.369480,0.000000,0.000000,100,1,0,0.000000,0,-2.353064,0.000000,0.111505,0,0.014696,0.000000,-0.055464,-2.353064,0.014696,1,1,1
0.0628,-2.407418,0.022770,0.003468,-0.006706,0.162898,-0.080732,0,-0.213576,80,0.000000,0.000000,-2.407418,0.003076,-2.369453,0.003468,-2.407606,-2.369453,0.003468,0.022770,-0.006706,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.110000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369453,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022774,-0.006706,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003468,0.000000,0.000000,9.810000,-2.369453,0.000000,0.000000,100,1,0,0.000000,0,-2.342197,0.000000,0.162898,0,0.009257,0.000000,-0.080732,-2.342197,0.009257,1,1,1
0.0728,-2.407387,0.022662,0.006321,-0.011969,0.215737,-0.108998,0,-0.213576,80,0.000000,0.000000,-2.407387,0.003154,-2.369400,0.006321,-2.407606,-2.369400,0.006321,0.022662,-0.011969,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.110000,0.000000,0.070000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369400,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022669,-0.011969,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.006321,0.000000,0.000000,9.810000,-2.369400,0.000000,0.000000,100,1,0,0.000000,0,-2.328709,0.000000,0.215737,0,0.002318,0.000000,-0.108998,-2.328709,0.002318,1,1,1
0.0828,-2.407355,0.022480,0.011213,-0.024860,0.264283,-0.139771,0,-0.213576,80,0.000000,0.000000,-2.407355,0.003122,-2.369309,0.011213,-2.407606,-2.369309,0.011213,0.022480,-0.024860,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.110000,0.000000,0.080000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369309,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022476,-0.024860,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.011213,0.000000,0.000000,9.810000,-2.369309,0.000000,0.000000,100,1,0,0.000000,0,-2.313376,0.000000,0.264283,0,-0.006121,0.000000,-0.139771,-2.313376,-0.006121,1,1,1
0.0929,-2.407324,0.022053,0.021528,-0.055609,0.306435,-0.171347,0,-0.213576,80,0.000000,0.000000,-2.407324,0.003125,-2.369145,0.021528,-2.407606,-2.369145,0.021528,0.022053,-0.055609,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.110000,0.000000,0.090000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.369145,0.000000,0.000000,0.000000,-2.407606,0.003129,0.022073,-0.055609,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.021528,0.000000,0.000000,9.810000,-2.369145,0.000000,0.000000,100,1,0,0.000000,0,-2.296998,0.000000,0.306435,0,-0.016060,0.000000,-0.171347,-2.296998,-0.016060,1,1,1
0.1028,-2.407293,0.021263,0.041785,-0.111044,0.340010,-0.204015,0,-0.213576,80,0.000000,0.000000,-2.407293,0.003128,-2.368832,0.041785,-2.407606,-2.368832,0.041785,0.021263,-0.111044,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.110000,0.000000,0.100000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.368832,0.000000,0.000000,0.000000,-2.407606,0.003129,0.021243,-0.111044,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.041785,0.000000,0.000000,9.810000,-2.368832,0.000000,0.000000,100,1,0,0.000000,0,-2.280376,0.000000,0.340010,0,-0.027499,0.000000,-0.204015,-2.280376,-0.027499,1,1,1
0.1128,-2.403658,0.019699,0.073221,-0.192656,0.362858,-0.234019,0,-0.213576,81,0.000000,0.000000,-2.403658,0.140562,-2.368260,0.073221,-2.403658,-2.368260,0.073221,0.019699,-0.192656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.368260,0.000000,0.000000,0.000000,-2.403658,0.141090,0.019726,-0.192656,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.073221,0.000000,0.000000,9.810000,-2.368260,0.000000,0.000000,100,1,0,0.000000,0,-2.264308,0.000000,0.362858,0,-0.040438,0.000000,-0.234019,-2.264308,-0.040438,1,1,1
0.1228,-2.402247,0.017279,0.113529,-0.296542,0.373265,-0.263189,0,-0.213576,81,0.000000,0.000000,-2.402247,0.142419,-2.367328,0.113529,-2.403658,-2.367328,0.113529,0.017279,-0.296542,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.120000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.367328,0.000000,0.000000,0.000000,-2.403658,0.141090,0.017281,-0.296542,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.113529,0.000000,0.000000,9.810000,-2.367328,0.000000,0.000000,100,1,0,0.000000,0,-2.249596,0.000000,0.373265,0,-0.054767,0.000000,-0.263189,-2.249596,-0.054767,1,1,1
0.1338,-2.400836,0.013700,0.160253,-0.419622,0.369727,-0.285435,0,-0.213576,81,0.000000,0.000000,-2.400836,0.139891,-2.365959,0.160253,-2.403658,-2.365959,0.160253,0.013700,-0.419622,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.120000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.365959,0.000000,0.000000,0.000000,-2.403658,0.141090,0.013698,-0.419622,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.160253,0.000000,0.000000,9.810000,-2.365959,0.000000,0.000000,100,1,0,0.000000,0,-2.237038,0.000000,0.369727,0,-0.070124,0.000000,-0.285435,-2.237038,-0.070124,1,1,1
0.1437,-2.399425,0.008804,0.209628,-0.554579,0.352211,-0.300706,0,-0.213576,81,0.000000,0.000000,-2.399425,0.139392,-2.364108,0.209628,-2.403658,-2.364108,0.209628,0.008804,-0.554579,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.120000,0.000000,0.030000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.364108,0.000000,0.000000,0.000000,-2.403658,0.141090,0.008824,-0.554579,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.209628,0.000000,0.000000,9.810000,-2.364108,0.000000,0.000000,100,1,0,0.000000,0,-2.227323,0.000000,0.352211,0,-0.086109,0.000000,-0.300706,-2.227323,-0.086109,1,1,1
0.1531,-2.398014,0.002554,0.257916,-0.694197,0.326065,-0.309381,0,-0.213576,81,0.000000,0.000000,-2.398014,0.139030,-2.361767,0.257916,-2.403658,-2.361767,0.257916,0.002554,-0.694197,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.120000,0.000000,0.040000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.361767,0.000000,0.000000,0.000000,-2.403658,0.141090,0.002575,-0.694197,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.257916,0.000000,0.000000,9.810000,-2.361767,0.000000,0.000000,100,1,0,0.000000,0,-2.220607,0.000000,0.326065,0,-0.102322,0.000000,-0.309381,-2.220607,-0.102322,1,1,1
0.1631,-2.396603,-0.005078,0.302220,-0.832359,0.295585,-0.310649,0,-0.213576,81,0.000000,0.000000,-2.396603,0.143006,-2.358962,0.302220,-2.403658,-2.358962,0.302220,-0.005078,-0.832359,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.120000,0.000000,0.050000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.358962,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.005063,-0.832359,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.302220,0.000000,0.000000,9.810000,-2.358962,0.000000,0.000000,100,1,0,0.000000,0,-2.216697,0.000000,0.295585,0,-0.118362,0.000000,-0.310649,-2.216697,-0.118362,1,1,1
0.1730,-2.395192,-0.014064,0.340362,-0.963318,0.267751,-0.304342,0,-0.213576,81,0.000000,0.000000,-2.395192,0.141748,-2.355744,0.340362,-2.403658,-2.355744,0.340362,-0.014064,-0.963318,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.120000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.355744,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.014047,-0.963318,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.340362,0.000000,0.000000,9.810000,-2.355744,0.000000,0.000000,100,1,0,0.000000,0,-2.214878,0.000000,0.267751,0,-0.133829,0.000000,-0.304342,-2.214878,-0.133829,1,1,1
0.1832,-2.393781,-0.024302,0.371301,-1.082415,0.245321,-0.290620,0,-0.213576,81,0.000000,0.000000,-2.393781,0.142162,-2.352182,0.371301,-2.403658,-2.352182,0.371301,-0.024302,-1.082415,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.120000,0.000000,0.070000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.352182,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.024281,-1.082415,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.371301,0.000000,0.000000,9.810000,-2.352182,0.000000,0.000000,100,1,0,0.000000,0,-2.214350,0.000000,0.245321,0,-0.148324,0.000000,-0.290620,-2.214350,-0.148324,1,1,1
0.1936,-2.392370,-0.035626,0.394737,-1.185847,0.230069,-0.269890,0,-0.213576,81,0.000000,0.000000,-2.392370,0.141146,-2.348349,0.394737,-2.403658,-2.348349,0.394737,-0.035626,-1.185847,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.120000,0.000000,0.080000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.348349,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.035627,-1.185847,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.394737,0.000000,0.000000,9.810000,-2.348349,0.000000,0.000000,100,1,0,0.000000,0,-2.214316,0.000000,0.230069,0,-0.161469,0.000000,-0.269890,-2.214316,-0.161469,1,1,1
0.2029,-2.390959,-0.047899,0.410825,-1.270499,0.219727,-0.244168,0,-0.213576,81,0.000000,0.000000,-2.390959,0.144375,-2.344319,0.410825,-2.403658,-2.344319,0.410825,-0.047899,-1.270499,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.120000,0.000000,0.090000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.344319,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.047912,-1.270499,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.410825,0.000000,0.000000,9.810000,-2.344319,0.000000,0.000000,100,1,0,0.000000,0,-2.214314,0.000000,0.219727,0,-0.173116,0.000000,-0.244168,-2.214314,-0.173116,1,1,1
0.2131,-2.389549,-0.060925,0.419868,-1.334447,0.210152,-0.215885,0,-0.213576,81,0.000000,0.000000,-2.389549,0.140254,-2.340164,0.419868,-2.403658,-2.340164,0.419868,-0.060925,-1.334447,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.120000,0.000000,0.100000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.340164,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.060938,-1.334447,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.419868,0.000000,0.000000,9.810000,-2.340164,0.000000,0.000000,100,1,0,0.000000,0,-2.214314,0.000000,0.210152,0,-0.183262,0.000000,-0.215885,-2.214314,-0.183262,1,1,1
0.2230,-2.388138,-0.074529,0.421952,-1.376787,0.201179,-0.185188,0,-0.213576,81,0.000000,0.000000,-2.388138,0.144107,-2.335954,0.421952,-2.403658,-2.335954,0.421952,-0.074529,-1.376787,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,0.120000,0.000000,0.110000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.335954,0.000000,0.000000,0.000000,-2.403658,0.141090,-0.074496,-1.376787,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.421952,0.000000,0.000000,9.810000,-2.335954,0.000000,0.000000,100,1,0,0.000000,0,-2.214314,0.000000,0.201179,0,-0.191909,0.000000,-0.185188,-2.214314,-0.191909,1,1,1
