t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid
0.0038,-2.211220,-0.214521,0.003363,0.000268,0.081165,0.001236,0,-0.213576,173,0.000000,0.000000,-2.211220,0.003352,-2.255064,0.003363,-2.211421,-2.255064,0.003363,-0.214521,0.000268,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.120000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.255064,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214529,0.000268,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003363,0.000000,0.000000,9.810000,-2.255064,0.000000,0.000000,100,1,0,0.000000,0,-2.214314,0.000000,0.081165,0,-0.213576,0.000000,0.001236,-2.214314,-0.213576,1,1,1
0.0131,-2.211186,-0.214494,0.003366,0.000131,0.079491,0.001567,0,-0.213576,173,0.000000,0.000000,-2.211186,0.003418,-2.255031,0.003366,-2.211421,-2.255031,0.003366,-0.214494,0.000131,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.120000,0.000000,0.070000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.255031,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214527,0.000131,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003366,0.000000,0.000000,9.810000,-2.255031,0.000000,0.000000,100,1,0,0.000000,0,-2.214448,0.000000,0.079491,0,-0.213576,0.000000,0.001567,-2.214448,-0.213576,1,1,1
0.0229,-2.211152,-0.214533,0.003319,0.000166,0.069551,0.002304,0,-0.213576,173,0.000000,0.000000,-2.211152,0.003317,-2.254997,0.003319,-2.211421,-2.254997,0.003319,-0.214533,0.000166,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.120000,0.000000,0.080000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254997,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214526,0.000166,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003319,0.000000,0.000000,9.810000,-2.254997,0.000000,0.000000,100,1,0,0.000000,0,-2.215382,0.000000,0.069551,0,-0.213576,0.000000,0.002304,-2.215382,-0.213576,1,1,1
0.0335,-2.211119,-0.214493,0.003065,0.000268,0.048426,0.001433,0,-0.213576,173,0.000000,0.000000,-2.211119,0.003310,-2.254966,0.003065,-2.211421,-2.254966,0.003065,-0.214493,0.000268,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.120000,0.000000,0.090000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254966,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214523,0.000268,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003065,0.000000,0.000000,9.810000,-2.254966,0.000000,0.000000,100,1,0,0.000000,0,-2.217918,0.000000,0.048426,0,-0.213576,0.000000,0.001433,-2.217918,-0.213576,1,1,1
0.0432,-2.211085,-0.214514,0.002496,0.000225,0.014559,0.002082,0,-0.213576,173,0.000000,0.000000,-2.211085,0.003397,-2.254938,0.002496,-2.211421,-2.254938,0.002496,-0.214514,0.000225,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.120000,0.000000,0.100000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254938,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214521,0.000225,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.002496,0.000000,0.000000,9.810000,-2.254938,0.000000,0.000000,100,1,0,0.000000,0,-2.222852,0.000000,0.014559,0,-0.213576,0.000000,0.002082,-2.222852,-0.213576,1,1,1
0.0530,-2.211051,-0.214489,0.001482,0.000343,-0.030591,0.001581,0,-0.213576,173,0.000000,0.000000,-2.211051,0.003368,-2.254919,0.001482,-2.211421,-2.254919,0.001482,-0.214489,0.000343,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,0.120000,0.000000,0.110000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254919,0.000000,0.000000,0.000000,-2.211421,0.003363,-0.214517,0.000343,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.001482,0.000000,0.000000,9.810000,-2.254919,0.000000,0.000000,100,1,0,0.000000,0,-2.230730,0.000000,-0.030591,0,-0.213576,0.000000,0.001581,-2.230730,-0.213576,1,1,1
0.0632,-2.211091,-0.214489,-0.000070,0.000344,-0.082224,0.001823,0,-0.213576,174,0.000000,0.000000,-2.211091,-0.001392,-2.254914,-0.000070,-2.211091,-2.254914,-0.000070,-0.214489,0.000344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254914,0.000000,0.000000,0.000000,-2.211091,-0.001375,-0.214512,0.000344,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.000070,0.000000,0.000000,9.810000,-2.254914,0.000000,0.000000,100,1,0,0.000000,0,-2.241608,0.000000,-0.082224,0,-0.213576,0.000000,0.001823,-2.241608,-0.213576,1,1,1
0.0729,-2.211105,-0.214513,-0.002015,0.000439,-0.139780,0.002121,0,-0.213576,174,0.000000,0.000000,-2.211105,-0.001381,-2.254926,-0.002015,-2.211091,-2.254926,-0.002015,-0.214513,0.000439,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.100000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254926,0.000000,0.000000,0.000000,-2.211091,-0.001375,-0.214506,0.000439,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.002015,0.000000,0.000000,9.810000,-2.254926,0.000000,0.000000,100,1,0,0.000000,0,-2.255486,0.000000,-0.139780,0,-0.213576,0.000000,0.002121,-2.255486,-0.213576,1,1,1
0.0829,-2.211118,-0.214483,-0.004649,0.000595,-0.202249,0.001510,0,-0.213576,174,0.000000,0.000000,-2.211118,-0.001385,-2.254960,-0.004649,-2.211091,-2.254960,-0.004649,-0.214483,0.000595,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.100000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.254960,0.000000,0.000000,0.000000,-2.211091,-0.001375,-0.214499,0.000595,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.004649,0.000000,0.000000,9.810000,-2.254960,0.000000,0.000000,100,1,0,0.000000,0,-2.272281,0.000000,-0.202249,0,-0.213576,0.000000,0.001510,-2.272281,-0.213576,1,1,1
0.0929,-2.211132,-0.214498,-0.008284,0.000743,-0.264688,0.001992,0,-0.213576,174,0.000000,0.000000,-2.211132,-0.001372,-2.255026,-0.008284,-2.211091,-2.255026,-0.008284,-0.214498,0.000743,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.100000,0.000000,0.030000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.255026,0.000000,0.000000,0.000000,-2.211091,-0.001375,-0.214491,0.000743,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.008284,0.000000,0.000000,9.810000,-2.255026,0.000000,0.000000,100,1,0,0.000000,0,-2.291518,0.000000,-0.264688,0,-0.213576,0.000000,0.001992,-2.291518,-0.213576,1,1,1
