t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid
0.0047,-2.241627,-0.027004,0.008317,0.006148,0.000000,-0.000183,1,-1.612355,208,0.000000,0.000000,-2.241627,0.008487,-2.285774,0.008317,-2.242128,-2.285774,0.008317,-0.027004,0.006148,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.090000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285774,0.000000,0.000000,0.000000,-2.242128,0.008352,-0.026998,0.006148,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.008317,0.000000,0.000000,9.810000,-2.285774,0.000000,0.000000,100,1,0,0.000000,0,-2.285774,0.000000,0.000000,0,-0.027019,0.000000,-0.000183,-2.285774,-0.027019,1,1,1
0.0147,-2.241543,-0.027032,0.002051,0.001102,0.000962,0.001102,1,-1.612355,208,0.000000,0.000000,-2.241543,0.008314,-2.285721,0.002051,-2.242128,-2.285721,0.002051,-0.027032,0.001102,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.090000,0.000000,0.070000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285721,0.000000,0.000000,0.000000,-2.242128,0.008352,-0.026975,0.001102,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.002051,0.000000,0.000000,9.810000,-2.285721,0.000000,0.000000,100,1,0,0.000000,0,-2.285640,0.000000,0.000962,0,-0.026952,0.000000,0.001102,-2.285640,-0.026952,1,1,1
0.0249,-2.241460,-0.026968,0.000928,0.000187,0.011228,0.004999,1,-1.612355,208,0.000000,0.000000,-2.241460,0.008405,-2.285708,0.000928,-2.242128,-2.285708,0.000928,-0.026968,0.000187,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.090000,0.000000,0.080000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285708,0.000000,0.000000,0.000000,-2.242128,0.008352,-0.026970,0.000187,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.000928,0.000000,0.000000,9.810000,-2.285708,0.000000,0.000000,100,1,0,0.000000,0,-2.284706,0.000000,0.011228,0,-0.026485,0.000000,0.004999,-2.284706,-0.026485,1,1,1
0.0346,-2.241753,-0.026977,0.001013,0.000511,0.032311,0.014555,1,-1.612355,209,0.000000,0.000000,-2.241753,-0.030826,-2.285699,0.001013,-2.241753,-2.285699,0.001013,-0.026977,0.000511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285699,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026965,0.000511,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.001013,0.000000,0.000000,9.810000,-2.285699,0.000000,0.000000,100,1,0,0.000000,0,-2.282171,0.000000,0.032311,0,-0.025362,0.000000,0.014555,-2.282171,-0.025362,1,1,1
0.0447,-2.242062,-0.026944,0.001307,0.001450,0.066127,0.020856,1,-1.612355,209,0.000000,0.000000,-2.242062,-0.030836,-2.285687,0.001307,-2.241753,-2.285687,0.001307,-0.026944,0.001450,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.100000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285687,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026953,0.001450,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.001307,0.000000,0.000000,9.810000,-2.285687,0.000000,0.000000,100,1,0,0.000000,0,-2.277237,0.000000,0.066127,0,-0.023860,0.000000,0.020856,-2.277237,-0.023860,1,1,1
0.0546,-2.242372,-0.026939,0.002095,0.002047,0.111229,0.023879,1,-1.612355,209,0.000000,0.000000,-2.242372,-0.031148,-2.285670,0.002095,-2.241753,-2.285670,0.002095,-0.026939,0.002047,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.100000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285670,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026934,0.002047,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.002095,0.000000,0.000000,9.810000,-2.285670,0.000000,0.000000,100,1,0,0.000000,0,-2.269359,0.000000,0.111229,0,-0.022379,0.000000,0.023879,-2.269359,-0.022379,1,1,1
0.0646,-2.242681,-0.026915,0.003873,0.002218,0.162791,0.021549,1,-1.612355,209,0.000000,0.000000,-2.242681,-0.031244,-2.285639,0.003873,-2.241753,-2.285639,0.003873,-0.026915,0.002218,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.100000,0.000000,0.030000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285639,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026913,0.002218,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.003873,0.000000,0.000000,9.810000,-2.285639,0.000000,0.000000,100,1,0,0.000000,0,-2.258481,0.000000,0.162791,0,-0.021319,0.000000,0.021549,-2.258481,-0.021319,1,1,1
0.0746,-2.242991,-0.026892,0.006756,0.001792,0.220200,0.015775,1,-1.612355,209,0.000000,0.000000,-2.242991,-0.030794,-2.285585,0.006756,-2.241753,-2.285585,0.006756,-0.026892,0.001792,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.100000,0.000000,0.040000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285585,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026896,0.001792,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.006756,0.000000,0.000000,9.810000,-2.285585,0.000000,0.000000,100,1,0,0.000000,0,-2.244603,0.000000,0.220200,0,-0.020914,0.000000,0.015775,-2.244603,-0.020914,1,1,1
0.0846,-2.243300,-0.026882,0.011141,0.000876,0.283415,0.012378,1,-1.612355,209,0.000000,0.000000,-2.243300,-0.030530,-2.285494,0.011141,-2.241753,-2.285494,0.011141,-0.026882,0.000876,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.100000,0.000000,0.050000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285494,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026886,0.000876,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.011141,0.000000,0.000000,9.810000,-2.285494,0.000000,0.000000,100,1,0,0.000000,0,-2.227725,0.000000,0.283415,0,-0.020869,0.000000,0.012378,-2.227725,-0.020869,1,1,1
0.0946,-2.243610,-0.026907,0.018777,-0.000267,0.352298,0.012343,1,-1.612355,209,0.000000,0.000000,-2.243610,-0.030473,-2.285346,0.018777,-2.241753,-2.285346,0.018777,-0.026907,-0.000267,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.100000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-2.285346,0.000000,0.000000,0.000000,-2.241753,-0.030950,-0.026887,-0.000267,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,0.018777,0.000000,0.000000,9.810000,-2.285346,0.000000,0.000000,100,1,0,0.000000,0,-2.207847,0.000000,0.352298,0,-0.020868,0.000000,0.012343,-2.207847,-0.020868,1,1,1
