t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid
0.0046,-1.615447,-0.017688,-0.003366,-0.000629,-0.081167,-0.006711,1,-1.612355,80,0.000000,0.000000,-1.615447,-0.003394,-1.571603,-0.003366,-1.615413,-1.571603,-0.003366,-0.017688,-0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.080000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571603,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017729,-0.000629,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003366,0.000000,0.000000,9.810000,-1.571603,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.081167,0,-0.020868,0.000000,-0.006711,-1.612355,-0.020868,1,1,1
0.0146,-1.615480,-0.017759,-0.003361,-0.000688,-0.081101,-0.004696,1,-1.612355,80,0.000000,0.000000,-1.615480,-0.003391,-1.571636,-0.003361,-1.615413,-1.571636,-0.003361,-0.017759,-0.000688,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.080000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571636,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017736,-0.000688,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003361,0.000000,0.000000,9.810000,-1.571636,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.081101,0,-0.020801,0.000000,-0.004696,-1.612355,-0.020801,1,1,1
0.0247,-1.615514,-0.017751,-0.003365,-0.000487,-0.081032,-0.000580,1,-1.612355,80,0.000000,0.000000,-1.615514,-0.003363,-1.571670,-0.003365,-1.615413,-1.571670,-0.003365,-0.017751,-0.000487,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.080000,0.000000,0.030000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571670,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017741,-0.000487,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003365,0.000000,0.000000,9.810000,-1.571670,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.081032,0,-0.020334,0.000000,-0.000580,-1.612355,-0.020334,1,1,1
0.0346,-1.615547,-0.017758,-0.003368,-0.000072,-0.080962,0.010133,1,-1.612355,80,0.000000,0.000000,-1.615547,-0.003357,-1.571704,-0.003368,-1.615413,-1.571704,-0.003368,-0.017758,-0.000072,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.080000,0.000000,0.040000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571704,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017743,-0.000072,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003368,0.000000,0.000000,9.810000,-1.571704,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080962,0,-0.019066,0.000000,0.010133,-1.612355,-0.019066,1,1,1
0.0446,-1.615581,-0.017741,-0.003383,0.001011,-0.080888,0.026692,1,-1.612355,80,0.000000,0.000000,-1.615581,-0.003291,-1.571738,-0.003383,-1.615413,-1.571738,-0.003383,-0.017741,0.001011,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.080000,0.000000,0.050000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571738,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017734,0.001011,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003383,0.000000,0.000000,9.810000,-1.571738,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080888,0,-0.016607,0.000000,0.026692,-1.612355,-0.016607,1,1,1
0.0547,-1.615614,-0.017704,-0.003400,0.002749,-0.080813,0.046307,1,-1.612355,80,0.000000,0.000000,-1.615614,-0.003372,-1.571773,-0.003400,-1.615413,-1.571773,-0.003400,-0.017704,0.002749,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.080000,0.000000,0.060000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571773,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017710,0.002749,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003400,0.000000,0.000000,9.810000,-1.571773,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080813,0,-0.012900,0.000000,0.046307,-1.612355,-0.012900,1,1,1
0.0647,-1.615648,-0.017660,-0.003419,0.005050,-0.080737,0.064064,1,-1.612355,80,0.000000,0.000000,-1.615648,-0.003361,-1.571809,-0.003419,-1.615413,-1.571809,-0.003419,-0.017660,0.005050,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.080000,0.000000,0.070000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571809,0.000000,0.000000,0.000000,-1.615413,-0.003348,-0.017664,0.005050,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003419,0.000000,0.000000,9.810000,-1.571809,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080737,0,-0.008318,0.000000,0.064064,-1.612355,-0.008318,1,1,1
0.0747,-1.615682,-0.017600,-0.003440,0.007640,-0.080664,0.078657,1,-1.612355,81,0.000000,0.000000,-1.615682,-0.003417,-1.571845,-0.003440,-1.615682,-1.571845,-0.003440,-0.017600,0.007640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571845,0.000000,0.000000,0.000000,-1.615682,-0.003399,-0.017594,0.007640,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003440,0.000000,0.000000,9.810000,-1.571845,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080664,0,-0.003260,0.000000,0.078657,-1.612355,-0.003260,1,1,1
0.0846,-1.615716,-0.017462,-0.003476,0.010561,-0.080590,0.088636,1,-1.612355,81,0.000000,0.000000,-1.615716,-0.003401,-1.571880,-0.003476,-1.615682,-1.571880,-0.003476,-0.017462,0.010561,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.080000,0.000000,0.010000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571880,0.000000,0.000000,0.000000,-1.615682,-0.003399,-0.017497,0.010561,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003476,0.000000,0.000000,9.810000,-1.571880,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080590,0,0.001874,0.000000,0.088636,-1.612355,0.001874,1,1,1
0.0947,-1.615750,-0.017371,-0.003510,0.013566,-0.080518,0.095293,1,-1.612355,81,0.000000,0.000000,-1.615750,-0.003403,-1.571916,-0.003510,-1.615682,-1.571916,-0.003510,-0.017371,0.013566,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.080000,0.000000,0.020000,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000,-1.571916,0.000000,0.000000,0.000000,-1.615682,-0.003399,-0.017372,0.013566,0.000000,0.000000,0,0,1,30,30,0.000000,0.000000,-0.003510,0.000000,0.000000,9.810000,-1.571916,0.000000,0.000000,100,1,0,0.000000,0,-1.612355,0.000000,-0.080518,0,0.006683,0.000000,0.095293,-1.612355,0.006683,1,1,1
