t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.400000,0.400000,-0.014287,0.000000
0.01000,0.004057,0.004057,-0.000452,0.003333,0.003785,0.412641,0.532599,-0.014278,0.001561
0.02000,0.016173,0.016173,-0.001032,0.008399,0.009431,0.812641,0.679443,-0.014269,0.006320
0.03000,0.036184,0.036184,0.002228,0.016225,0.013997,1.000000,0.674330,-0.014260,0.014473
0.04000,0.063820,0.063820,0.003934,0.026827,0.022893,1.000000,0.656803,-0.014251,0.014472
0.05000,0.098707,0.098707,0.005667,0.040003,0.034336,1.000000,0.628037,-0.014241,0.014482
0.06000,0.140373,0.140373,0.009653,0.055551,0.045899,1.000000,0.593204,-0.014232,0.014514
0.07000,0.188255,0.188255,0.012299,0.073311,0.061013,1.000000,0.550709,-0.014223,0.014514
0.08000,0.241705,0.241705,0.016695,0.092959,0.076265,1.000000,0.501350,-0.014214,0.014540
0.09000,0.300000,0.300000,0.021899,0.114285,0.092386,1.000000,0.454934,-0.014204,0.014558
0.10000,0.362352,0.362352,0.026084,0.137044,0.110960,1.000000,0.401844,-0.014195,0.014564
0.11000,0.427918,0.427918,0.033910,0.160877,0.126967,1.000000,0.349204,-0.014186,0.015254
0.12000,0.495811,0.495811,0.040956,0.185641,0.144684,1.000000,0.304722,-0.014177,0.015261
0.13000,0.565113,0.565113,0.049315,0.211047,0.161731,1.000000,0.258562,-0.014168,0.015282
0.14000,0.634887,0.634887,0.059344,0.236909,0.177565,1.000000,0.221189,-0.014158,0.015306
0.15000,0.704189,0.704189,0.068776,0.263095,0.194319,1.000000,0.187799,-0.014149,0.015316
0.16000,0.772082,0.772082,0.081781,0.289366,0.207585,1.000000,0.156756,-0.014140,0.015466
0.17000,0.837648,0.837648,0.094264,0.315700,0.221436,1.000000,0.132471,-0.014131,0.015479
0.18000,0.900000,0.900000,0.108772,0.341925,0.233153,1.000000,0.110110,-0.014122,0.015508
0.19000,0.958295,0.958295,0.124304,0.368005,0.243701,1.000000,0.093389,-0.014112,0.015528
0.20000,1.011745,1.011745,0.140450,0.393873,0.253423,1.000000,0.079317,-0.014103,0.015546
0.21000,1.059627,1.059627,0.158997,0.419464,0.260467,1.000000,0.069777,-0.014094,0.015580
0.22000,1.101293,1.101293,0.177058,0.444819,0.267762,1.000000,0.062236,-0.014085,0.015594
0.23000,1.136180,1.136180,0.198346,0.469835,0.271490,1.000000,0.056596,-0.014076,0.015639
0.24000,1.163816,1.163816,0.219319,0.494631,0.275312,1.000000,0.062700,-0.014066,0.015654
0.25000,1.183827,1.183827,0.242263,0.519183,0.276920,1.000000,0.067224,-0.014057,0.015684
0.26000,1.195943,1.195943,0.265990,0.543608,0.277618,1.000000,0.083040,-0.014048,0.015705
0.27000,1.200000,1.200000,0.290483,0.568063,0.277579,1.000000,0.101954,-0.014039,0.015727
0.28000,1.200000,1.200000,0.316404,0.593313,0.276909,1.000000,0.107909,-0.014030,0.015757
0.29000,1.200000,1.200000,0.342123,0.618969,0.276846,1.000000,0.111644,-0.014020,0.015775
0.30000,1.200000,1.200000,0.369998,0.645336,0.275338,1.000000,0.115845,-0.014011,0.015814
0.31000,1.200000,1.200000,0.396950,0.672486,0.275537,1.000000,0.118710,-0.014002,0.015831
0.32000,1.200000,1.200000,0.426509,0.700249,0.273740,1.000000,0.121651,-0.013993,0.016058
0.33000,1.200000,1.200000,0.455037,0.728918,0.273881,1.000000,0.123996,-0.013984,0.016077
0.34000,1.200000,1.200000,0.485913,0.758211,0.272298,1.000000,0.137197,-0.013974,0.016121
0.35000,1.200000,1.200000,0.515920,0.788457,0.272537,1.000000,0.142364,-0.013965,0.016140
0.36000,1.200000,1.200000,0.548078,0.819355,0.271278,1.000000,0.145458,-0.013956,0.016183
0.37000,1.200000,1.200000,0.579480,0.851140,0.271660,1.000000,0.142447,-0.013947,0.016204
0.38000,1.200000,1.200000,0.613003,0.883515,0.270511,1.000000,0.125049,-0.013938,0.016247
0.39000,1.200000,1.200000,0.645889,0.916377,0.270487,1.000000,-0.038887,-0.013928,0.016268
0.40000,1.200000,1.200000,0.681297,0.948853,0.267556,1.000000,-0.167175,-0.013919,0.016312
0.41000,1.200000,1.200000,0.716337,0.980834,0.264497,1.000000,-0.258254,-0.013910,0.016334
0.42000,1.200000,1.200000,0.754119,1.011831,0.257712,1.000000,-0.343166,-0.013901,0.016480
0.43000,1.200000,1.200000,0.791792,1.041568,0.249777,0.952737,-0.411765,-0.013892,0.016502
0.44000,1.200000,1.200000,0.832200,1.069756,0.237556,0.552737,-0.447770,-0.013883,0.016547
0.45000,1.200000,1.200000,0.872454,1.096340,0.223886,0.152737,-0.478537,-0.013873,0.016559
0.46000,1.200000,1.200000,0.912579,1.121183,0.208603,-0.210303,-0.511844,-0.013864,0.016554
0.47000,1.200000,1.200000,0.952604,1.144185,0.191581,-0.586877,-0.526830,-0.013855,0.016527
0.48000,1.200000,1.200000,0.992554,1.165261,0.172707,-0.782299,-0.556562,-0.013846,0.011776
0.49000,1.200000,1.200000,1.029304,1.184430,0.155126,-1.000000,-0.554068,-0.013837,-0.001667
0.50000,1.200000,1.200000,1.059663,1.201680,0.142018,-1.000000,-0.555688,-0.013828,-0.008113
0.51000,1.200000,1.200000,1.090091,1.216878,0.126787,-1.000000,-0.549428,-0.013818,-0.008139
