t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.400000,0.400000,-0.014287,-0.014287
0.01000,0.009423,0.009423,-0.000200,0.002709,0.002909,0.800000,0.282809,-0.014278,-0.014278
0.02000,0.018837,0.018837,0.001895,0.005539,0.003644,1.000000,0.263100,-0.014269,-0.014269
0.03000,0.028232,0.028232,0.006905,0.009834,0.002929,1.000000,0.236350,-0.014260,-0.014260
0.04000,0.037600,0.037600,0.011062,0.015083,0.004021,1.000000,0.230126,-0.014251,-0.014251
0.05000,0.046930,0.046930,0.015313,0.020952,0.005639,1.000000,0.219073,-0.014241,-0.014241
0.06000,0.056214,0.056214,0.023571,0.027897,0.004326,1.000000,0.186779,-0.014232,-0.014232
0.07000,0.065443,0.065443,0.030955,0.035777,0.004822,1.000000,0.171083,-0.014223,-0.014223
0.08000,0.074607,0.074607,0.037902,0.043981,0.006079,0.931077,0.155081,-0.014214,-0.014214
0.09000,0.083697,0.083697,0.049099,0.052908,0.003809,0.812279,0.142752,-0.014204,-0.014204
0.10000,0.092705,0.092705,0.059345,0.062895,0.003551,0.680512,0.109382,-0.014195,-0.014195
0.11000,0.101621,0.101621,0.068974,0.073105,0.004131,0.641165,0.108387,-0.014186,-0.014186
0.12000,0.110437,0.110437,0.078733,0.083328,0.004595,0.551224,0.090478,-0.014177,-0.014177
0.13000,0.119144,0.119144,0.091264,0.094077,0.002813,0.409989,0.073054,-0.014168,-0.014168
0.14000,0.127734,0.127734,0.102959,0.105559,0.002601,0.326967,0.053612,-0.014158,-0.014158
0.15000,0.136197,0.136197,0.114144,0.116947,0.002803,0.280772,0.041258,-0.014149,-0.014149
0.16000,0.144526,0.144526,0.124899,0.128047,0.003148,0.237514,0.035326,-0.014140,-0.014140
0.17000,0.152712,0.152712,0.135243,0.138830,0.003587,0.205830,0.030549,-0.014131,-0.014131
0.18000,0.160748,0.160748,0.145207,0.149238,0.004031,0.141640,0.012523,-0.014122,-0.014122
0.19000,0.168625,0.168625,0.154890,0.159078,0.004187,0.121671,-0.050934,-0.014112,-0.014112
0.20000,0.176336,0.176336,0.164946,0.168559,0.003613,0.083250,-0.046654,-0.014103,-0.014103
0.21000,0.183872,0.183872,0.175673,0.178231,0.002558,-0.001779,-0.050357,-0.014094,-0.014094
0.22000,0.191227,0.191227,0.185803,0.188120,0.002318,-0.004376,-0.060882,-0.014085,-0.014085
0.23000,0.198394,0.198394,0.195487,0.197804,0.002318,-0.005645,-0.065518,-0.014076,-0.014076
0.24000,0.205364,0.205364,0.204791,0.207109,0.002318,-0.021112,-0.071251,-0.014066,-0.014066
0.25000,0.212132,0.212132,0.213715,0.216033,0.002318,-0.046990,-0.077752,-0.014057,-0.014057
0.26000,0.218691,0.218691,0.222258,0.224575,0.002318,-0.066754,-0.085627,-0.014048,-0.014048
0.27000,0.225033,0.225033,0.230418,0.232735,0.002318,-0.085578,-0.091991,-0.014039,-0.014039
0.28000,0.231154,0.231154,0.238191,0.240508,0.002317,-0.097010,-0.096839,-0.014030,-0.014030
0.29000,0.237047,0.237047,0.245534,0.247864,0.002330,-0.101615,-0.104798,-0.014020,-0.014020
0.30000,0.242705,0.242705,0.250469,0.254436,0.003967,-0.085604,-0.105804,-0.014011,-0.014011
0.31000,0.248124,0.248124,0.255236,0.259985,0.004749,-0.039697,-0.103670,-0.014002,-0.014002
0.32000,0.253298,0.253298,0.259848,0.264658,0.004810,-0.035250,-0.100015,-0.013993,-0.013993
0.33000,0.258223,0.258223,0.264123,0.268932,0.004810,-0.026689,-0.094291,-0.013984,-0.013984
0.34000,0.262892,0.262892,0.268050,0.272860,0.004810,-0.022166,-0.088270,-0.013974,-0.013974
0.35000,0.267302,0.267302,0.271635,0.276445,0.004810,-0.017686,-0.082331,-0.013965,-0.013965
0.36000,0.271448,0.271448,0.274883,0.279692,0.004809,0.021304,-0.080778,-0.013956,-0.013956
0.37000,0.275326,0.275326,0.277797,0.282607,0.004809,0.025800,-0.077094,-0.013947,-0.013947
0.38000,0.278933,0.278933,0.280384,0.285193,0.004809,0.029645,-0.073346,-0.013938,-0.013938
