t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.400000,0.400000,-0.014287,0.000000
0.01000,0.004057,0.004057,-0.000721,0.004002,0.004723,0.800000,0.800000,-0.014278,0.001561
0.02000,0.016173,0.016173,-0.000616,0.010810,0.011426,0.400000,0.856402,-0.014269,0.008063
0.03000,0.036184,0.036184,0.001189,0.021053,0.019865,0.543910,0.763849,-0.014260,0.011344
0.04000,0.063820,0.063820,0.001455,0.034170,0.032715,0.910099,0.628973,-0.014251,0.011331
0.05000,0.098707,0.098707,0.001034,0.049653,0.048619,1.000000,0.587905,-0.014241,0.011314
0.06000,0.140373,0.140373,0.003924,0.067263,0.063339,1.000000,0.572511,-0.014232,0.011347
0.07000,0.188255,0.188255,0.007759,0.086958,0.079198,1.000000,0.544432,-0.014223,0.011362
0.08000,0.241705,0.241705,0.010361,0.108567,0.098207,1.000000,0.503976,-0.014214,0.011352
0.09000,0.300000,0.300000,0.014486,0.131772,0.117286,1.000000,0.452475,-0.014204,0.011374
0.10000,0.362352,0.362352,0.020782,0.156309,0.135527,1.000000,0.392679,-0.014195,0.011403
0.11000,0.427918,0.427918,0.026159,0.181914,0.155755,1.000000,0.329174,-0.014186,0.011398
0.12000,0.495811,0.495811,0.032677,0.208210,0.175533,1.000000,0.267318,-0.014177,0.011417
0.13000,0.565113,0.565113,0.042136,0.234902,0.192766,1.000000,0.211746,-0.014168,0.011609
0.14000,0.634887,0.634887,0.050979,0.261834,0.210854,1.000000,0.170840,-0.014158,0.011608
0.15000,0.704189,0.704189,0.060948,0.288748,0.227800,1.000000,0.128398,-0.014149,0.011627
0.16000,0.772082,0.772082,0.074070,0.315470,0.241400,1.000000,0.099989,-0.014140,0.012202
0.17000,0.837648,0.837648,0.086726,0.341971,0.255245,1.000000,0.076996,-0.014131,0.012205
0.18000,0.900000,0.900000,0.100750,0.368105,0.267355,1.000000,0.058922,-0.014122,0.012225
0.19000,0.958295,0.958295,0.117641,0.393811,0.276170,1.000000,0.045344,-0.014112,0.012261
0.20000,1.011745,1.011745,0.134097,0.419127,0.285030,1.000000,0.035819,-0.014103,0.012266
0.21000,1.059627,1.059627,0.152388,0.443977,0.291589,1.000000,0.035067,-0.014094,0.012293
0.22000,1.101293,1.101293,0.172891,0.468401,0.295510,1.000000,0.033741,-0.014085,0.012324
0.23000,1.136180,1.136180,0.192900,0.492495,0.299595,1.000000,0.042193,-0.014076,0.012330
0.24000,1.163816,1.163816,0.215303,0.516377,0.301074,1.000000,0.044067,-0.014066,0.012365
0.25000,1.183827,1.183827,0.238935,0.540230,0.301295,1.000000,0.046070,-0.014057,0.012389
0.26000,1.195943,1.195943,0.261996,0.563872,0.301876,1.000000,0.055035,-0.014048,0.012399
0.27000,1.200000,1.200000,0.288219,0.587662,0.299444,1.000000,0.083940,-0.014039,0.014118
0.28000,1.200000,1.200000,0.314161,0.612496,0.298335,1.000000,0.122083,-0.014030,0.014131
0.29000,1.200000,1.200000,0.339852,0.637965,0.298113,1.000000,0.123557,-0.014020,0.014143
0.30000,1.200000,1.200000,0.368448,0.664236,0.295788,1.000000,0.151081,-0.014011,0.014532
0.31000,1.200000,1.200000,0.395880,0.691645,0.295765,1.000000,0.150771,-0.014002,0.014539
0.32000,1.200000,1.200000,0.424837,0.719530,0.294693,1.000000,0.150258,-0.013993,0.014565
0.33000,1.200000,1.200000,0.454698,0.748541,0.293843,1.000000,0.142517,-0.013984,0.014589
0.34000,1.200000,1.200000,0.483611,0.778159,0.294548,1.000000,0.141927,-0.013974,0.014599
0.35000,1.200000,1.200000,0.515782,0.808426,0.292644,1.000000,0.140810,-0.013965,0.015973
0.36000,1.200000,1.200000,0.546932,0.839622,0.292690,1.000000,0.096138,-0.013956,0.015982
0.37000,1.200000,1.200000,0.579544,0.870664,0.291120,1.000000,-0.036541,-0.013947,0.016004
0.38000,1.200000,1.200000,0.613469,0.901663,0.288194,1.000000,-0.146069,-0.013938,0.016026
0.39000,1.200000,1.200000,0.647043,0.932231,0.285188,1.000000,-0.251164,-0.013928,0.016037
0.40000,1.200000,1.200000,0.684087,0.961834,0.277747,1.000000,-0.336378,-0.013919,0.016081
0.41000,1.200000,1.200000,0.720787,0.990357,0.269570,1.000000,-0.350110,-0.013910,0.016091
0.42000,1.200000,1.200000,0.759453,1.017553,0.258100,0.848622,-0.422019,-0.013901,0.016117
