t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.206321,0.400000,-0.014287,0.000000
0.01000,0.002366,0.002366,-0.000723,0.004002,0.004725,0.606321,0.800000,-0.014278,0.000757
0.02000,0.009425,0.009425,-0.002335,0.010823,0.013158,0.563957,0.851059,-0.014269,0.004867
0.03000,0.021067,0.021067,-0.000606,0.021127,0.021733,0.963957,0.809887,-0.014260,0.013922
0.04000,0.037108,0.037108,-0.000011,0.034643,0.034654,1.000000,0.720336,-0.014251,0.013929
0.05000,0.057295,0.057295,0.000475,0.050793,0.050318,1.000000,0.609740,-0.014241,0.013938
0.06000,0.081309,0.081309,0.003965,0.069196,0.065231,1.000000,0.591736,-0.014232,0.013980
0.07000,0.108773,0.108773,0.006234,0.089539,0.083305,1.000000,0.462259,-0.014223,0.013987
0.08000,0.139252,0.139252,0.010294,0.111209,0.100914,1.000000,0.381171,-0.014214,0.014016
0.09000,0.172266,0.172266,0.015324,0.134003,0.118680,1.000000,0.366489,-0.014204,0.014038
0.10000,0.207295,0.207295,0.019851,0.157829,0.137978,1.000000,0.340937,-0.014195,0.014051
0.11000,0.243786,0.243786,0.027647,0.182474,0.154827,1.000000,0.309312,-0.014186,0.014624
0.12000,0.281163,0.281163,0.034669,0.207853,0.173184,1.000000,0.270467,-0.014177,0.014635
0.13000,0.318837,0.318837,0.043733,0.233687,0.189954,1.000000,0.225103,-0.014168,0.014666
0.14000,0.356214,0.356214,0.053721,0.259821,0.206100,1.000000,0.186234,-0.014158,0.014687
0.15000,0.392705,0.392705,0.064151,0.286065,0.221915,1.000000,0.147459,-0.014149,0.014706
0.16000,0.427734,0.427734,0.077189,0.312245,0.235056,1.000000,0.123485,-0.014140,0.014744
0.17000,0.460748,0.460748,0.089746,0.338309,0.248563,1.000000,0.093207,-0.014131,0.014758
0.18000,0.491227,0.491227,0.105437,0.364003,0.258566,1.000000,0.049344,-0.014122,0.014803
0.19000,0.518691,0.518691,0.121336,0.388898,0.267562,1.000000,-0.122536,-0.014112,0.014821
0.20000,0.542705,0.542705,0.139284,0.412453,0.273169,1.000000,-0.156921,-0.014103,0.014850
0.21000,0.562892,0.562892,0.159115,0.434310,0.275195,1.000000,-0.293842,-0.014094,0.014876
0.22000,0.578933,0.578933,0.179781,0.454263,0.274482,1.000000,-0.338482,-0.014085,0.014895
0.23000,0.590575,0.590575,0.203499,0.472905,0.269406,1.000000,-0.344528,-0.014076,0.014937
0.24000,0.597634,0.597634,0.227095,0.490285,0.263190,1.000000,-0.393374,-0.014066,0.014954
0.25000,0.600000,0.600000,0.253875,0.506211,0.252336,1.000000,-0.403928,-0.014057,0.014997
0.26000,0.600000,0.600000,0.281050,0.520762,0.239712,0.873678,-0.410891,-0.014048,0.015016
0.27000,0.600000,0.600000,0.309124,0.533941,0.224817,0.476919,-0.407013,-0.014039,0.015044
0.28000,0.600000,0.600000,0.338810,0.545789,0.206978,0.295402,-0.406916,-0.014030,0.015080
0.29000,0.600000,0.600000,0.368285,0.556399,0.188113,0.044056,-0.396687,-0.014020,0.015087
