t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.211354,0.400000,-0.014287,0.000000
0.01000,0.004057,0.004057,-0.000723,0.004002,0.004725,0.611354,0.800000,-0.014278,0.000778
0.02000,0.016173,0.016173,-0.002337,0.010828,0.013165,0.572126,0.853220,-0.014269,0.004950
0.03000,0.036184,0.036184,-0.000718,0.021156,0.021874,0.354271,0.814396,-0.014260,0.014119
0.04000,0.063820,0.063820,-0.000286,0.034584,0.034870,0.754271,0.671485,-0.014251,0.014113
0.05000,0.098707,0.098707,-0.000728,0.050642,0.051370,1.000000,0.652096,-0.014241,0.014078
0.06000,0.140373,0.140373,-0.001025,0.068855,0.069880,1.000000,0.505453,-0.014232,0.014066
0.07000,0.188255,0.188255,0.003604,0.088743,0.085139,1.000000,0.490042,-0.014223,0.014129
0.08000,0.241705,0.241705,0.007155,0.110151,0.102996,1.000000,0.396693,-0.014214,0.014113
0.09000,0.300000,0.300000,0.009765,0.132757,0.122992,1.000000,0.375583,-0.014204,0.014095
0.10000,0.362352,0.362352,0.016175,0.156323,0.140148,1.000000,0.342035,-0.014195,0.014130
0.11000,0.427918,0.427918,0.023011,0.180792,0.157781,1.000000,0.311384,-0.014186,0.014131
0.12000,0.495811,0.495811,0.029063,0.205980,0.176917,1.000000,0.266493,-0.014177,0.014114
0.13000,0.565113,0.565113,0.037728,0.231567,0.193840,1.000000,0.216322,-0.014168,0.014136
0.14000,0.634887,0.634887,0.048147,0.257404,0.209257,1.000000,0.179316,-0.014158,0.014149
0.15000,0.704189,0.704189,0.057990,0.283351,0.225361,1.000000,0.141560,-0.014149,0.014136
0.16000,0.772082,0.772082,0.069821,0.309165,0.239344,1.000000,0.105969,-0.014140,0.014153
0.17000,0.837648,0.837648,0.084096,0.334789,0.250693,1.000000,0.101405,-0.014131,0.014174
0.18000,0.900000,0.900000,0.097866,0.360255,0.262389,1.000000,0.087618,-0.014122,0.014166
0.19000,0.958295,0.958295,0.113363,0.385411,0.272049,1.000000,0.062111,-0.014112,0.014182
0.20000,1.011745,1.011745,0.131405,0.410269,0.278863,1.000000,0.077401,-0.014103,0.014207
0.21000,1.059627,1.059627,0.148917,0.434939,0.286022,1.000000,0.073311,-0.014094,0.014202
0.22000,1.101293,1.101293,0.168208,0.459349,0.291141,1.000000,0.069850,-0.014085,0.014221
0.23000,1.136180,1.136180,0.189696,0.483611,0.293915,1.000000,0.102330,-0.014076,0.014245
0.24000,1.163816,1.163816,0.210540,0.507881,0.297342,1.000000,0.101962,-0.014066,0.014242
0.25000,1.183827,1.183827,0.233394,0.532223,0.298830,1.000000,0.101274,-0.014057,0.014266
0.26000,1.195943,1.195943,0.257723,0.556929,0.299207,1.000000,0.102307,-0.014048,0.014286
0.27000,1.200000,1.200000,0.281366,0.581680,0.300314,1.000000,0.101700,-0.014039,0.014286
0.28000,1.200000,1.200000,0.307644,0.606547,0.298903,1.000000,0.067249,-0.014030,0.014319
0.29000,1.200000,1.200000,0.334359,0.632324,0.297965,1.000000,0.108393,-0.014020,0.014333
0.30000,1.200000,1.200000,0.360183,0.658609,0.298426,1.000000,0.108132,-0.014011,0.014338
0.31000,1.200000,1.200000,0.389538,0.685329,0.295791,1.000000,0.107921,-0.014002,0.015314
0.32000,1.200000,1.200000,0.418034,0.713197,0.295163,1.000000,0.144596,-0.013993,0.015320
0.33000,1.200000,1.200000,0.446757,0.741607,0.294851,1.000000,0.144298,-0.013984,0.015331
0.34000,1.200000,1.200000,0.477769,0.771134,0.293365,1.000000,0.219490,-0.013974,0.015365
0.35000,1.200000,1.200000,0.507594,0.801789,0.294195,1.000000,0.215058,-0.013965,0.015369
0.36000,1.200000,1.200000,0.539289,0.833166,0.293877,1.000000,0.202208,-0.013956,0.015397
0.37000,1.200000,1.200000,0.571413,0.865634,0.294221,1.000000,0.174508,-0.013947,0.015414
0.38000,1.200000,1.200000,0.603242,0.897658,0.294416,1.000000,-0.180511,-0.013938,0.015423
0.39000,1.200000,1.200000,0.638758,0.928661,0.289903,1.000000,-0.268187,-0.013928,0.015699
0.40000,1.200000,1.200000,0.673902,0.958682,0.284780,1.000000,-0.361940,-0.013919,0.015706
0.41000,1.200000,1.200000,0.710878,0.987270,0.276391,1.000000,-0.434003,-0.013910,0.015728
0.42000,1.200000,1.200000,0.749864,1.014305,0.264440,1.000000,-0.436177,-0.013901,0.015752
0.43000,1.200000,1.200000,0.788691,1.039738,0.251047,0.620789,-0.486467,-0.013892,0.015760
0.44000,1.200000,1.200000,0.829307,1.063326,0.234018,0.397258,-0.527761,-0.013883,0.015793
0.45000,1.200000,1.200000,0.870906,1.085056,0.214150,-0.002742,-0.523050,-0.013873,0.015816
0.46000,1.200000,1.200000,0.912398,1.104945,0.192547,-0.287464,-0.542983,-0.013864,0.015803
0.47000,1.200000,1.200000,0.953776,1.122980,0.169204,-0.687464,-0.538591,-0.013855,0.013104
0.48000,1.200000,1.200000,0.994095,1.139239,0.145145,-0.916901,-0.528979,-0.013846,0.001301
0.49000,1.200000,1.200000,1.025944,1.153818,0.127874,-1.000000,-0.539104,-0.013837,-0.013229
0.50000,1.200000,1.200000,1.057773,1.166518,0.108745,-1.000000,-0.520361,-0.013828,-0.013259
0.51000,1.200000,1.200000,1.089538,1.177471,0.087933,-1.000000,-0.497187,-0.013818,-0.013240
