t,ref_big,ref_aim,platform,aim,small,tau_big,tau_small,beta_true,beta_hat
0.00000,0.000000,0.000000,-0.000083,0.000754,0.000837,0.161238,0.400000,-0.014287,-0.014287
0.01000,0.009423,0.009423,-0.000410,0.003224,0.003635,0.223512,0.488913,-0.014278,-0.014278
0.02000,0.018837,0.018837,-0.001013,0.007501,0.008514,0.181521,0.448208,-0.014269,-0.014269
0.03000,0.028232,0.028232,-0.001777,0.013330,0.015107,0.169046,0.398566,-0.014260,-0.014260
0.04000,0.037600,0.037600,-0.002057,0.020438,0.022496,0.200991,0.351460,-0.014251,-0.014251
0.05000,0.046930,0.046930,-0.000838,0.028497,0.029334,0.600991,0.272599,-0.014241,-0.014241
0.06000,0.056214,0.056214,-0.000254,0.037224,0.037478,1.000000,0.227302,-0.014232,-0.014232
0.07000,0.065443,0.065443,0.003055,0.046423,0.043367,1.000000,0.215358,-0.014223,-0.014223
0.08000,0.074607,0.074607,0.006123,0.056085,0.049962,1.000000,0.198359,-0.014214,-0.014214
0.09000,0.083697,0.083697,0.011700,0.065977,0.054277,1.000000,0.136663,-0.014204,-0.014204
0.10000,0.092705,0.092705,0.017588,0.075690,0.058102,1.000000,0.013306,-0.014195,-0.014195
0.11000,0.101621,0.101621,0.025745,0.084822,0.059077,1.000000,-0.022216,-0.014186,-0.014186
0.12000,0.110437,0.110437,0.034808,0.093396,0.058588,1.000000,-0.026999,-0.014177,-0.014177
0.13000,0.119144,0.119144,0.045252,0.102135,0.056883,1.000000,-0.028437,-0.014168,-0.014168
0.14000,0.127734,0.127734,0.056808,0.111171,0.054363,0.903907,-0.050287,-0.014158,-0.014158
0.15000,0.136197,0.136197,0.068955,0.120434,0.051480,0.705601,-0.067758,-0.014149,-0.014149
0.16000,0.144526,0.144526,0.081560,0.129835,0.048275,0.591809,-0.085457,-0.014140,-0.014140
0.17000,0.152712,0.152712,0.094992,0.139311,0.044319,0.450634,-0.096134,-0.014131,-0.014131
0.18000,0.160748,0.160748,0.107902,0.148816,0.040914,0.379457,-0.113791,-0.014122,-0.014122
0.19000,0.168625,0.168625,0.120665,0.158256,0.037592,0.298265,-0.127512,-0.014112,-0.014112
0.20000,0.176336,0.176336,0.134396,0.167570,0.033173,0.176940,-0.135207,-0.014103,-0.014103
0.21000,0.183872,0.183872,0.147674,0.176746,0.029072,0.092667,-0.143584,-0.014094,-0.014094
0.22000,0.191227,0.191227,0.160487,0.185731,0.025244,0.029976,-0.155395,-0.014085,-0.014085
0.23000,0.198394,0.198394,0.172849,0.194470,0.021621,-0.029890,-0.163514,-0.014076,-0.014076
0.24000,0.205364,0.205364,0.184766,0.202942,0.018176,-0.060055,-0.162409,-0.014066,-0.014066
0.25000,0.212132,0.212132,0.196242,0.211137,0.014896,-0.081076,-0.166849,-0.014057,-0.014057
0.26000,0.218691,0.218691,0.207292,0.219016,0.011724,-0.115336,-0.177023,-0.014048,-0.014048
0.27000,0.225033,0.225033,0.217927,0.226547,0.008619,-0.144501,-0.178579,-0.014039,-0.014039
0.28000,0.231154,0.231154,0.228149,0.233726,0.005577,-0.161841,-0.178020,-0.014030,-0.014030
0.29000,0.237047,0.237047,0.237948,0.240553,0.002605,-0.181335,-0.178780,-0.014020,-0.014020
0.30000,0.242705,0.242705,0.245423,0.246920,0.001498,-0.207526,-0.173473,-0.014011,-0.014011
0.31000,0.248124,0.248124,0.251131,0.252629,0.001497,-0.082343,-0.112307,-0.014002,-0.014002
0.32000,0.253298,0.253298,0.256474,0.257970,0.001496,-0.100238,-0.149683,-0.013993,-0.013993
0.33000,0.258223,0.258223,0.261460,0.262955,0.001495,-0.093163,-0.151268,-0.013984,-0.013984
0.34000,0.262892,0.262892,0.266096,0.267590,0.001494,-0.076543,-0.152587,-0.013974,-0.013974
0.35000,0.267302,0.267302,0.270389,0.271882,0.001493,-0.060940,-0.153388,-0.013965,-0.013965
0.36000,0.271448,0.271448,0.274343,0.275835,0.001492,-0.044756,-0.145893,-0.013956,-0.013956
0.37000,0.275326,0.275326,0.277964,0.279455,0.001491,-0.039017,-0.144494,-0.013947,-0.013947
0.38000,0.278933,0.278933,0.281256,0.282746,0.001489,-0.028810,-0.144018,-0.013938,-0.013938
0.39000,0.282264,0.282264,0.284225,0.285714,0.001488,-0.017745,-0.142286,-0.013928,-0.013928
0.40000,0.285317,0.285317,0.286875,0.288362,0.001487,-0.013229,-0.139557,-0.013919,-0.013919
0.41000,0.288088,0.288088,0.289209,0.290696,0.001486,-0.009768,-0.136264,-0.013910,-0.013910
0.42000,0.290575,0.290575,0.291232,0.292717,0.001485,-0.006960,-0.133260,-0.013901,-0.013901
0.43000,0.292775,0.292775,0.292945,0.294430,0.001485,0.007252,-0.131059,-0.013892,-0.013892
0.44000,0.294686,0.294686,0.294352,0.295836,0.001484,0.015164,-0.132568,-0.013883,-0.013883
0.45000,0.296307,0.296307,0.295453,0.296936,0.001483,0.015253,-0.132912,-0.013873,-0.013873
0.46000,0.297634,0.297634,0.296250,0.297732,0.001482,0.017949,-0.131741,-0.013864,-0.013864
0.47000,0.298669,0.298669,0.296746,0.298227,0.001481,0.010879,-0.132118,-0.013855,-0.013855
0.48000,0.299408,0.299408,0.296940,0.298421,0.001480,-0.055818,-0.132284,-0.013846,-0.013846
0.49000,0.299852,0.299852,0.296944,0.298358,0.001414,-0.056465,-0.133547,-0.013837,-0.013837
0.50000,0.300000,0.300000,0.296944,0.298109,0.001164,-0.075917,-0.136096,-0.013828,-0.013828
0.51000,0.299852,0.299852,0.296945,0.297658,0.000713,-0.089739,-0.141008,-0.013818,-0.013818
0.52000,0.299408,0.299408,0.296945,0.296986,0.000041,-0.153033,-0.145188,-0.013809,-0.013809
0.53000,0.298669,0.298669,0.296944,0.296398,-0.000546,-0.553033,-0.019575,-0.013800,-0.013800
0.54000,0.297634,0.297634,0.296944,0.296128,-0.000817,-0.519922,-0.050611,-0.013791,-0.013791
0.55000,0.296307,0.296307,0.296944,0.295932,-0.001012,-0.487610,-0.114907,-0.013782,-0.013782
0.56000,0.294686,0.294686,0.292380,0.295364,0.002983,-0.468014,-0.134453,-0.013773,-0.013773
0.57000,0.292775,0.292775,0.287181,0.293578,0.006396,-0.308627,-0.147859,-0.013763,-0.013763
0.58000,0.290575,0.290575,0.282983,0.290517,0.007534,-0.311842,-0.147716,-0.013754,-0.013754
0.59000,0.288088,0.288088,0.279543,0.286774,0.007231,-0.339214,-0.115237,-0.013745,-0.013745
0.60000,0.285317,0.285317,0.276623,0.282930,0.006307,-0.359389,-0.119232,-0.013736,-0.013736
0.61000,0.282264,0.282264,0.274219,0.278985,0.004766,-0.412859,-0.119622,-0.013727,-0.013727
0.62000,0.278933,0.278933,0.272318,0.274941,0.002623,-0.461160,-0.120942,-0.013718,-0.013718
0.63000,0.275326,0.275326,0.270881,0.270869,-0.000012,-0.490459,-0.095431,-0.013709,-0.013709
0.64000,0.271448,0.271448,0.267628,0.266953,-0.000675,-0.510552,-0.039389,-0.013699,-0.013699
0.65000,0.267302,0.267302,0.260890,0.262462,0.001573,-0.466410,-0.094618,-0.013690,-0.013690
0.66000,0.262892,0.262892,0.254996,0.257112,0.002116,-0.330500,-0.046194,-0.013681,-0.013681
