t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,48.636563,0.216291,0.016216,-0.000000,0.015918,0.024582,0,0.228583,54,0.192048,0.102950
0.0101,48.636179,0.216291,0.001935,-0.000000,0.015208,0.024582,0,0.228583,64,0.192764,0.103603
0.0201,48.636751,0.216291,-0.007324,-0.000000,0.017262,0.024582,0,0.228583,74,0.192668,0.100895
0.0301,48.636274,0.216291,0.001785,-0.000000,0.018720,0.024582,0,0.228583,84,0.192044,0.101238
0.0401,48.636468,0.216291,0.000060,-0.000000,0.027145,0.024582,0,0.228583,94,0.192004,0.101593
0.0501,48.636564,0.215524,0.005416,-0.000000,0.039279,0.033786,0,0.228583,104,0.192311,0.101574
0.0601,48.636948,0.216291,0.011603,-0.000000,0.089567,0.016913,0,0.228583,114,0.192410,0.102046
0.0701,48.637428,0.216291,0.008837,-0.000000,0.125670,0.024582,0,0.228583,124,0.193095,0.102119
0.0801,48.638863,0.215523,-0.007363,-0.006543,0.172230,0.033800,0,0.228583,134,0.191520,0.102366
0.0901,48.647972,0.215517,0.014385,-0.037411,0.236482,0.026192,0,0.228583,144,0.192667,0.101440
0.1001,48.670406,0.214757,-0.006395,-0.004341,0.290760,0.035255,0,0.228583,154,0.195399,0.101532
0.1101,48.688823,0.210844,0.069495,-0.358731,0.336746,0.074602,0,0.228583,164,0.208802,0.102400
0.1201,48.687647,0.205418,0.327373,-0.536563,0.405163,0.100595,0,0.228583,174,0.218091,0.104291
0.1301,48.693103,0.200886,0.611381,-0.546269,0.458607,0.100707,0,0.228583,184,0.198286,0.155537
0.1401,48.700978,0.195387,0.819095,-0.582147,0.506569,0.121382,0,0.228583,194,0.214343,0.103100
0.1501,48.706085,0.192371,0.887407,-0.424322,0.596418,0.102589,0,0.228583,204,0.220252,0.104892
0.1601,48.713453,0.190981,0.946809,-0.250980,0.675350,0.089103,0,0.228583,214,0.204929,0.153648
0.1701,48.721507,0.189447,0.981516,-0.214259,0.744217,0.093612,0,0.228583,224,0.208049,0.156931
0.1801,48.731371,0.188656,1.002198,-0.134038,0.834232,0.087765,0,0.228583,234,0.222145,0.097996
0.1901,48.741208,0.188672,1.037757,-0.015552,0.918267,0.079660,0,0.228583,244,0.218112,0.091482
