t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,58.797985,-0.000767,-0.001474,-0.000000,0.062258,0.000000,0,0.018506,192,0.304991,-0.008967
0.0101,58.798095,-0.000767,-0.000751,-0.000000,0.008696,0.000802,0,0.018506,202,0.305416,-0.009405
0.0201,58.799721,-0.000767,-0.004097,-0.000000,-0.000420,0.005741,0,0.018506,212,0.304902,-0.009506
0.0301,58.805283,-0.000767,0.000223,-0.000000,-0.021044,0.016278,0,0.018506,222,0.305697,-0.009293
0.0401,58.805098,-0.000767,0.007820,-0.000000,-0.056079,0.031016,0,0.018506,234,0.306864,-0.008753
0.0501,58.803211,0.000000,0.048843,-0.000000,-0.095517,0.034901,0,0.018506,243,0.306540,-0.009197
0.0601,58.796569,0.000767,0.112385,-0.000000,-0.153178,0.043076,0,0.018506,252,0.307331,-0.010994
0.0701,58.786516,0.002332,0.131451,0.036652,-0.207851,0.037497,0,0.018506,7,0.308147,-0.010498
0.0801,58.744956,0.004733,0.082895,0.136131,-0.268559,0.024908,0,0.018506,18,0.307155,-0.011176
0.0901,58.708380,0.010354,0.200318,0.358537,-0.319414,-0.023706,0,0.018506,27,0.294774,-0.010359
0.1001,58.708850,0.020229,-0.163386,0.814921,-0.374618,-0.094106,0,0.018506,38,0.278584,-0.013797
0.1101,58.705819,0.029439,-0.607763,0.884483,-0.427138,-0.111610,0,0.018506,48,0.294756,-0.004679
0.1201,58.697180,0.037752,-0.773998,0.776161,-0.480831,-0.121522,0,0.018506,58,0.291530,-0.001243
0.1301,58.690027,0.044149,-0.945352,0.687632,-0.551718,-0.115255,0,0.018506,67,0.282220,0.004677
0.1401,58.683846,0.047015,-0.925109,0.331269,-0.630571,-0.085681,0,0.018506,78,0.290286,0.011639
0.1501,58.676915,0.046851,-0.948288,0.071653,-0.700436,-0.055041,0,0.018506,87,0.297052,0.010596
0.1601,58.668908,0.046798,-0.960529,0.008314,-0.743854,-0.056052,0,0.018506,94,0.291978,-0.000513
0.1701,58.662517,0.045086,-0.833976,-0.161023,-0.819887,-0.036046,0,0.018506,105,0.292556,-0.003631
0.1801,58.654808,0.043603,-0.755582,-0.199263,-0.860749,-0.035355,0,0.018506,116,0.295043,0.004552
0.1901,58.646278,0.041196,-0.773634,-0.244911,-0.899619,-0.021308,0,0.018506,126,0.298030,0.011136
0.2001,58.637618,0.041283,-0.934360,-0.107485,-0.884086,-0.046423,0,0.018506,136,0.300166,0.015371
0.2101,58.628255,0.039721,-0.990383,-0.148908,-0.910396,-0.026811,0,0.018506,146,0.306894,0.021380
0.2201,58.618282,0.038156,-0.957613,-0.227967,-0.904231,-0.023656,0,0.018506,154,0.305956,0.028151
0.2301,58.607447,0.037341,-1.003475,-0.187766,-0.878012,-0.029514,0,0.018506,166,0.299862,0.030560
0.2401,58.597256,0.035884,-1.058833,-0.130964,-0.880622,-0.020190,0,0.018506,176,0.298285,0.034913
0.2501,58.586273,0.036008,-1.117459,-0.041869,-0.843076,-0.036239,0,0.018506,186,0.297367,0.040758
0.2601,58.573613,0.036045,-1.128498,-0.004858,-0.826356,-0.035452,0,0.018506,194,0.293695,0.043909
0.2701,58.561896,0.036815,-1.164615,-0.000564,-0.773420,-0.044315,0,0.018506,203,0.290685,0.044045
0.2801,58.547809,0.037583,-1.198945,-0.000065,-0.739077,-0.045829,0,0.018506,212,0.291392,0.046787
0.2901,58.533734,0.038350,-1.283003,-0.000008,-0.682546,-0.047357,0,0.018506,224,0.290493,0.049615
0.3001,58.520324,0.039117,-1.370456,-0.000001,-0.628847,-0.048891,0,0.018506,232,0.289188,0.054984
0.3101,58.506627,0.038350,-1.467783,-0.000000,-0.592434,-0.032017,0,0.018506,243,0.289960,0.062290
0.3201,58.491971,0.038331,-1.475900,-0.032094,-0.542456,-0.039462,0,0.018506,253,0.289278,0.070286
0.3301,58.477831,0.037552,-1.542005,-0.040376,-0.514740,-0.030298,0,0.018506,8,0.288030,0.077185
0.3401,58.462344,0.036693,-1.513964,-0.097254,-0.466295,-0.027787,0,0.018506,17,0.286963,0.084022
0.3501,58.447614,0.035988,-1.554092,-0.043378,-0.447467,-0.027910,0,0.018506,28,0.285086,0.087938
0.3601,58.432505,0.036033,-1.597225,-0.011576,-0.405355,-0.035501,0,0.018506,37,0.282287,0.091738
0.3701,58.415995,0.036814,-1.615289,-0.001343,-0.365650,-0.044429,0,0.018506,47,0.280427,0.097355
