t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,27.074215,0.000767,-0.005519,-0.000000,0.047631,0.000000,1,6.901394,62,0.356163,0.179987
0.0101,27.074311,0.000767,-0.009930,-0.000000,0.010775,0.000802,1,6.901394,72,0.355937,0.180233
0.0201,27.076996,0.000767,0.000418,-0.000000,0.019984,0.005741,1,6.901394,82,0.356284,0.180009
0.0301,27.081310,0.000767,-0.016530,-0.000000,0.042196,0.016280,1,6.901394,92,0.357686,0.180447
0.0401,27.080735,0.000767,0.006899,-0.000000,0.075485,0.033208,1,6.901394,102,0.358592,0.179604
0.0501,27.081790,0.000767,0.078951,-0.000000,0.113654,0.055806,1,6.901394,112,0.358775,0.178460
0.0601,27.084474,0.001534,0.124271,0.023824,0.165527,0.072480,1,6.901394,122,0.360527,0.178461
0.0701,27.094253,0.003835,0.238545,0.076068,0.229456,0.081416,1,6.901394,132,0.363281,0.177636
0.0801,27.103074,0.005369,0.108989,0.096837,0.278295,0.117897,1,6.901394,142,0.372051,0.175733
0.0901,27.102889,0.007673,0.285044,0.132187,0.349345,0.140462,1,6.901394,152,0.378149,0.176625
0.1001,27.106286,0.010765,0.417289,0.237128,0.404255,0.164277,1,6.901394,162,0.377593,0.172332
0.1101,27.110072,0.014573,0.535662,0.325265,0.472438,0.190388,1,6.901394,172,0.383912,0.172042
0.1201,27.111798,0.021476,0.656266,0.520630,0.551616,0.189505,1,6.901394,182,0.390569,0.169072
0.1301,27.117359,0.030680,0.679862,0.821006,0.633377,0.194821,1,6.901394,192,0.390162,0.163485
0.1401,27.121098,0.040651,0.726317,0.988859,0.700482,0.214285,1,6.901394,202,0.393393,0.163906
0.1501,27.124933,0.056757,0.727644,1.272958,0.840242,0.165593,1,6.901394,212,0.398029,0.166197
0.1601,27.129439,0.072097,0.677471,1.462678,0.906370,0.184409,1,6.901394,222,0.405092,0.164626
0.1701,27.134328,0.089738,0.630338,1.618727,1.000000,0.164094,1,6.901394,232,0.407256,0.166410
0.1801,27.138068,0.106612,0.698396,1.668927,1.000000,0.171338,1,6.901394,242,0.410787,0.163199
0.1901,27.145610,0.124253,0.769168,1.674752,1.000000,0.156257,1,6.901394,250,0.413225,0.159313
0.2001,27.152235,0.140521,0.813453,1.731345,1.000000,0.159063,1,6.901394,6,0.421229,0.156861
0.2101,27.159639,0.158000,0.825125,1.757955,1.000000,0.127532,1,6.901394,16,0.424709,0.156073
0.2201,27.167957,0.175000,0.955753,1.624606,1.000000,0.110315,1,6.901394,26,0.431872,0.149766
0.2301,27.177231,0.190286,0.994923,1.537731,1.000000,0.105861,1,6.901394,36,0.434954,0.144866
0.2401,27.188310,0.204793,1.042866,1.404972,1.000000,0.090628,1,6.901394,46,0.439224,0.141577
0.2501,27.199906,0.217058,1.091390,1.237196,1.000000,0.091509,1,6.901394,56,0.444362,0.136224
0.2601,27.211603,0.227029,1.191403,1.075786,1.000000,0.094495,1,6.901394,66,0.448460,0.131928
0.2701,27.225891,0.236233,1.297517,0.881984,1.000000,0.080745,1,6.901394,76,0.452261,0.127877
0.2800,27.240943,0.243136,1.394139,0.696387,1.000000,0.083937,1,6.901394,86,0.458020,0.122516
0.2901,27.256226,0.248592,1.493867,0.560255,1.000000,0.078528,1,6.901394,96,0.460840,0.114749
0.3001,27.273942,0.252393,1.590078,0.398631,1.000000,0.077480,1,6.901394,106,0.463470,0.108343
0.3101,27.290417,0.255424,1.678401,0.270700,1.000000,0.071069,1,6.901394,116,0.467018,0.102511
0.3201,27.308247,0.257709,1.796690,0.130521,1.000000,0.068814,1,6.901394,126,0.469659,0.095588
0.3301,27.326558,0.257709,1.848193,0.021687,1.000000,0.090034,1,6.901394,136,0.472358,0.089292
0.3401,27.345829,0.257709,1.924828,-0.036793,1.000000,0.089987,1,6.901394,146,0.475107,0.081934
0.3501,27.365483,0.256942,1.970121,-0.064745,1.000000,0.099191,1,6.901394,156,0.478496,0.072452
0.3601,27.385524,0.256942,2.074946,-0.063430,1.000000,0.091521,1,6.901394,166,0.481556,0.064784
0.3701,27.406068,0.256174,2.055674,-0.007360,1.000000,0.100737,1,6.901394,176,0.484774,0.056130
0.3801,27.426941,0.256175,2.120768,-0.010919,1.000000,0.093043,1,6.901394,186,0.484599,0.047859
0.3901,27.443336,0.256175,2.186211,-0.001267,1.000000,0.093055,1,6.901394,196,0.484896,0.039389
0.4001,27.469509,0.256175,2.207198,-0.000147,1.000000,0.093055,1,6.901394,206,0.484537,0.032348
0.4101,27.491177,0.256175,2.263541,-0.000017,1.000000,0.093055,1,6.901394,216,0.485137,0.024170
0.4201,27.513995,0.256942,2.295474,-0.000002,1.000000,0.083852,1,6.901394,226,0.486206,0.014648
0.4301,27.536813,0.256942,2.318261,-0.000000,1.000000,0.091521,1,6.901394,236,0.487038,0.004548
0.4401,27.559918,0.256942,2.335972,-0.000000,1.000000,0.091521,1,6.901394,246,0.485730,-0.005894
0.4501,27.574875,0.256942,2.384046,-0.000000,1.000000,0.091521,1,6.901394,0,0.485674,-0.017558
0.4601,27.608433,0.257709,2.427453,-0.000000,1.000000,0.082317,1,6.901394,10,0.485344,-0.028186
0.4701,27.628279,0.256942,2.456686,-0.000000,1.000000,0.099191,1,6.901394,20,0.485450,-0.037884
0.4801,27.660525,0.256942,2.498490,-0.000000,1.000000,0.091521,1,6.901394,30,0.484388,-0.048654
0.4901,27.685120,0.256942,2.540780,-0.000000,1.000000,0.091521,1,6.901394,40,0.483991,-0.057992
0.5001,27.708202,0.257709,2.584403,-0.000000,1.000000,0.082317,1,6.901394,50,0.481752,-0.065828
0.5101,27.729110,0.257709,2.599071,-0.000000,1.000000,0.089987,1,6.901394,60,0.480254,-0.074831
0.5201,27.760091,0.256942,2.619304,-0.000000,1.000000,0.099191,1,6.901394,70,0.476888,-0.086159
0.5301,27.786272,0.256942,2.679927,-0.000000,1.000000,0.091521,1,6.901394,80,0.474849,-0.097290
0.5401,27.813242,0.257709,2.726927,-0.000000,1.000000,0.082317,1,6.901394,90,0.474002,-0.108084
0.5501,27.840259,0.257709,2.738992,-0.000000,1.000000,0.089987,1,6.901394,100,0.470257,-0.119041
0.5601,27.868254,0.257709,2.779196,-0.000000,1.000000,0.089987,1,6.901394,110,0.464459,-0.130648
0.5701,27.896825,0.258476,2.822474,-0.000000,1.000000,0.080783,1,6.901394,120,0.460577,-0.141467
0.5801,27.925299,0.258476,2.841041,-0.000000,1.000000,0.088453,1,6.901394,130,0.457121,-0.151054
0.5901,27.948213,0.258476,2.856579,-0.000000,1.000000,0.088453,1,6.901394,139,0.452988,-0.160501
0.6001,27.983015,0.258476,2.901333,-0.000000,1.000000,0.088453,1,6.901394,149,0.449162,-0.171257
0.6101,28.011301,0.258476,2.919504,-0.000000,1.000000,0.088453,1,6.901394,159,0.443539,-0.181979
0.6201,28.034407,0.258476,2.958459,-0.000000,1.000000,0.088453,1,6.901394,169,0.436999,-0.191821
0.6301,28.064159,0.258476,3.001095,-0.000000,1.000000,0.088453,1,6.901394,179,0.430028,-0.203740
0.6401,28.099804,0.258476,3.036336,-0.000000,1.000000,0.088453,1,6.901394,189,0.423850,-0.214078
0.6501,28.129651,0.258476,3.064753,-0.000000,1.000000,0.088453,1,6.901394,199,0.417327,-0.223954
0.6601,28.159250,0.259243,3.105917,-0.000000,1.000000,0.079249,1,6.901394,209,0.409844,-0.233263
0.6701,28.189547,0.259243,3.122539,-0.000000,1.000000,0.086919,1,6.901394,219,0.401838,-0.243609
0.6801,28.220707,0.259243,3.131181,-0.000000,1.000000,0.086919,1,6.901394,229,0.393003,-0.253672
0.6901,28.252810,0.260010,3.174873,-0.000000,1.000000,0.077715,1,6.901394,239,0.384969,-0.263546
0.7001,28.285115,0.260010,3.195705,-0.000000,1.000000,0.085385,1,6.901394,249,0.376618,-0.273842
0.7101,28.316279,0.260010,3.202702,-0.000000,1.000000,0.085385,1,6.901394,3,0.368453,-0.281329
0.7201,28.347725,0.260010,3.246539,-0.000000,1.000000,0.085385,1,6.901394,13,0.359453,-0.290105
0.7301,28.379750,0.260010,3.279134,-0.000000,1.000000,0.085385,1,6.901394,23,0.348455,-0.297967
0.7401,28.411868,0.260010,3.292649,-0.000000,1.000000,0.085385,1,6.901394,33,0.339058,-0.304667
0.7501,28.444561,0.260010,3.338693,-0.000000,1.000000,0.085385,1,6.901394,43,0.328241,-0.313497
0.7601,28.478441,0.260010,3.347734,-0.000000,1.000000,0.085385,1,6.901394,53,0.317164,-0.322220
0.7701,28.511001,0.260010,3.379586,-0.000000,1.000000,0.085385,1,6.901394,63,0.306287,-0.328409
0.7801,28.545612,0.260010,3.419229,-0.000000,1.000000,0.085385,1,6.901394,73,0.294321,-0.336527
0.7901,28.580225,0.260010,3.452984,-0.000000,1.000000,0.085385,1,6.901394,83,0.281007,-0.344250
0.8001,28.608253,0.260010,3.480728,-0.000000,1.000000,0.085385,1,6.901394,93,0.268302,-0.350370
0.8101,28.649925,0.260010,3.517789,-0.000000,1.000000,0.085385,1,6.901394,103,0.256704,-0.355494
0.8201,28.665457,0.260010,3.545201,-0.000000,1.000000,0.085385,1,6.901394,113,0.244993,-0.360245
0.8301,28.711572,0.260010,3.569055,-0.000000,1.000000,0.085385,1,6.901394,123,0.231027,-0.364687
0.8401,28.757455,0.260010,3.599629,-0.000000,1.000000,0.085385,1,6.901394,133,0.216762,-0.369925
0.8501,28.791651,0.260010,3.637088,-0.000000,1.000000,0.085385,1,6.901394,143,0.203144,-0.373904
0.8601,28.831322,0.260010,3.666523,-0.000000,1.000000,0.085385,1,6.901394,153,0.189306,-0.377446
0.8701,28.868397,0.260010,3.697227,-0.000000,0.975673,0.085385,1,6.901394,163,0.175188,-0.380612
0.8801,28.906549,0.260010,3.731596,-0.000000,0.895284,0.085385,1,6.901394,173,0.160344,-0.384586
0.8901,28.944453,0.259243,3.771662,-0.000000,0.832380,0.094589,1,6.901394,183,0.144800,-0.385939
0.9001,28.982239,0.260010,3.811773,-0.000000,0.744593,0.077715,1,6.901394,193,0.129311,-0.387284
0.9101,29.018854,0.259243,3.844747,-0.000000,0.671885,0.094589,1,6.901394,203,0.115437,-0.387153
0.9201,29.057699,0.259243,3.879241,-0.000000,0.575410,0.086919,1,6.901394,213,0.098873,-0.387199
0.9301,29.096056,0.259243,3.920937,-0.000000,0.511999,0.086919,1,6.901394,223,0.083844,-0.386529
0.9401,29.135916,0.260010,3.944803,-0.000000,0.437734,0.077715,1,6.901394,233,0.068071,-0.384996
