t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,53.652063,0.055223,-0.019632,-0.000000,0.025412,0.005597,1,27.591611,230,0.318075,-0.150536
0.0101,53.652295,0.055206,0.005149,-0.010066,0.025741,0.006605,1,27.591611,240,0.316985,-0.151246
0.0201,53.652566,0.055221,0.003225,-0.001168,0.025107,0.011190,1,27.591611,250,0.317624,-0.151584
0.0301,53.652488,0.055223,0.014623,-0.000136,0.023391,0.021856,1,27.591611,4,0.318108,-0.148480
0.0401,53.652504,0.055990,0.029675,-0.000016,0.030879,0.028239,1,27.591611,14,0.318910,-0.148704
0.0501,53.652534,0.056757,0.052298,-0.000002,0.029181,0.042733,1,27.591611,24,0.319592,-0.149912
0.0601,53.652792,0.057524,0.099244,-0.000000,0.026208,0.056460,1,27.591611,34,0.319377,-0.149599
0.0701,53.652849,0.059072,0.141538,0.010066,0.028320,0.060177,1,27.591611,44,0.320615,-0.149081
0.0801,53.652827,0.061489,0.119982,0.093737,0.031469,0.061523,1,27.591611,54,0.322657,-0.149672
0.0901,53.652625,0.064102,0.023047,0.256490,0.027904,0.068287,1,27.591611,63,0.324105,-0.150793
0.1001,53.652935,0.067158,0.084525,0.234943,0.028027,0.068956,1,27.591611,74,0.324494,-0.150695
0.1101,53.652593,0.070175,0.083501,0.279417,0.025100,0.072019,1,27.591611,84,0.325102,-0.149541
0.1201,53.652778,0.074826,0.089021,0.310128,0.036497,0.053746,1,27.591611,94,0.326399,-0.149111
0.1301,53.652654,0.078701,0.121593,0.313692,0.023408,0.059725,1,27.591611,104,0.328268,-0.148801
0.1401,53.652892,0.082762,0.018929,0.413890,0.025070,0.057208,1,27.591611,114,0.328411,-0.149031
0.1501,53.652975,0.087379,0.068478,0.401692,0.027396,0.051336,1,27.591611,124,0.328905,-0.150018
0.1601,53.653037,0.092000,0.096784,0.400277,0.024475,0.050023,1,27.591611,134,0.329113,-0.149614
0.1701,53.653168,0.096488,0.082596,0.416721,0.024236,0.050306,1,27.591611,144,0.329968,-0.147908
0.1801,53.653021,0.101185,0.035390,0.479104,0.020616,0.044334,1,27.591611,154,0.331698,-0.148997
0.1901,53.653182,0.106538,0.082311,0.425867,0.027582,0.029893,1,27.591611,164,0.332549,-0.149991
0.2001,53.653181,0.110094,0.114774,0.380381,0.012315,0.042178,1,27.591611,174,0.333019,-0.147462
0.2101,53.653402,0.115561,0.049232,0.390588,0.033587,0.013358,1,27.591611,182,0.333148,-0.147761
0.2201,53.653061,0.118537,0.081189,0.329570,0.008603,0.031652,1,27.591611,194,0.334053,-0.149155
0.2301,53.652852,0.122409,0.053726,0.285581,0.025370,0.015780,1,27.591611,204,0.333128,-0.149476
0.2401,53.654900,0.124554,0.014721,0.274191,0.012259,0.030984,1,27.591611,212,0.334961,-0.148841
0.2501,53.654907,0.126745,0.099479,0.152765,0.017775,0.028221,1,27.591611,224,0.334389,-0.149383
0.2601,53.655093,0.128272,0.093676,0.126903,0.010423,0.034408,1,27.591611,234,0.335523,-0.149712
0.2701,53.655448,0.129768,0.116189,0.090685,0.011689,0.032985,1,27.591611,244,0.334775,-0.149431
0.2801,53.655642,0.131174,0.162101,0.010522,0.011658,0.031614,1,27.591611,254,0.335399,-0.150569
0.2901,53.655552,0.132692,0.160106,0.001221,0.014025,0.030507,1,27.591611,8,0.336142,-0.150435
0.3001,53.655455,0.133532,0.070878,0.060617,0.010727,0.039136,1,27.591611,18,0.336668,-0.147289
0.3101,53.655851,0.135000,0.087505,0.007033,0.020321,0.034160,1,27.591611,28,0.336971,-0.148165
