t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,0.008437,0.006136,0.014627,0.000000,0.042296,0.000000,0,-0.033785,26,0.069554,0.215610,0.008437,0.001466,-0.769353,0.014627,0.008437,-0.784386,0.014627,0.006136,0.000000,0.013045,-0.372344,-25.872968,-0.015033,0.001000,0.000000,0.001938,0.000025,0.000000,0.069554,0.215610,-9.807384,0.001111,-0.002402,0.000999,0.792609,-0.008892,27.000000,0.013045,0.008437,0.001466,0.006136,0.000000,-0.015000,0.001000,43,0,1,31,28,0.001116,-0.002196,0.015655,0.255008,0.263143,9.619973,-0.778187,-0.008892,0.007225,7,1,0,0.000000,0,-0.780861,0.000000,0.042296,0,0.006136,0.000000,0.000000,-0.780861,0.006136,1,1,1,0.766907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,0.008447,0.006136,0.005016,0.000000,0.008350,-0.000802,0,-0.033785,36,0.069454,0.210242,0.008447,0.001466,-0.769335,0.005016,0.008437,-0.784361,0.005016,0.006136,0.000000,0.012545,-0.372344,-25.872968,-0.015026,0.000000,0.001343,0.002139,-0.000100,0.001343,0.069454,0.210242,-9.807501,0.001111,0.000018,0.000000,0.792634,-0.008844,27.000000,0.013045,0.008437,0.001466,0.006136,0.000000,-0.015000,0.000000,48,0,1,31,28,0.001111,0.000083,0.005015,0.067766,-0.611457,9.965168,-0.778162,-0.008844,0.007212,6,1,0,0.000000,0,-0.780728,0.000000,0.008350,0,0.006069,0.000000,-0.000802,-0.780728,0.006069,1,1,1,0.766942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,0.010189,0.006136,0.022846,0.000000,0.016390,-0.005741,0,-0.033785,46,0.071175,0.210702,0.010189,0.021991,-0.769175,0.022846,0.010163,-0.784187,0.022846,0.006136,0.000000,0.012577,-0.372344,-25.872968,-0.015011,0.000000,0.001256,0.002139,0.000637,0.001256,0.071175,0.210702,-9.807479,-0.005194,0.031628,0.000000,0.792810,-0.008858,27.000000,0.013045,0.010163,0.021991,0.006136,0.000000,-0.015000,0.000000,53,0,1,31,28,-0.005322,0.031892,0.022447,-0.089059,0.544750,10.034106,-0.777986,-0.008858,0.007387,7,1,0,0.000000,0,-0.779793,0.000000,0.016390,0,0.005602,0.000000,-0.005741,-0.779793,0.005602,1,1,1,0.766980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,0.011597,0.006903,0.003666,0.000000,0.047321,-0.025484,0,-0.033785,56,0.071627,0.211092,0.011597,0.012776,-0.769840,0.003666,0.011601,-0.784862,0.003666,0.006903,0.000000,0.012595,-0.372344,-25.872968,-0.015022,0.001000,0.001207,0.002109,-0.000216,0.001207,0.071627,0.211092,-9.807467,0.015998,-0.014968,0.001000,0.792902,-0.008874,27.000000,0.013045,0.011601,0.012776,0.006903,0.000000,-0.015000,0.001000,58,0,1,31,28,0.016069,-0.014833,0.004854,-0.375643,0.129172,9.599075,-0.777895,-0.008874,0.007450,6,1,0,0.000000,0,-0.777258,0.000000,0.047321,0,0.004334,0.000000,-0.025484,-0.777258,0.004334,1,1,1,0.767052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,0.010747,0.006136,-0.009974,0.000000,0.060769,-0.025499,0,-0.033785,66,0.070916,0.210611,0.010747,-0.005550,-0.768991,-0.009974,0.010738,-0.784025,-0.009974,0.006136,0.000000,0.012578,-0.372344,-25.872968,-0.015034,0.000000,0.001255,0.002140,-0.000105,0.001255,0.070916,0.210611,-9.807483,-0.011707,-0.001713,-0.000000,0.792971,-0.008849,27.000000,0.013045,0.010738,-0.005550,0.006136,0.000000,-0.015000,0.000000,63,0,1,31,28,-0.011699,-0.001892,-0.009951,-0.020849,-0.270590,9.461303,-0.777826,-0.008849,0.007361,7,1,0,0.000000,0,-0.772624,0.000000,0.060769,0,0.001870,0.000000,-0.025499,-0.772624,0.001870,1,1,1,0.767097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,0.012779,0.005253,0.076178,-0.104720,0.089316,-0.043143,0,-0.033785,76,0.069639,0.211470,0.012779,0.020944,-0.768422,0.076178,0.012751,-0.783403,0.076178,0.005253,-0.104720,0.012634,-0.372344,-25.872968,-0.014981,0.001000,0.001103,0.002141,0.000564,0.001103,0.069639,0.211470,-9.807473,0.000955,-0.022660,-0.103720,0.792710,-0.008887,27.000000,0.013045,0.012751,0.020944,0.005369,-0.104720,-0.015000,0.001000,68,0,1,31,28,0.001125,-0.022998,-0.027253,0.417590,0.554938,10.005828,-0.778086,-0.008887,0.007212,6,1,0,0.000000,0,-0.766459,0.000000,0.089316,0,-0.001896,0.000000,-0.043143,-0.766459,-0.001896,1,1,1,0.767141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,0.018773,0.003453,0.133822,-0.209440,0.100843,-0.049236,0,-0.033785,86,0.070822,0.209065,0.018773,0.061785,-0.767136,0.133822,0.018504,-0.782085,0.133822,0.003453,-0.209440,0.012365,-0.372344,-25.872968,-0.014948,0.000000,0.001825,0.002013,0.001178,0.001825,0.070822,0.209065,-9.807516,-0.009311,0.019307,-0.209440,0.792229,-0.008923,27.000000,0.013045,0.018504,0.061785,0.003835,-0.209440,-0.015000,0.000000,73,0,1,31,28,-0.009605,0.018225,-0.075849,-0.258834,-0.303646,9.805351,-0.778567,-0.008923,0.007293,7,1,0,0.000000,0,-0.759561,0.000000,0.100843,0,-0.006608,0.000000,-0.049236,-0.759561,-0.006608,1,1,1,0.769469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,0.030709,0.001724,0.161623,-0.314159,0.120279,-0.062465,0,-0.033785,96,0.071874,0.209692,0.030709,0.136555,-0.766601,0.161623,0.030393,-0.781524,0.161623,0.001724,-0.314159,0.012361,-0.372344,-25.872968,-0.014923,0.000000,0.001837,0.002145,0.001893,0.001837,0.071874,0.209692,-9.807495,-0.002790,0.014827,-0.314159,0.791062,-0.009004,27.000000,0.013045,0.030393,0.136555,0.002301,-0.314159,-0.015000,0.000000,78,0,1,31,28,-0.003218,0.012854,-0.152706,-0.249792,0.216493,10.279536,-0.779734,-0.009004,0.007364,6,1,0,0.000000,0,-0.752731,0.000000,0.120279,0,-0.011866,0.000000,-0.062465,-0.752731,-0.011866,1,1,1,0.775093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,0.047913,-0.003822,0.237172,-0.628319,0.092771,-0.025452,0,-0.033785,106,0.080994,0.212699,0.047913,0.164096,-0.763632,0.237172,0.047650,-0.778495,0.237172,-0.003822,-0.628319,0.012598,-0.372344,-25.872968,-0.014863,0.000000,0.001201,0.002042,0.001213,0.001201,0.080994,0.212699,-9.807359,-0.027071,0.120769,-0.628319,0.788555,-0.009117,27.000000,0.013045,0.047650,0.164096,-0.003068,-0.628319,-0.015000,0.000000,83,0,1,31,28,-0.033280,0.114271,-0.392618,-1.581695,0.021321,8.984699,-0.782242,-0.009117,0.008174,6,1,0,0.000000,0,-0.746770,0.000000,0.092771,0,-0.017268,0.000000,-0.025452,-0.746770,-0.017268,1,1,1,0.782486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,0.050216,-0.011714,0.372632,-0.837758,0.076570,0.006042,0,-0.033785,116,0.087456,0.215271,0.050216,0.026075,-0.760478,0.372632,0.049855,-0.775294,0.372632,-0.011714,-0.837758,0.012611,-0.372344,-25.872968,-0.014816,0.001000,0.001166,0.002000,-0.000559,0.001166,0.087456,0.215271,-9.807248,-0.010007,-0.075018,-0.836758,0.783872,-0.009438,27.000000,0.013045,0.049855,0.026075,-0.010738,-0.837758,-0.015000,0.001000,88,0,1,31,28,-0.005345,-0.081340,-0.463137,-1.155938,-0.556393,10.098910,-0.786924,-0.009438,0.008658,7,1,0,0.000000,0,-0.742476,0.000000,0.076570,0,-0.022416,0.000000,0.006042,-0.742476,-0.022416,1,1,1,0.782868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
