t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,23.128278,-0.141126,-0.005508,0.000000,0.027824,-0.027225,0,-0.154738,58,0.072520,-0.072168,23.128278,0.001466,17.104756,-0.005508,23.128278,17.236704,-0.005508,-0.141126,0.000000,0.013045,-0.413594,-31.810102,0.131948,0.000000,0.000000,0.001997,0.000004,0.000000,0.072520,-0.072168,-9.809466,-0.001769,-0.017218,0.000005,-0.183344,0.019288,27.000000,0.013045,23.128278,0.001466,-0.141126,0.000000,0.132000,0.000000,155,0,1,34,35,-0.015976,0.006587,-0.005589,0.332221,0.062266,9.627575,-1.754140,0.019288,0.008355,7,1,0,0.000000,0,17.250057,0.000000,0.027824,0,-0.154738,0.000000,-0.027225,17.250057,-0.154738,1,1,1,6.012937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,23.128276,-0.141126,0.007105,0.000000,0.026616,-0.027225,0,-0.154738,68,0.071422,-0.079598,23.128276,0.001466,17.104764,0.007105,23.128278,17.236712,0.007105,-0.141126,0.000000,0.012297,-0.413594,-31.810102,0.131948,0.000000,0.001808,0.001837,-0.000011,0.001808,0.071422,-0.079598,-9.809417,-0.000729,0.009861,0.000000,-0.183335,0.019306,27.000000,0.013045,23.128278,0.001466,-0.141126,0.000000,0.132000,0.000000,160,0,1,34,35,0.009652,-0.002058,0.007130,0.379370,0.479483,9.918910,-1.754132,0.019306,0.008351,6,1,0,0.000000,0,17.250057,0.000000,0.026616,0,-0.154738,0.000000,-0.027225,17.250057,-0.154738,1,1,1,6.012971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,23.128272,-0.141126,0.006122,0.000000,0.026876,-0.027225,0,-0.154738,78,0.071420,-0.079624,23.128272,0.000419,17.104752,0.006122,23.128278,17.236696,0.006122,-0.141126,0.000000,0.012288,-0.413594,-31.810102,0.131945,-0.001000,0.001831,0.001842,0.000012,0.001831,0.071420,-0.079624,-9.809417,-0.005674,0.003905,-0.001000,-0.183351,0.019299,27.000000,0.013045,23.128278,0.000419,-0.141126,0.000000,0.132000,-0.001000,165,0,1,34,35,0.005375,0.004369,0.005068,-0.068707,0.068548,9.876208,-1.754147,0.019299,0.008351,6,1,0,0.000000,0,17.250057,0.000000,0.026876,0,-0.154738,0.000000,-0.027225,17.250057,-0.154738,1,1,1,6.013029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,23.128349,-0.141126,-0.012099,0.000000,0.025923,-0.027225,0,-0.154738,88,0.071720,-0.078428,23.128349,0.001466,17.104692,-0.012099,23.128374,17.236629,-0.012099,-0.141126,0.000000,0.012381,-0.413594,-31.810102,0.131937,0.000000,0.001606,0.002012,-0.000162,0.001606,0.071720,-0.078428,-9.809424,0.002530,-0.002540,0.000000,-0.183418,0.019267,27.000000,0.013045,23.128374,0.001466,-0.141126,0.000000,0.132000,0.000000,170,0,1,34,35,-0.003162,-0.001839,-0.012077,0.368516,0.475807,9.440346,-1.754215,0.019267,0.008364,6,1,0,0.000000,0,17.249923,0.000000,0.025923,0,-0.154738,0.000000,-0.027225,17.249923,-0.154738,1,1,1,6.013168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,23.128459,-0.141126,-0.001342,0.000000,0.016222,-0.027225,0,-0.154738,98,0.071496,-0.078991,23.128459,0.001466,17.104616,-0.001342,23.128469,17.236558,-0.001342,-0.141126,0.000000,0.012331,-0.413594,-31.810102,0.131943,0.000000,0.001726,0.001869,0.000100,0.001726,0.071496,-0.078991,-9.809421,0.001184,-0.011863,0.000000,-0.183489,0.019277,27.000000,0.013045,23.128469,0.001466,-0.141126,0.000000,0.132000,0.000000,175,0,1,34,35,-0.011701,0.002268,-0.001370,0.047545,-0.361796,9.881530,-1.754285,0.019277,0.008350,7,1,0,0.000000,0,17.248989,0.000000,0.016222,0,-0.154738,0.000000,-0.027225,17.248989,-0.154738,1,1,1,6.013236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,23.128472,-0.141126,0.002781,0.000000,-0.005458,-0.027225,0,-0.154738,108,0.071654,-0.078570,23.128472,0.000419,17.104618,0.002781,23.128469,17.236564,0.002781,-0.141126,0.000000,0.012376,-0.413594,-31.810102,0.131946,0.000000,0.001618,0.001990,-0.000097,0.001618,0.071654,-0.078570,-9.809424,0.003698,0.002277,0.000000,-0.183483,0.019278,27.000000,0.013045,23.128469,0.000419,-0.141126,0.000000,0.132000,0.000000,180,0,1,34,35,0.001114,-0.004163,0.002832,0.322324,0.393276,9.927577,-1.754279,0.019278,0.008360,7,1,0,0.000000,0,17.246468,0.000000,-0.005458,0,-0.154738,0.000000,-0.027225,17.246468,-0.154738,1,1,1,6.013308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,23.128455,-0.141126,-0.015097,0.000000,-0.032996,-0.027225,0,-0.154738,118,0.071792,-0.079225,23.128455,0.000419,17.104607,-0.015097,23.128469,17.236537,-0.015097,-0.141126,0.000000,0.012297,-0.413594,-31.810102,0.131930,-0.001000,0.001808,0.001847,0.000010,0.001808,0.071792,-0.079225,-9.809417,-0.011526,0.006591,-0.001000,-0.183510,0.019263,27.000000,0.013045,23.128469,0.000419,-0.141126,0.000000,0.132000,-0.001000,185,0,1,34,35,0.009633,0.008939,-0.016208,-0.069799,0.233458,9.686456,-1.754306,0.019263,0.008383,7,1,0,0.000000,0,17.242041,0.000000,-0.032996,0,-0.154738,0.000000,-0.027225,17.242041,-0.154738,1,1,1,6.013343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,23.127505,-0.141126,0.005310,0.000000,-0.061676,-0.027225,0,-0.154738,128,0.071367,-0.079115,23.127505,-0.009634,17.104500,0.005310,23.127511,17.236447,0.005310,-0.141126,0.000000,0.012310,-0.413594,-31.810102,0.131948,0.000000,0.001778,0.001841,-0.000367,0.001778,0.071367,-0.079115,-9.809421,-0.008248,-0.016954,0.000000,-0.183599,0.019271,27.000000,0.013045,23.127511,-0.009634,-0.141126,0.000000,0.132000,0.000000,190,0,1,34,35,-0.013845,0.012862,0.005152,0.140588,0.224009,9.686498,-1.754396,0.019271,0.008339,7,1,0,0.000000,0,17.235894,0.000000,-0.061676,0,-0.154738,0.000000,-0.027225,17.235894,-0.154738,1,1,1,6.013377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,23.124920,-0.141126,0.006175,0.000000,-0.096982,-0.027225,0,-0.154738,138,0.071524,-0.078645,23.124920,-0.029112,17.104516,0.006175,23.124922,17.236462,0.006175,-0.141126,0.000000,0.012354,-0.413594,-31.810102,0.131945,-0.001000,0.001670,0.001832,-0.000771,0.001670,0.071524,-0.078645,-9.809424,-0.008358,0.005301,-0.001000,-0.183585,0.019266,27.000000,0.013045,23.124922,-0.029112,-0.141126,0.000000,0.132000,-0.001000,195,0,1,34,35,0.007508,0.006512,0.005095,0.264055,0.547886,9.795108,-1.754382,0.019266,0.008348,6,1,0,0.000000,0,17.227919,0.000000,-0.096982,0,-0.154738,0.000000,-0.027225,17.227919,-0.154738,1,1,1,6.013405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,23.116081,-0.141126,-0.020468,0.000000,-0.140982,-0.027225,0,-0.154738,148,0.071927,-0.078457,23.116081,-0.092572,17.104469,-0.020468,23.116102,17.236398,-0.020468,-0.141126,0.000000,0.012353,-0.413594,-31.810102,0.131929,0.000000,0.001673,0.001853,-0.002381,0.001673,0.071927,-0.078457,-9.809423,-0.006344,0.003631,0.000000,-0.183649,0.019240,27.000000,0.013045,23.116102,-0.092572,-0.141126,0.000000,0.132000,0.000000,200,0,1,34,35,0.005367,0.004709,-0.020528,-0.249417,-0.020553,10.114455,-1.754445,0.019240,0.008386,7,1,0,0.000000,0,17.217531,0.000000,-0.140982,0,-0.154738,0.000000,-0.027225,17.217531,-0.154738,1,1,1,6.013414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
