t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,3.580459,0.049854,-0.003249,0.000000,0.028060,-0.011241,1,2.980673,39,0.075823,0.007341,3.580459,-0.000419,2.983429,-0.003249,3.580462,2.967432,-0.003249,0.049854,0.000000,0.012812,-0.377949,-25.790846,-0.015997,0.000000,0.000617,0.001828,0.000016,0.000617,0.075823,0.007341,-9.809704,-0.009113,-0.008084,0.000000,-1.695197,0.012449,27.000000,0.013045,3.580462,-0.000419,0.049854,0.000000,-0.016000,0.000000,127,0,1,31,28,0.005366,0.010893,-0.003389,0.197553,0.235251,9.552662,3.017192,0.012449,0.007758,6,1,0,0.000000,0,2.980673,0.000000,0.028060,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,3.580463,0.049854,0.005434,0.000000,0.025676,-0.011241,1,2.980673,49,0.076380,0.008984,3.580463,0.001466,2.983491,0.005434,3.580462,2.967499,0.005434,0.049854,0.000000,0.012944,-0.377949,-25.790846,-0.015991,0.000000,0.000267,0.001846,-0.000018,0.000267,0.076380,0.008984,-9.809699,-0.005523,-0.016221,0.000000,-1.695131,0.012417,27.000000,0.013045,3.580462,0.001466,0.049854,0.000000,-0.016000,0.000000,132,0,1,31,28,-0.001042,0.017172,0.005212,-0.098655,0.328355,9.744814,3.017258,0.012417,0.007823,7,1,0,0.000000,0,2.980673,0.000000,0.025676,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,3.580553,0.049854,-0.012314,0.000000,0.026368,-0.011241,1,2.980673,59,0.076593,0.007398,3.580553,0.001466,2.983500,-0.012314,3.580558,2.967498,-0.012314,0.049854,0.000000,0.012809,-0.377949,-25.790846,-0.016003,0.000000,0.000623,0.001840,0.000012,0.000623,0.076593,0.007398,-9.809698,0.012730,0.005857,0.000000,-1.695133,0.012445,27.000000,0.013045,3.580558,0.001466,0.049854,0.000000,-0.016000,0.000000,137,0,1,31,28,-0.009556,-0.010405,-0.012182,0.227997,-0.092667,9.779077,3.017256,0.012445,0.007836,6,1,0,0.000000,0,2.980673,0.000000,0.026368,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,3.580557,0.049854,-0.005380,0.000000,0.027944,-0.011241,1,2.980673,69,0.076347,0.008390,3.580557,-0.000419,2.983363,-0.005380,3.580558,2.967365,-0.005380,0.049854,0.000000,0.012934,-0.377949,-25.790846,-0.015998,0.000000,0.000295,0.001994,0.000028,0.000295,0.076347,0.008390,-9.809699,-0.009134,-0.008135,0.000000,-1.695265,0.012467,27.000000,0.013045,3.580558,-0.000419,0.049854,0.000000,-0.016000,0.000000,142,0,1,31,28,0.005365,0.010922,-0.005522,0.264743,0.431847,9.899217,3.017124,0.012467,0.007816,6,1,0,0.000000,0,2.980673,0.000000,0.027944,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,3.580669,0.049854,0.021964,0.000000,0.025128,-0.011241,1,2.980673,79,0.076634,0.007318,3.580669,0.000419,2.983469,0.021964,3.580653,2.967489,0.021964,0.049854,0.000000,0.012805,-0.377949,-25.790846,-0.015980,0.000000,0.000636,0.002008,-0.000030,0.000636,0.076634,0.007318,-9.809698,0.008656,0.001556,0.000000,-1.695142,0.012448,27.000000,0.013045,3.580653,0.000419,0.049854,0.000000,-0.016000,0.000000,147,0,1,31,28,0.001112,0.004102,0.024262,-0.155396,0.184306,9.791181,3.017232,0.012454,0.007842,6,1,0,0.000000,0,2.980673,0.000000,0.025128,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,3.580749,0.049854,0.006983,0.000000,0.025584,-0.011241,1,2.980673,89,0.076832,0.009311,3.580749,0.002513,2.983545,0.006983,3.580749,2.967554,0.006983,0.049854,0.000000,0.012992,-0.377949,-25.790846,-0.015991,0.000000,0.000140,0.001979,0.000092,0.000140,0.076832,0.009311,-9.809695,0.009322,0.003171,0.000000,-1.695076,0.012434,27.000000,0.013045,3.580749,0.002513,0.049854,0.000000,-0.016000,0.000000,152,0,1,31,28,-0.007420,-0.006381,0.007067,0.083264,0.120211,9.570573,3.017313,0.012434,0.007870,6,1,0,0.000000,0,2.980673,0.000000,0.025584,0,0.044234,0.000000,-0.011241,2.980673,0.044234,1,1,1,0.586901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,3.580549,0.049854,-0.010173,0.000000,0.026135,-0.012043,1,2.980673,99,0.076495,0.007129,3.580549,-0.000419,2.983565,-0.010173,3.580558,2.967563,-0.010173,0.049854,0.000000,0.012817,-0.377949,-25.790846,-0.016002,0.000000,0.000604,0.001976,-0.000181,0.000604,0.076495,0.007129,-9.809699,0.002864,0.009930,0.000000,-1.695068,0.012479,27.000000,0.013045,3.580558,-0.000419,0.049854,0.000000,-0.016000,0.000000,157,0,1,31,28,0.001117,-0.010403,-0.010040,0.094700,0.121294,10.259662,3.017321,0.012479,0.007825,7,1,0,0.000000,0,2.980673,0.000000,0.026135,0,0.044167,0.000000,-0.012043,2.980673,0.044167,1,1,1,0.586937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,3.580748,0.049854,-0.007674,0.000000,0.026936,-0.016982,1,2.980673,109,0.076295,0.008831,3.580748,-0.000419,2.983503,-0.007674,3.580749,2.967503,-0.007674,0.049854,0.000000,0.012998,-0.377949,-25.790846,-0.016000,0.000000,0.000126,0.001999,0.000019,0.000126,0.076295,0.008831,-9.809699,-0.002776,-0.003863,0.000000,-1.695127,0.012486,27.000000,0.013045,3.580749,-0.000419,0.049854,0.000000,-0.016000,0.000000,162,0,1,31,28,0.001102,0.004527,-0.007733,0.102321,0.139345,9.570777,3.017262,0.012486,0.007813,6,1,0,0.000000,0,2.980673,0.000000,0.026936,0,0.043700,0.000000,-0.016982,2.980673,0.043700,1,1,1,0.586969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,3.580746,0.049854,-0.008809,0.000000,0.026300,-0.027521,1,2.980673,119,0.077371,0.007114,3.580746,0.001466,2.983509,-0.008809,3.580749,2.967507,-0.008809,0.049854,0.000000,0.012816,-0.377949,-25.790846,-0.016003,-0.001000,0.000605,0.001990,0.000009,0.000605,0.077371,0.007114,-9.809692,-0.000819,-0.004718,-0.001000,-1.695125,0.012485,27.000000,0.013045,3.580749,0.001466,0.049854,0.000000,-0.016000,-0.001000,167,0,1,31,28,-0.001033,0.004549,-0.009868,-0.251328,0.336303,9.869209,3.017264,0.012485,0.007914,7,1,0,0.000000,0,2.980673,0.000000,0.026300,0,0.042432,0.000000,-0.027521,2.980673,0.042432,1,1,1,0.587005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,3.580841,0.049854,-0.016678,0.000000,0.029015,-0.044449,1,2.980673,129,0.077032,0.008230,3.580841,0.000419,2.983288,-0.016678,3.580845,2.967283,-0.016678,0.049854,0.000000,0.012939,-0.377949,-25.790846,-0.016005,0.000000,0.000281,0.001997,0.000161,0.000281,0.077032,0.008230,-9.809694,0.006399,0.012921,0.000000,-1.695348,0.012492,27.000000,0.013045,3.580845,0.000419,0.049854,0.000000,-0.016000,0.000000,172,0,1,31,28,-0.001015,-0.014598,-0.016491,-0.078163,0.105730,9.962709,3.017041,0.012492,0.007885,6,1,0,0.000000,0,2.980673,0.000000,0.029015,0,0.039965,0.000000,-0.044449,2.980673,0.039965,1,1,1,0.587129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
