t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0001,2.064770,0.010738,0.009804,0.000000,0.039540,0.000000,1,-1.575108,6,0.228611,0.132720,2.064770,-0.000419,1.003503,0.009804,2.064770,0.995652,0.009804,0.010738,0.000000,0.013034,-0.532512,-50.347752,-0.007851,0.000000,0.000020,0.001974,0.000175,0.000020,0.228611,0.132720,-9.806438,0.020301,-0.007061,0.000000,2.577194,-0.000248,27.000000,0.013045,2.064770,-0.000419,0.010738,0.000000,-0.008000,0.000000,50,0,1,31,29,-0.003180,0.021383,0.009526,-0.250506,0.445627,10.310549,1.006398,-0.000248,0.023450,6,1,0,0.000000,0,0.998947,0.000000,0.039540,0,0.010738,0.000000,0.000000,0.998947,0.010738,1,1,1,1.059063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,2.064770,0.010738,0.009032,0.000000,0.004154,-0.000802,1,-1.575108,16,0.229222,0.133129,2.064770,0.002513,1.003577,0.009032,2.064770,0.995721,0.009032,0.010738,0.000000,0.013045,-0.532512,-50.347752,-0.007856,0.000000,0.000000,0.001960,0.000176,0.000000,0.229222,0.133129,-9.806418,-0.012038,0.000227,-0.000011,2.577264,-0.000278,27.000000,0.013045,2.064770,0.002513,0.010738,0.000000,-0.008000,0.000000,55,0,1,31,29,0.005392,-0.010646,0.009160,-0.154537,-0.101964,9.740453,1.006468,-0.000278,0.023513,6,1,0,0.000000,0,0.998813,0.000000,0.004154,0,0.010671,0.000000,-0.000802,0.998813,0.010671,1,1,1,1.059070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,2.068796,0.010738,-0.009358,0.000000,-0.005347,-0.005741,1,-1.575108,26,0.229669,0.132631,2.068796,0.048485,1.002838,-0.009358,2.068796,0.995747,-0.009358,0.010738,0.000000,0.013045,-0.532512,-50.347752,-0.007090,0.000000,0.000000,0.001982,0.001642,0.000000,0.229669,0.132631,-9.806414,0.021616,-0.010262,0.000025,2.577289,-0.000227,27.000000,0.013045,2.068796,0.048485,0.010738,0.000000,-0.008000,0.000000,60,0,1,31,29,-0.001053,0.023782,-0.009644,-0.097815,0.145735,9.819542,1.006493,-0.000227,0.023558,6,1,0,0.000000,0,0.997879,0.000000,-0.005347,0,0.010204,0.000000,-0.005741,0.997879,0.010204,1,1,1,1.059081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,2.077808,0.011505,0.013387,0.000000,-0.018584,-0.025484,1,-1.575108,36,0.229702,0.132599,2.077808,0.092572,1.002974,0.013387,2.077808,0.995116,0.013387,0.011505,0.000000,0.013045,-0.532512,-50.347752,-0.007858,0.000000,0.000000,0.002102,0.001697,0.000000,0.229702,0.132599,-9.806414,-0.002315,0.009684,-0.000007,2.577424,-0.000206,27.000000,0.013045,2.077808,0.092572,0.011505,0.000000,-0.008000,0.000000,65,0,1,31,29,-0.007419,-0.006466,0.013466,-0.221480,0.105182,10.000893,1.006628,-0.000206,0.023571,7,1,0,0.000000,0,0.995343,0.000000,-0.018584,0,0.008936,0.000000,-0.025484,0.995343,0.008936,1,1,1,1.059208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,2.083753,0.010738,-0.014222,0.000000,-0.068614,-0.025538,1,-1.575108,46,0.229635,0.132212,2.083753,0.058748,1.003806,-0.014222,2.083753,0.995938,-0.014222,0.010738,0.000000,0.013001,-0.532512,-50.347752,-0.007868,0.000000,0.000083,0.001990,0.000973,0.000083,0.229635,0.132212,-9.806421,-0.006036,-0.007689,-0.000000,2.577479,-0.000228,27.000000,0.013045,2.083753,0.058748,0.010738,0.000000,-0.008000,0.000000,70,0,1,31,29,0.009645,-0.001774,-0.014200,-0.556883,0.004769,9.597707,1.006683,-0.000228,0.023554,7,1,0,0.000000,0,0.990409,0.000000,-0.068614,0,0.006469,0.000000,-0.025538,0.990409,0.006469,1,1,1,1.061819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,2.083845,0.010738,-0.037320,0.000000,-0.101240,-0.055806,1,-1.575108,56,0.228103,0.131997,2.083845,0.003560,1.003460,-0.037320,2.083849,0.995575,-0.037320,0.010738,0.000000,0.012979,-0.532512,-50.347752,-0.007885,0.000000,0.000124,0.001947,-0.000410,0.000124,0.228103,0.131997,-9.806459,0.012734,-0.005796,0.000000,2.577117,-0.000230,27.000000,0.013045,2.083849,0.003560,0.010738,0.000000,-0.008000,0.000000,75,0,1,31,29,-0.001051,0.013466,-0.037498,0.140132,0.461408,9.822869,1.006320,-0.000230,0.023397,7,1,0,0.000000,0,0.982531,0.000000,-0.101240,0,0.002530,0.000000,-0.055806,0.982531,0.002530,1,1,1,1.062362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,2.076754,0.009204,0.133154,-0.209440,-0.167753,-0.063276,1,-1.575108,66,0.228363,0.132790,2.076754,-0.077178,1.004765,0.133154,2.076754,0.996502,0.133154,0.009204,-0.209440,0.013045,-0.532512,-50.347752,-0.008262,0.000000,0.000000,0.001994,-0.002571,0.000000,0.228363,0.132790,-9.806443,-0.000938,0.016257,-0.209448,2.576511,-0.000280,27.000000,0.013045,2.076754,-0.077178,0.009204,-0.209440,-0.008000,0.000000,80,0,1,31,29,-0.013845,-0.009567,-0.076176,-0.068240,-0.300715,9.575814,1.005715,-0.000280,0.023404,7,1,0,0.000000,0,0.971653,0.000000,-0.167753,0,-0.002909,0.000000,-0.063276,0.971653,-0.002909,1,1,1,1.062413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,2.052410,0.007638,0.046237,-0.209440,-0.219312,-0.088701,1,-1.575108,76,0.227375,0.133590,2.052410,-0.250071,1.004696,0.046237,2.052402,0.996759,0.046237,0.007638,-0.209440,0.012963,-0.532512,-50.347752,-0.007937,-0.001000,0.000153,0.001998,-0.006835,0.000153,0.227375,0.133590,-9.806455,-0.013469,0.029675,-0.210440,2.575206,-0.000481,27.000000,0.013045,2.052402,-0.250071,0.007670,-0.209440,-0.008000,-0.001000,85,0,1,31,29,-0.020256,-0.027655,-0.163858,-0.038681,0.533347,10.962357,1.004409,-0.000481,0.023283,7,1,0,0.000000,0,0.957775,0.000000,-0.219312,0,-0.009848,0.000000,-0.088701,0.957775,-0.009848,1,1,1,1.062414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,2.022888,0.006120,0.100961,-0.209440,-0.281667,-0.118022,1,-1.575108,86,0.220254,0.133960,2.022888,-0.314473,1.004770,0.100961,2.022873,0.996856,0.100961,0.006120,-0.209440,0.013004,-0.532512,-50.347752,-0.007914,-0.003000,0.000078,0.001977,-0.005244,0.000078,0.220254,0.133960,-9.806612,-0.125043,0.058426,-0.212440,2.573785,-0.000518,27.000000,0.013045,2.022873,-0.314473,0.006136,-0.209440,-0.008000,-0.003000,90,0,1,31,29,0.001224,-0.139452,-0.109674,0.974306,-0.179266,9.855256,1.002988,-0.000518,0.022537,7,1,0,0.000000,0,0.940897,0.000000,-0.281667,0,-0.018287,0.000000,-0.118022,0.940897,-0.018287,1,1,1,1.049022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,2.020655,0.006903,-0.084071,0.000000,-0.334914,-0.177480,1,-1.575108,96,0.199263,0.132102,2.020655,-0.022934,1.003479,-0.084071,2.020667,0.995561,-0.084071,0.006903,0.000000,0.012912,-0.532512,-50.347752,-0.007918,-0.003000,0.000249,0.001988,0.001532,0.000249,0.199263,0.132102,-9.807086,-0.115691,-0.005503,-0.003000,2.573269,-0.000416,27.000000,0.013045,2.020667,-0.022934,0.006903,0.000000,-0.008000,-0.003000,95,0,1,31,29,0.054558,-0.103283,-0.085745,2.174792,0.602969,9.289672,1.002473,-0.000416,0.020406,7,1,0,0.000000,0,0.921019,0.000000,-0.334914,0,-0.028226,0.000000,-0.177480,0.921019,-0.028226,1,1,1,1.046615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
