t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,43.207241,-0.052155,-0.000458,-0.000000,0.005548,-0.017567,0,-0.064774,209,0.128972,0.035067
0.0101,43.207244,-0.051388,0.009771,-0.000000,0.022702,-0.034441,0,-0.064774,219,0.129488,0.034984
0.0201,43.206973,-0.051388,0.027825,-0.000000,0.011559,-0.026771,0,-0.064774,229,0.130247,0.036719
0.0301,43.207038,-0.052155,-0.022385,-0.000000,0.005406,-0.017567,0,-0.064774,239,0.129846,0.037351
0.0401,43.207522,-0.051388,-0.000995,-0.000000,0.023489,-0.034441,0,-0.064774,249,0.128810,0.033737
0.0501,43.207068,-0.051388,0.018115,-0.000000,0.010770,-0.026771,0,-0.064774,3,0.129323,0.033305
0.0601,43.207241,-0.052155,0.002158,-0.000000,-0.005962,-0.017567,0,-0.064774,13,0.129541,0.035099
0.0701,43.207820,-0.051388,0.003691,-0.000000,-0.001376,-0.034441,0,-0.064774,23,0.130154,0.034708
0.0801,43.207053,-0.051388,0.007940,-0.000000,-0.022815,-0.026771,0,-0.064774,33,0.130313,0.034301
0.0901,43.205898,-0.051388,-0.002732,-0.000000,-0.039937,-0.026771,0,-0.064774,43,0.129035,0.036729
0.1001,43.204388,-0.052163,0.029018,-0.010066,-0.072084,-0.017477,0,-0.064774,53,0.128526,0.036430
0.1101,43.199777,-0.051389,0.023051,-0.001168,-0.076885,-0.034507,0,-0.064774,63,0.129517,0.035738
0.1201,43.188758,-0.051388,0.027720,-0.000136,-0.112059,-0.026777,0,-0.064774,73,0.130587,0.035902
0.1301,43.166780,-0.051388,-0.000375,-0.000016,-0.132327,-0.026771,0,-0.064774,83,0.128889,0.034783
0.1401,43.137391,-0.049854,0.148041,-0.000002,-0.135346,-0.045179,0,-0.064774,93,0.121789,0.034990
0.1501,43.130272,-0.043440,-0.019817,0.459739,-0.109173,-0.106806,0,-0.064774,103,0.103106,0.035166
0.1601,43.130425,-0.036513,-0.412658,0.565564,-0.080868,-0.125791,0,-0.064774,113,0.109722,0.039270
0.1701,43.122803,-0.031064,-0.647890,0.538533,-0.041630,-0.121912,0,-0.064774,123,0.117385,0.040540
0.1801,43.117625,-0.026592,-0.880601,0.488680,0.004919,-0.121086,0,-0.064774,133,0.106509,0.037963
0.1901,43.114209,-0.025242,-0.797300,0.106525,0.022843,-0.092555,0,-0.064774,143,0.109168,0.041830
0.2001,43.113359,-0.026832,-0.888754,0.012360,0.033874,-0.059985,0,-0.064774,153,0.115151,0.047235
0.2101,43.119908,-0.029422,-0.739545,-0.244180,0.053809,-0.044801,0,-0.064774,163,0.115106,0.044964
0.2201,43.130323,-0.033313,-0.590425,-0.392066,0.047423,-0.024020,0,-0.064774,172,0.118917,0.043150
0.2301,43.146338,-0.037254,-0.524869,-0.455077,0.067095,-0.015622,0,-0.064774,183,0.129510,0.043578
0.2401,43.167933,-0.042807,-0.470835,-0.509106,0.058890,0.011595,0,-0.064774,193,0.136897,0.037997
0.2501,43.186707,-0.048888,-0.440855,-0.614486,0.058527,0.029045,0,-0.064774,203,0.140030,0.033876
0.2601,43.183548,-0.058048,-0.165028,-0.958354,0.039670,0.078146,0,-0.064774,213,0.153650,0.039833
0.2701,43.178317,-0.065910,0.163094,-0.883844,0.035831,0.080894,0,-0.064774,223,0.146709,0.044775
0.2801,43.179874,-0.073587,0.305604,-0.817554,0.006418,0.094399,0,-0.064774,233,0.146924,0.052223
0.2901,43.179215,-0.078105,0.404629,-0.593580,0.009509,0.071843,0,-0.064774,243,0.150645,0.055402
0.3001,43.178408,-0.077679,0.284476,-0.200078,0.030006,0.021548,0,-0.064774,253,0.147321,0.049700
0.3101,43.176514,-0.076726,0.285274,-0.023215,0.010668,0.014376,0,-0.064774,7,0.139167,0.044293
0.3201,43.176027,-0.075933,0.285212,-0.002694,-0.001164,0.014391,0,-0.064774,17,0.134482,0.048260
0.3301,43.176897,-0.073486,0.249527,0.112300,0.005318,-0.007051,0,-0.064774,27,0.129131,0.044511
0.3401,43.175327,-0.070401,0.153687,0.230262,0.009371,-0.019594,0,-0.064774,37,0.126139,0.044071
0.3501,43.174198,-0.066524,0.160560,0.243949,0.010802,-0.035273,0,-0.064774,47,0.125201,0.049158
0.3601,43.174172,-0.065052,0.217781,0.152968,-0.029465,-0.014155,0,-0.064774,57,0.129943,0.054912
0.3701,43.174858,-0.062724,0.122118,0.179063,-0.034111,-0.027383,0,-0.064774,67,0.128370,0.050966
0.3801,43.173819,-0.060352,0.110182,0.205915,-0.069012,-0.032560,0,-0.064774,77,0.125052,0.039386
0.3901,43.167294,-0.058030,0.106420,0.209031,-0.116490,-0.036710,0,-0.064774,87,0.125614,0.038558
0.4001,43.154923,-0.056633,0.167770,0.100215,-0.178642,-0.030251,0,-0.064774,97,0.127904,0.043799
0.4101,43.130371,-0.055176,0.169323,0.072103,-0.230314,-0.033761,0,-0.064774,107,0.128655,0.048121
0.4201,43.091571,-0.052822,0.208750,0.088213,-0.286750,-0.047449,0,-0.064774,117,0.125889,0.045768
0.4301,43.074813,-0.044834,0.066610,0.616477,-0.319410,-0.119762,0,-0.064774,127,0.101328,0.050385
0.4401,43.080237,-0.037788,-0.346355,0.689404,-0.401697,-0.124424,0,-0.064774,137,0.103601,0.049908
0.4501,43.073932,-0.031761,-0.598073,0.618798,-0.443346,-0.126300,0,-0.064774,146,0.117566,0.051162
0.4601,43.066855,-0.024796,-0.850469,0.629871,-0.481922,-0.149604,0,-0.064774,157,0.105343,0.041957
0.4701,43.061225,-0.021920,-0.847842,0.362841,-0.581502,-0.114471,0,-0.064774,167,0.100694,0.043737
0.4801,43.054939,-0.022192,-0.794035,0.048643,-0.662718,-0.082439,0,-0.064774,177,0.107787,0.057095
0.4901,43.048939,-0.022239,-0.837807,0.005644,-0.720057,-0.084596,0,-0.064774,187,0.105710,0.057937
0.5001,43.041782,-0.022242,-0.862433,0.000655,-0.773334,-0.085035,0,-0.064774,197,0.103494,0.047117
0.5101,43.038416,-0.023891,-0.860548,-0.115194,-0.836483,-0.065277,0,-0.064774,207,0.112012,0.048825
0.5201,43.026680,-0.025403,-0.866819,-0.155310,-0.879673,-0.063622,0,-0.064774,217,0.118414,0.053269
0.5301,43.017719,-0.026211,-0.946593,-0.129855,-0.888755,-0.069049,0,-0.064774,226,0.113996,0.046572
0.5401,43.008272,-0.027747,-0.952952,-0.187120,-0.917076,-0.058684,0,-0.064774,237,0.110439,0.051709
0.5501,42.997151,-0.029333,-1.004276,-0.174756,-0.914080,-0.055027,0,-0.064774,247,0.111990,0.063800
0.5601,42.984793,-0.029199,-1.102195,-0.058913,-0.899954,-0.072490,0,-0.064774,1,0.111773,0.071552
0.5701,42.972945,-0.029151,-1.214817,-0.006836,-0.888537,-0.071726,0,-0.064774,11,0.110784,0.072519
0.5801,42.961721,-0.029146,-1.291777,-0.000793,-0.864384,-0.071303,0,-0.064774,21,0.108796,0.074453
0.5901,42.948057,-0.029145,-1.314244,-0.000092,-0.840336,-0.071261,0,-0.064774,31,0.102419,0.073156
0.6001,42.933812,-0.028378,-1.336894,-0.000011,-0.787038,-0.080460,0,-0.064774,41,0.095158,0.066457
0.6101,42.919898,-0.027611,-1.398682,-0.000001,-0.752428,-0.081994,0,-0.064774,51,0.097935,0.068002
0.6201,42.904517,-0.027611,-1.491097,-0.000000,-0.709064,-0.074324,0,-0.064774,61,0.100327,0.073759
0.6301,42.889965,-0.026845,-1.622482,-0.000000,-0.635148,-0.083527,0,-0.064774,71,0.097698,0.076128
0.6401,42.874611,-0.027645,-1.694820,-0.036652,-0.590752,-0.066248,0,-0.064774,81,0.096630,0.078610
0.6501,42.858290,-0.028454,-1.674829,-0.096822,-0.539395,-0.064553,0,-0.064774,91,0.095364,0.084258
0.6601,42.842379,-0.029204,-1.755405,-0.054429,-0.482652,-0.063641,0,-0.064774,101,0.092815,0.088493
0.6701,42.825772,-0.029186,-1.765026,-0.062233,-0.449215,-0.071359,0,-0.064774,111,0.092694,0.096806
0.6801,42.806761,-0.029936,-1.842104,-0.022706,-0.402411,-0.062166,0,-0.064774,121,0.093165,0.100520
0.6901,42.788472,-0.029919,-1.911584,-0.009177,-0.367827,-0.069884,0,-0.064774,131,0.090546,0.104110
0.7001,42.768750,-0.029913,-1.946007,-0.001065,-0.311304,-0.069774,0,-0.064774,141,0.086339,0.101666
0.7101,42.749954,-0.029913,-1.998159,-0.000124,-0.280793,-0.069731,0,-0.064774,151,0.083299,0.103679
0.7201,42.729244,-0.029912,-2.055883,-0.000014,-0.221964,-0.069723,0,-0.064774,160,0.081497,0.104052
0.7301,42.708123,-0.029912,-2.115377,-0.000002,-0.190352,-0.069722,0,-0.064774,171,0.078786,0.108774
