t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,44.598772,0.003068,-0.003605,-0.000000,0.053347,0.000000,0,0.053835,97,0.250831,0.113295
0.0101,44.598676,0.002301,-0.002490,-0.000000,0.000803,0.010006,0,0.053835,106,0.250819,0.113069
0.0201,44.599167,0.003068,0.010331,-0.000000,0.016462,-0.001929,0,0.053835,116,0.251217,0.113230
0.0301,44.602719,0.003068,0.016221,-0.000000,0.006702,0.016280,0,0.053835,126,0.252812,0.113507
0.0401,44.601378,0.003835,0.022773,-0.000000,0.016373,0.024004,0,0.053835,136,0.252185,0.114183
0.0501,44.599975,0.003835,0.071721,-0.000000,0.003125,0.053915,0,0.053835,146,0.251817,0.113302
0.0601,44.600028,0.005399,0.129869,0.036652,0.013590,0.057285,0,0.053835,156,0.251902,0.112546
0.0701,44.600192,0.008595,0.088860,0.189391,0.019845,0.054320,0,0.053835,166,0.255991,0.112563
0.0801,44.599527,0.012530,0.091852,0.283074,0.018570,0.055577,0,0.053835,177,0.258594,0.110947
0.0901,44.599930,0.016453,0.092083,0.347204,0.011337,0.060378,0,0.053835,186,0.259842,0.110675
0.1001,44.599957,0.020825,0.093805,0.378469,0.015642,0.054852,0,0.053835,197,0.260032,0.113637
0.1101,44.599868,0.026277,0.086861,0.420733,0.019245,0.035245,0,0.053835,206,0.260064,0.112089
0.1201,44.599580,0.030936,0.077714,0.451188,0.004792,0.029571,0,0.053835,216,0.261651,0.112595
0.1301,44.599791,0.035544,0.093109,0.422628,0.004771,0.011304,0,0.053835,226,0.261812,0.113269
0.1401,44.599769,0.039319,0.076167,0.382662,-0.003461,0.002666,0,0.053835,236,0.260794,0.112262
0.1501,44.599218,0.043165,0.097205,0.337593,-0.000769,-0.012736,0,0.053835,246,0.258662,0.111776
0.1601,44.599298,0.046983,0.159348,0.230852,0.002182,-0.023875,0,0.053835,0,0.257852,0.111679
0.1700,44.599073,0.048450,0.126251,0.152571,-0.016591,-0.003906,0,0.053835,11,0.256950,0.111303
