t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0001,11.887948,0.008437,-0.003155,0.000000,0.040395,0.000000,0,-0.190764,183,0.017866,0.105431,11.887948,0.000419,8.372152,-0.003155,11.887957,8.441140,-0.003155,0.008437,0.000000,0.012170,-0.549973,-53.540195,0.068989,0.000000,0.001590,0.002173,-0.000083,0.001590,0.017866,0.105431,-9.809417,-0.005497,0.015158,0.000000,-2.546000,0.001438,27.000000,0.013045,11.887957,0.000419,0.008437,0.000000,0.069000,0.000000,50,0,1,33,32,0.005361,0.015167,-0.003339,0.208015,0.231251,9.878023,2.166389,0.001438,0.001912,6,1,0,0.000000,0,8.444507,0.000000,0.040395,0,0.008437,0.000000,0.000000,8.444507,0.008437,1,1,1,3.503701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,11.887897,0.008437,0.021922,0.000000,0.008334,-0.000802,0,-0.190764,193,0.017861,0.104445,11.887897,0.000419,8.372134,0.021922,11.887861,8.441141,0.021922,0.008437,0.000000,0.012067,-0.549973,-53.540195,0.069006,0.000000,0.001779,0.002004,-0.000098,0.001779,0.017861,0.104445,-9.809428,0.003546,-0.005920,0.000000,-2.546000,0.001435,27.000000,0.013045,11.887861,0.000419,0.008437,0.000000,0.069000,0.000000,55,0,1,33,32,-0.001012,-0.006561,0.022003,0.275076,-0.070572,9.540070,2.166389,0.001435,0.001910,7,1,0,0.000000,0,8.444640,0.000000,0.008334,0,0.008370,0.000000,-0.000802,8.444640,0.008370,1,1,1,3.503741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,11.889931,0.008437,0.029224,0.000000,0.013682,-0.005741,0,-0.190764,203,0.019558,0.104163,11.889931,0.020944,8.372508,0.029224,11.889875,8.441518,0.029224,0.008437,0.000000,0.012072,-0.549973,-53.540195,0.069010,0.000000,0.001768,0.001990,0.000670,0.001768,0.019558,0.104163,-9.809427,-0.027317,0.018288,0.000000,-2.545623,0.001471,27.000000,0.013045,11.889875,0.020944,0.008437,0.000000,0.069000,0.000000,60,0,1,33,32,-0.003160,0.008307,0.028574,-0.295466,-0.574465,10.051437,2.166749,0.001477,0.002064,7,1,0,0.000000,0,8.445575,0.000000,0.013682,0,0.007903,0.000000,-0.005741,8.445575,0.007903,1,1,1,3.503821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,11.892610,0.009204,0.030713,0.000000,0.043471,-0.025484,0,-0.190764,213,0.020603,0.103862,11.892610,0.032149,8.372095,0.030713,11.892559,8.441107,0.030713,0.009204,0.000000,0.012079,-0.549973,-53.540195,0.069012,0.000000,0.001757,0.002017,-0.000073,0.001757,0.020603,0.103862,-9.809429,0.003519,0.007587,0.000000,-2.545267,0.001511,27.000000,0.013045,11.892559,0.032149,0.009204,0.000000,0.069000,0.000000,65,0,1,33,32,0.007518,0.004035,0.030666,0.005955,0.688702,9.997334,2.167122,0.001511,0.002198,6,1,0,0.000000,0,8.448110,0.000000,0.043471,0,0.006635,0.000000,-0.025484,8.448110,0.006635,1,1,1,3.505415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,11.892760,0.008437,0.010806,0.000000,0.061757,-0.025538,0,-0.190764,223,0.020328,0.107343,11.892760,-0.002513,8.373062,0.010806,11.892751,8.442062,0.010806,0.008437,0.000000,0.012414,-0.549973,-53.540195,0.069000,0.000000,0.001148,0.002001,-0.000126,0.001148,0.020328,0.107343,-9.809392,0.025403,-0.012543,0.000000,-2.545079,0.001489,27.000000,0.013045,11.892751,-0.002513,0.008437,0.000000,0.069000,0.000000,70,0,1,33,32,0.011813,-0.025615,0.011125,-0.270151,-0.173455,9.328132,2.167310,0.001489,0.002164,7,1,0,0.000000,0,8.453044,0.000000,0.061757,0,0.004168,0.000000,-0.025538,8.453044,0.004168,1,1,1,3.505615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,11.894161,0.008437,-0.030172,0.000000,0.118203,-0.055806,0,-0.190764,233,0.018410,0.107550,11.894161,0.019897,8.372949,-0.030172,11.894189,8.441920,-0.030172,0.008437,0.000000,0.012417,-0.549973,-53.540195,0.068971,0.001000,0.001142,0.002008,0.000727,0.001142,0.018410,0.107550,-9.809393,-0.013260,-0.012401,0.001000,-2.545221,0.001470,27.000000,0.013045,11.894189,0.019897,0.008437,0.000000,0.069000,0.001000,75,0,1,33,32,-0.018109,-0.001655,-0.029154,0.658472,-0.008617,9.962040,2.167168,0.001470,0.001969,7,1,0,0.000000,0,8.460922,0.000000,0.118203,0,0.000229,0.000000,-0.055806,8.460922,0.000229,1,1,1,3.505865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,11.900278,0.006692,0.143980,-0.209440,0.151657,-0.060745,0,-0.190764,243,0.018910,0.108433,11.900278,0.066916,8.374225,0.143980,11.900133,8.443327,0.143980,0.006692,-0.209440,0.012491,-0.549973,-53.540195,0.069102,0.000000,0.001007,0.002133,0.001580,0.001007,0.018910,0.108433,-9.809382,0.002374,-0.001225,-0.209440,-2.545559,0.001451,27.000000,0.013045,11.900133,0.066916,0.006903,-0.209440,0.069000,0.000000,80,0,1,33,32,0.001093,-0.003255,-0.065424,-0.183525,0.144157,9.943886,2.166830,0.001451,0.002002,6,1,0,0.000000,0,8.471800,0.000000,0.151657,0,-0.005210,0.000000,-0.060745,8.471800,-0.005210,1,1,1,3.508464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,11.915388,0.004172,0.128645,-0.314159,0.209171,-0.076836,0,-0.190764,253,0.019921,0.108267,11.915388,0.163049,8.375421,0.128645,11.915186,8.444520,0.128645,0.004172,-0.314159,0.012293,-0.549973,-53.540195,0.069098,-0.001000,0.001367,0.001986,0.004188,0.001367,0.019921,0.108267,-9.809382,-0.026111,0.007651,-0.315159,-2.546885,0.001265,27.000000,0.013045,11.915186,0.163049,0.004602,-0.314159,0.069000,-0.001000,85,0,1,33,32,-0.016043,0.019681,-0.186771,-0.038814,-0.416975,9.699080,2.165504,0.001265,0.002077,7,1,0,0.000000,0,8.485678,0.000000,0.209171,0,-0.012149,0.000000,-0.076836,8.485678,-0.012149,1,1,1,3.515362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,11.931141,-0.002381,0.186013,-0.628319,0.243153,-0.055264,0,-0.190764,7,0.028854,0.109436,11.931141,0.153938,8.378774,0.186013,11.930909,8.447995,0.186013,-0.002381,-0.628319,0.012303,-0.549973,-53.540195,0.069220,0.000000,0.001349,0.002001,0.001483,0.001349,0.028854,0.109436,-9.809347,-0.094172,0.082917,-0.628319,-2.549964,0.001140,27.000000,0.013045,11.930909,0.153938,-0.001534,-0.628319,0.069000,0.000000,90,0,1,33,32,-0.026895,0.117106,-0.443780,-2.165685,0.815139,9.729218,2.162425,0.001140,0.002915,6,1,0,0.000000,0,8.502556,0.000000,0.243153,0,-0.020588,0.000000,-0.055264,8.502556,-0.020588,1,1,1,3.521822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,11.933707,-0.012105,0.335432,-0.942478,0.300072,-0.038994,0,-0.190764,17,0.036133,0.111596,11.933707,0.029112,8.382678,0.335432,11.933210,8.451960,0.335432,-0.012105,-0.942478,0.012247,-0.549973,-53.540195,0.069282,0.003000,0.001451,0.001972,-0.000671,0.001451,0.036133,0.111596,-9.809299,0.000285,-0.046437,-0.939478,-2.555722,0.000827,27.000000,0.013045,11.933210,0.029112,-0.010738,-0.942478,0.069000,0.003000,95,0,1,33,32,-0.026770,-0.045339,-0.603535,-1.453129,-0.797858,9.502926,2.156667,0.000827,0.003545,7,1,0,0.000000,0,8.522434,0.000000,0.300072,0,-0.030527,0.000000,-0.038994,8.522434,-0.030527,1,1,1,3.522196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
