t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,17.470390,-0.144961,0.010949,-0.000000,0.018740,-0.016600,1,18.854384,37,-0.057425,-0.124799
0.0101,17.470390,-0.144961,-0.006729,-0.000000,0.018860,-0.016600,1,18.854384,45,-0.057031,-0.124630
0.0201,17.470390,-0.144961,-0.002561,-0.000000,0.018919,-0.015798,1,18.854384,55,-0.057337,-0.124303
0.0301,17.470390,-0.144961,0.006764,-0.000000,0.018633,-0.010859,1,18.854384,65,-0.057143,-0.124215
0.0401,17.470390,-0.144961,-0.002196,-0.000000,0.019245,-0.000320,1,18.854384,75,-0.056723,-0.124456
0.0501,17.470390,-0.144961,0.011547,-0.000000,0.018186,0.016607,1,18.854384,85,-0.056718,-0.124676
0.0601,17.470495,-0.144194,0.061518,-0.000000,0.022714,0.030001,1,18.854384,95,-0.056003,-0.125639
0.0701,17.470390,-0.142660,0.086524,0.075961,0.024368,0.045141,1,18.854384,105,-0.053849,-0.125971
0.0801,17.470396,-0.140336,0.039991,0.187410,0.024583,0.061471,1,18.854384,115,-0.052230,-0.127729
0.0901,17.470390,-0.136524,0.067404,0.282844,0.034090,0.070846,1,18.854384,125,-0.050218,-0.127935
0.1001,17.470696,-0.131858,0.098974,0.363786,0.029037,0.087855,1,18.854384,135,-0.047646,-0.129522
0.1101,17.471828,-0.125786,0.072885,0.505056,0.036694,0.099525,1,18.854384,145,-0.045780,-0.129947
0.1201,17.473554,-0.118116,0.094879,0.637840,0.040417,0.109085,1,18.854384,155,-0.042942,-0.131564
0.1301,17.474034,-0.108146,0.076500,0.868495,0.049616,0.109903,1,18.854384,165,-0.038600,-0.132379
0.1401,17.474034,-0.097408,0.091592,0.970546,0.044632,0.125058,1,18.854384,175,-0.034237,-0.132271
0.1501,17.474225,-0.085136,0.070859,1.174740,0.047508,0.127341,1,18.854384,185,-0.031405,-0.133124
0.1601,17.474321,-0.071330,0.108320,1.307610,0.041697,0.123544,1,18.854384,195,-0.026610,-0.134851
0.1701,17.474247,-0.054902,0.093505,1.441147,0.052298,0.099823,1,18.854384,205,-0.021706,-0.136552
0.1801,17.474129,-0.039883,0.133518,1.516444,0.036540,0.114612,1,18.854384,215,-0.018018,-0.134995
0.1901,17.474417,-0.023777,0.120992,1.564490,0.027741,0.096855,1,18.854384,225,-0.018245,-0.134743
0.2001,17.474321,-0.006903,0.119015,1.625982,0.036292,0.074561,1,18.854384,235,-0.015436,-0.136318
0.2100,17.474034,0.009204,0.214698,1.577200,0.009545,0.062962,1,18.854384,245,-0.013157,-0.136087
0.2201,17.474417,0.024544,0.281437,1.495578,0.009833,0.049252,1,18.854384,255,-0.011709,-0.134637
0.2301,17.474035,0.040659,0.267470,1.476042,0.003244,0.015573,1,18.854384,9,-0.010374,-0.134357
0.2400,17.473171,0.055223,0.209538,1.407880,0.004276,0.005245,1,18.854384,19,-0.009498,-0.135501
0.2501,17.473267,0.068262,0.138105,1.330103,-0.015454,-0.005273,1,18.854384,29,-0.010387,-0.136003
0.2601,17.473188,0.079870,0.191833,1.112116,-0.020471,-0.016872,1,18.854384,39,-0.011614,-0.136274
0.2701,17.471733,0.089738,0.202370,0.918293,-0.011946,-0.024116,1,18.854384,49,-0.010093,-0.136797
0.2801,17.468473,0.096641,0.219229,0.771141,-0.040667,-0.012028,1,18.854384,59,-0.007501,-0.137507
0.2901,17.462720,0.103544,0.197769,0.609965,-0.029699,-0.026994,1,18.854384,69,-0.005768,-0.137537
0.3001,17.455626,0.106612,0.275013,0.397183,-0.069285,0.007443,1,18.854384,79,-0.004365,-0.138828
0.3101,17.448723,0.111214,0.309929,0.307184,-0.036190,-0.013547,1,18.854384,89,-0.005118,-0.140127
0.3201,17.440765,0.113515,0.324978,0.237389,-0.063520,0.004088,1,18.854384,99,-0.003621,-0.141146
0.3301,17.431871,0.116597,0.328477,0.212682,-0.058180,-0.016421,1,18.854384,109,-0.006246,-0.140150
0.3401,17.433671,0.119651,0.265046,0.265733,-0.062250,-0.035244,1,18.854384,119,-0.009277,-0.139419
0.3501,17.434457,0.124330,0.070279,0.360678,-0.038621,-0.079020,1,18.854384,129,-0.008210,-0.138207
0.3601,17.433958,0.126554,-0.009651,0.160226,-0.046451,-0.080191,1,18.854384,139,-0.008707,-0.137628
0.3701,17.434523,0.127324,-0.107902,0.028656,-0.035652,-0.091469,1,18.854384,149,-0.013541,-0.136647
0.3801,17.434342,0.125787,-0.215447,-0.117626,-0.033465,-0.092596,1,18.854384,159,-0.014580,-0.135310
0.3901,17.434309,0.123442,-0.222023,-0.284813,-0.014990,-0.110111,1,18.854384,169,-0.014387,-0.138556
0.4001,17.434522,0.117321,-0.186089,-0.533218,-0.036241,-0.093370,1,18.854384,179,-0.012772,-0.138817
0.4101,17.434548,0.109680,-0.194487,-0.731020,-0.032333,-0.099168,1,18.854384,187,-0.013499,-0.137360
0.4201,17.436259,0.101243,-0.171857,-0.862025,-0.023371,-0.113610,1,18.854384,199,-0.012793,-0.138522
0.4301,17.435205,0.090505,-0.142594,-1.085065,-0.027575,-0.111399,1,18.854384,209,-0.012761,-0.139774
0.4401,17.435876,0.078233,-0.175416,-1.180812,-0.023469,-0.116307,1,18.854384,219,-0.016353,-0.138456
0.4501,17.435669,0.064170,-0.081048,-1.426435,-0.023586,-0.114402,1,18.854384,229,-0.020792,-0.135684
