t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,42.418201,0.005369,0.009775,-0.000000,0.041437,0.009204,1,20.025730,91,0.112439,0.112477
0.0101,42.418380,0.006136,0.002365,-0.000000,0.017688,-0.008472,1,20.025730,100,0.112248,0.111990
0.0201,42.418919,0.006136,0.038100,-0.000000,0.015825,-0.005741,1,20.025730,111,0.113156,0.112022
0.0301,42.425224,0.006903,0.018799,-0.000000,0.046489,-0.025484,1,20.025730,121,0.113133,0.112177
0.0401,42.432418,0.006769,0.044555,-0.073304,0.072965,-0.033135,1,20.025730,131,0.113699,0.111089
0.0501,42.437864,0.005238,0.017261,-0.084466,0.107565,-0.038692,1,20.025730,141,0.112977,0.112256
0.0601,42.446033,0.003488,0.071159,-0.188396,0.159745,-0.058898,1,20.025730,150,0.114048,0.111949
0.0701,42.462102,0.000230,0.126229,-0.336219,0.205370,-0.066115,1,20.025730,161,0.115682,0.113863
0.0801,42.484557,-0.006442,0.086834,-0.582377,0.248527,-0.048350,1,20.025730,171,0.122307,0.112864
0.0901,42.489581,-0.017041,0.308493,-1.006766,0.297600,-0.015612,1,20.025730,181,0.134362,0.117441
0.1001,42.493390,-0.028518,0.627696,-1.135076,0.344568,-0.008702,1,20.025730,191,0.121201,0.113172
0.1101,42.503492,-0.042432,0.862526,-1.318494,0.378275,0.022425,1,20.025730,199,0.119396,0.112749
0.1201,42.512193,-0.054964,0.974136,-1.326274,0.451990,0.017125,1,20.025730,211,0.130512,0.117088
0.1301,42.522074,-0.065745,1.010047,-1.188756,0.532550,0.009939,1,20.025730,220,0.133686,0.107989
0.1401,42.532742,-0.076897,1.134701,-1.192844,0.592644,0.030869,1,20.025730,230,0.133183,0.105865
0.1501,42.544005,-0.088828,1.270012,-1.212583,0.657642,0.063749,1,20.025730,240,0.133765,0.108439
0.1601,42.555345,-0.098240,1.362007,-1.098481,0.754370,0.062475,1,20.025730,250,0.133284,0.110544
0.1701,42.567913,-0.105929,1.473632,-0.923927,0.838391,0.068709,1,20.025730,5,0.130262,0.105931
