t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,-5.672276,0.010738,-0.014594,0.000000,0.044146,0.000000,1,-9.250314,251,0.221724,0.220828,-5.672276,0.001466,-7.571902,-0.014594,-5.672268,-7.557442,-0.014594,0.010738,0.000000,0.012803,-0.443287,-36.579081,0.014460,0.000000,0.000546,0.002102,0.000212,0.000546,0.221724,0.220828,-9.805008,-0.008433,-0.014310,0.000000,0.307494,-0.009469,27.000000,0.013045,-5.672268,0.001466,0.010738,0.000000,0.014000,0.000000,185,0,1,32,30,0.001123,-0.016757,-0.014381,0.055340,0.013246,9.713036,-1.263302,-0.009469,0.022845,7,1,0,0.000000,0,-7.553763,0.000000,0.044146,0,0.010738,0.000000,0.000000,-7.553763,0.010738,1,1,1,1.889656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,-5.672364,0.011505,0.002990,0.000000,0.015927,-0.010006,1,-9.250314,4,0.221213,0.220983,-5.672364,0.001466,-7.572761,0.002990,-5.672364,-7.558290,0.002990,0.011505,0.000000,0.012803,-0.443287,-36.579081,0.014471,0.000000,0.000545,0.002125,0.000007,0.000545,0.221213,0.220983,-9.805016,0.005131,0.001767,0.000000,0.307413,-0.009467,27.000000,0.013045,-5.672364,0.001466,0.011505,0.000000,0.014000,0.000000,190,0,1,32,30,0.003240,0.004391,0.002934,-0.000501,-0.360761,9.795375,-1.263383,-0.009467,0.022810,7,1,0,0.000000,0,-7.553897,0.000000,0.015927,0,0.010671,0.000000,-0.010006,-7.553897,0.010671,1,1,1,1.889687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,-5.672460,0.010738,0.004186,0.000000,-0.012578,0.001929,1,-9.250314,14,0.222792,0.221203,-5.672460,-0.002513,-7.571919,0.004186,-5.672460,-7.557444,0.004186,0.010738,0.000000,0.012805,-0.443287,-36.579081,0.014475,-0.001000,0.000542,0.003919,-0.000243,0.000542,0.222792,0.221203,-9.804975,-0.002407,0.017224,-0.001000,0.307494,-0.009504,27.000000,0.013045,-5.672460,-0.002513,0.010738,0.000000,0.014000,-0.001000,195,0,1,32,30,-0.011711,0.012896,0.003021,-0.098576,0.290343,9.725290,-1.263302,-0.009504,0.022955,7,1,0,0.000000,0,-7.554831,0.000000,-0.012578,0,0.010204,0.000000,0.001929,-7.554831,0.010204,1,1,1,1.889719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,-5.669300,0.011505,0.002465,0.000000,-0.016244,-0.025484,1,-9.250314,24,0.221868,0.221440,-5.669300,0.034243,-7.572663,0.002465,-5.669296,-7.558190,0.002465,0.011505,0.000000,0.012815,-0.443287,-36.579081,0.014473,0.000000,0.000519,0.003853,0.000974,0.000519,0.221868,0.221440,-9.804991,-0.008713,-0.014661,0.000000,0.307514,-0.009501,27.000000,0.013045,-5.669296,0.034243,0.011505,0.000000,0.014000,0.000000,200,0,1,32,30,0.001128,-0.016984,0.002683,0.286046,-0.425184,9.603505,-1.263283,-0.009501,0.022878,6,1,0,0.000000,0,-7.557367,0.000000,-0.016244,0,0.008936,0.000000,-0.025484,-7.557367,0.008936,1,1,1,1.889757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,-5.664192,0.010738,-0.024843,0.000000,-0.066825,-0.025537,1,-9.250314,36,0.222235,0.219030,-5.664192,0.038327,-7.571870,-0.024843,-5.664214,-7.557418,-0.024843,0.010738,0.000000,0.012635,-0.443287,-36.579081,0.014451,0.000000,0.000926,0.001999,0.000423,0.000926,0.222235,0.219030,-9.805036,-0.002153,0.002452,0.000000,0.307518,-0.009453,27.000000,0.013045,-5.664214,0.038327,0.010738,0.000000,0.014000,0.000000,4,0,1,32,30,-0.003168,0.000468,-0.024850,-0.421831,0.498546,10.665074,-1.263278,-0.009453,0.022895,7,1,0,0.000000,0,-7.562301,0.000000,-0.066825,0,0.006469,0.000000,-0.025537,-7.562301,0.006469,1,1,1,1.889812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,-5.665567,0.010738,-0.037942,0.000000,-0.100583,-0.054804,1,-9.250314,46,0.220549,0.220719,-5.665567,-0.014765,-7.572168,-0.037942,-5.665557,-7.557728,-0.037942,0.010738,0.000000,0.012742,-0.443287,-36.579081,0.014440,0.000000,0.000684,0.002011,-0.000910,0.000684,0.220549,0.220719,-9.805037,-0.002240,-0.012660,0.000000,0.307208,-0.009520,27.000000,0.013045,-5.665557,-0.014765,0.010738,0.000000,0.014000,0.000000,9,0,1,32,30,0.005380,-0.012159,-0.037791,0.074933,-0.130055,9.702038,-1.263588,-0.009520,0.022725,7,1,0,0.000000,0,-7.570179,0.000000,-0.100583,0,0.002614,0.000000,-0.054804,-7.570179,0.002614,1,1,1,1.889868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,-5.674951,0.009029,0.116605,-0.209440,-0.168088,-0.054837,1,-9.250314,56,0.221160,0.220207,-5.674951,-0.104824,-7.571238,0.116605,-5.675049,-7.556674,0.116605,0.009029,-0.209440,0.012675,-0.443287,-36.579081,0.014564,0.000000,0.000834,0.003976,-0.006164,0.000834,0.221160,0.220207,-9.805034,-0.007540,0.021128,-0.209440,0.306555,-0.009572,27.000000,0.013045,-5.675049,-0.104824,0.009204,-0.209440,0.014000,0.000000,14,0,1,32,30,-0.018142,0.012017,-0.092995,-0.441846,-0.043568,9.645149,-1.264241,-0.009572,0.022749,7,1,0,0.000000,0,-7.581057,0.000000,-0.168088,0,-0.002311,0.000000,-0.054837,-7.581057,-0.002311,1,1,1,1.889911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,-5.698593,0.007493,0.040685,-0.209440,-0.217066,-0.071362,1,-9.250314,66,0.218645,0.220465,-5.698593,-0.249024,-7.571016,0.040685,-5.698633,-7.556527,0.040685,0.007493,-0.209440,0.012670,-0.443287,-36.579081,0.014490,0.000000,0.000845,0.001988,-0.006903,0.000845,0.218645,0.220465,-9.805085,-0.021723,-0.031475,-0.209440,0.305164,-0.009640,27.000000,0.013045,-5.698633,-0.249024,0.007670,-0.209440,0.014000,0.000000,19,0,1,32,30,-0.001032,-0.040365,-0.168257,0.456211,0.242596,9.744313,-1.265632,-0.009640,0.022459,8,1,0,0.000000,0,-7.594935,0.000000,-0.217066,0,-0.007904,0.000000,-0.071362,-7.594935,-0.007904,1,1,1,1.889896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,-5.738249,0.005150,0.104325,-0.314159,-0.285668,-0.073022,1,-9.250314,76,0.217486,0.221051,-5.738249,-0.421916,-7.570529,0.104325,-5.738326,-7.556001,0.104325,0.005150,-0.314159,0.012736,-0.443287,-36.579081,0.014529,-0.001000,0.000697,0.002010,-0.009422,0.000697,0.217486,0.221051,-9.805097,-0.007912,-0.011123,-0.315159,0.303347,-0.009688,27.000000,0.013045,-5.738326,-0.421916,0.005369,-0.314159,0.014000,-0.001000,24,0,1,32,30,-0.001070,-0.016292,-0.210644,0.115047,-0.157170,10.352581,-1.267449,-0.009688,0.022289,6,1,0,0.000000,0,-7.611813,0.000000,-0.285668,0,-0.013766,0.000000,-0.073022,-7.611813,-0.013766,1,1,1,1.869837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,-5.763996,0.007832,-0.100507,0.209440,-0.309929,-0.138782,1,-9.250314,84,0.198050,0.223504,-5.763996,-0.315521,-7.573699,-0.100507,-5.763925,-7.559353,-0.100507,0.007832,0.209440,0.012702,-0.443287,-36.579081,0.014346,-0.002000,0.000773,0.003832,-0.003033,0.000773,0.198050,0.223504,-9.805454,-0.113884,-0.262601,0.207440,0.302662,-0.009927,27.000000,0.013045,-5.763925,-0.315521,0.007670,0.209440,0.014000,-0.002000,29,0,1,32,30,0.029190,-0.283358,0.110541,3.937115,-1.932649,7.150274,-1.268134,-0.009927,0.020369,6,1,0,0.000000,0,-7.631691,0.000000,-0.309929,0,-0.019496,0.000000,-0.138782,-7.631691,-0.019496,1,1,1,1.858179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
