t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay,theta_big_motor,dtheta_big_motor,theta_big_platform,dtheta_big_platform,theta_big_motor_meas,platform_azimuth,platform_rate,small_joint_angle_est,small_joint_rate_est,pitch_joint_angle,pitch_joint_rate,pitch_acc,chassis_azimuth,chassis_yaw_rate,big_enc_age,big_sample_interval,big_enc_innovation,chassis_imu_age,gravity_a_x,gravity_a_y,gravity_a_z,base_omega_x,base_omega_y,base_omega_z,los_azimuth,los_elevation,mcu_bullet_velocity,mcu_pitch_angle,mcu_yaw_big_angle,mcu_yaw_big_omega,mcu_yaw_small_angle,mcu_yaw_small_omega,mcu_chassis_imu_yaw,mcu_chassis_imu_omega,mcu_mark,mcu_color,mcu_auto_aim_switch,mcu_temp_big,mcu_temp_small,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,imu_euler_yaw,imu_euler_pitch,imu_euler_roll,imu_dt_one_tenth_ms,tx_auto_aim_enable,tx_fire,tx_pitch_target_angle,tx_yaw_big_mode,tx_yaw_big_target_angle,tx_yaw_big_target_velocity,tx_yaw_big_torque,tx_yaw_small_mode,tx_yaw_small_target_angle,tx_yaw_small_target_velocity,tx_yaw_small_torque,target_big,target_small,est_valid,mcu_valid,imu_valid,backlash_center,backlash_beta_true,theta_true_motor,theta_true_platform,theta_true_small,dtheta_true_motor,dtheta_true_platform,dtheta_true_small
0.0002,14.618082,0.188680,-0.014127,0.000000,0.035446,0.021563,1,10.461469,191,0.249302,-0.051478,14.618082,0.001466,10.357417,-0.014127,14.618101,10.447174,-0.014127,0.188680,0.000000,0.012439,-0.443346,-36.871929,0.089756,0.000000,0.001367,0.002003,0.000106,0.001367,0.249302,-0.051478,-9.806697,0.002830,0.000226,0.000000,-0.360205,0.022356,27.000000,0.013045,14.618101,0.001466,0.188680,0.000000,0.090000,0.000000,120,0,1,34,33,-0.001032,0.002469,-0.014159,-0.096795,0.197687,10.260304,-1.931001,0.022356,0.023986,7,1,0,0.000000,0,10.461469,0.000000,0.035446,0,0.203296,0.000000,0.021563,10.461469,0.203296,1,1,1,4.250726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0101,14.618003,0.188680,-0.005542,0.000000,0.028920,0.029233,1,10.461469,201,0.248935,-0.051875,14.618003,0.000419,10.357384,-0.005542,14.618006,10.447146,-0.005542,0.188680,0.000000,0.012393,-0.443346,-36.871929,0.089762,0.000000,0.001470,0.001923,-0.000098,0.001470,0.248935,-0.051875,-9.806704,0.003448,-0.004418,0.000000,-0.360231,0.022344,27.000000,0.013045,14.618006,0.000419,0.188680,0.000000,0.090000,0.000000,125,0,1,34,33,0.003237,0.004505,-0.005598,-0.212740,-0.004136,9.559560,-1.931028,0.022344,0.023942,7,1,0,0.000000,0,10.461469,0.000000,0.028920,0,0.203296,0.000000,0.029233,10.461469,0.203296,1,1,1,4.250759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0201,14.618180,0.187913,-0.021370,0.000000,0.021834,0.039163,1,10.461469,211,0.248550,-0.051675,14.618180,0.002513,10.357959,-0.021370,14.618197,10.447714,-0.021370,0.187913,0.000000,0.012439,-0.443346,-36.871929,0.089754,0.001000,0.001366,0.001958,0.000114,0.001366,0.248550,-0.051675,-9.806715,0.009127,-0.001667,0.001000,-0.360430,0.022344,27.000000,0.013045,14.618197,0.002513,0.187913,0.000000,0.090000,0.001000,130,0,1,34,33,-0.001041,0.008965,-0.020483,0.111963,0.327290,9.840645,-1.931227,0.022344,0.023915,7,1,0,0.000000,0,10.461469,0.000000,0.021834,0,0.203357,0.000000,0.039163,10.461469,0.203357,1,1,1,4.250791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0301,14.618206,0.188680,0.006983,0.000000,0.036648,0.023318,1,10.461469,221,0.249237,-0.051311,14.618206,0.002513,10.357182,0.006983,14.618197,10.446952,0.006983,0.188680,0.000000,0.012456,-0.443346,-36.871929,0.089771,0.000000,0.001329,0.001987,-0.000084,0.001329,0.249237,-0.051311,-9.806699,-0.002836,0.013061,0.000000,-0.360426,0.022355,27.000000,0.013045,14.618197,0.002513,0.188680,0.000000,0.090000,0.000000,135,0,1,34,33,-0.011690,-0.006393,0.007063,0.047162,-0.190623,9.959813,-1.931222,0.022355,0.023983,6,1,0,0.000000,0,10.461469,0.000000,0.036648,0,0.203493,0.000000,0.023318,10.461469,0.203493,1,1,1,4.250854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0401,14.618028,0.188680,0.020457,0.000000,0.027349,0.029753,1,10.461469,231,0.250495,-0.050471,14.618028,-0.001466,10.357312,0.020457,14.618006,10.447093,0.020457,0.188680,0.000000,0.012482,-0.443346,-36.871929,0.089780,0.000000,0.001269,0.001959,-0.000028,0.001269,0.250495,-0.050471,-9.806671,0.020404,-0.005049,0.000000,-0.360288,0.022322,27.000000,0.013045,14.618006,-0.001466,0.188680,0.000000,0.090000,0.000000,140,0,1,34,33,-0.001042,0.021248,0.020193,-0.624785,0.300918,9.619781,-1.931084,0.022322,0.024125,7,1,0,0.000000,0,10.461469,0.000000,0.027349,0,0.203504,0.000000,0.029753,10.461469,0.203504,1,1,1,4.250886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0501,14.618186,0.188680,0.000439,0.000000,0.029637,0.029648,1,10.461469,241,0.249740,-0.048795,14.618186,0.003560,10.357249,0.000439,14.618197,10.447019,0.000439,0.188680,0.000000,0.012555,-0.443346,-36.871929,0.089770,0.000000,0.001104,0.002126,0.000106,0.001104,0.249740,-0.048795,-9.806699,-0.011864,0.004627,-0.000000,-0.360358,0.022213,27.000000,0.013045,14.618197,0.003560,0.188680,0.000000,0.090000,0.000000,145,0,1,34,33,-0.001012,-0.012688,0.000598,0.035563,0.232690,9.753510,-1.931154,0.022213,0.024081,6,1,0,0.000000,0,10.461469,0.000000,0.029637,0,0.203504,0.000000,0.029648,10.461469,0.203504,1,1,1,4.250918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0601,14.618288,0.187913,-0.007674,0.000000,0.020636,0.038851,1,10.461469,251,0.249831,-0.052453,14.618288,-0.000419,10.357948,-0.007674,14.618293,10.447707,-0.007674,0.187913,0.000000,0.012220,-0.443346,-36.871929,0.089759,0.000000,0.001861,0.001986,0.000023,0.001861,0.249831,-0.052453,-9.806678,0.002883,-0.006481,0.000000,-0.360436,0.022227,27.000000,0.013045,14.618293,-0.000419,0.187913,0.000000,0.090000,0.000000,150,0,1,34,33,0.005371,0.004539,-0.007730,-0.069707,0.101240,9.551142,-1.931232,0.022227,0.024028,6,1,0,0.000000,0,10.461469,0.000000,0.020636,0,0.203504,0.000000,0.038851,10.461469,0.203504,1,1,1,4.250972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0701,14.618207,0.187913,0.020034,0.000000,0.027036,0.031182,1,10.461469,5,0.249732,-0.052501,14.618207,-0.000419,10.357972,0.020034,14.618197,10.447748,0.020034,0.187913,0.000000,0.012269,-0.443346,-36.871929,0.089776,0.000000,0.001750,0.002025,-0.000015,0.001750,0.249732,-0.052501,-9.806680,0.007091,0.010078,0.000000,-0.360397,0.022279,27.000000,0.013045,14.618197,-0.000419,0.187913,0.000000,0.090000,0.000000,155,0,1,34,33,-0.011697,0.004122,0.019985,0.103879,0.254813,10.289721,-1.931193,0.022279,0.024017,6,1,0,0.000000,0,10.461469,0.000000,0.027036,0,0.203504,0.000000,0.031182,10.461469,0.203504,1,1,1,4.251003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0801,14.618219,0.188680,0.008538,0.000000,0.034515,0.021978,1,10.461469,15,0.251026,-0.051557,14.618219,-0.001466,10.357387,0.008538,14.618197,10.447158,0.008538,0.188680,0.000000,0.012253,-0.443346,-36.871929,0.089772,0.001000,0.001786,0.001989,-0.000031,0.001786,0.251026,-0.051557,-9.806652,0.009219,-0.006153,0.001000,-0.360220,0.022212,27.000000,0.013045,14.618197,-0.001466,0.188680,0.000000,0.090000,0.001000,160,0,1,34,33,0.003235,0.010717,0.009407,-0.452010,0.100327,9.608306,-1.931016,0.022212,0.024157,7,1,0,0.000000,0,10.461469,0.000000,0.034515,0,0.203504,0.000000,0.021978,10.461469,0.203504,1,1,1,4.251037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0901,14.618101,0.188680,-0.006626,0.000000,0.027964,0.029648,1,10.461469,25,0.250514,-0.048326,14.618101,0.001466,10.357450,-0.006626,14.618101,10.447213,-0.006626,0.188680,0.000000,0.012572,-0.443346,-36.871929,0.089763,-0.001000,0.001066,0.002015,0.000084,0.001066,0.250514,-0.048326,-9.806682,0.006766,-0.000955,-0.001000,-0.360164,0.022197,27.000000,0.013045,14.618101,0.001466,0.188680,0.000000,0.090000,-0.001000,165,0,1,34,33,-0.001035,0.006658,-0.007710,-0.433653,0.367365,9.668425,-1.930961,0.022197,0.024168,6,1,0,0.000000,0,10.461469,0.000000,0.027964,0,0.203504,0.000000,0.029648,10.461469,0.203504,1,1,1,4.251067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
