t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,22.144788,0.222427,-0.008557,-0.000000,0.026243,0.023247,0,0.234051,118,0.284694,-0.039677
0.0101,22.144684,0.222427,-0.014302,-0.000000,0.027612,0.023247,0,0.234051,128,0.285053,-0.041196
0.0201,22.144785,0.222427,-0.005818,-0.000000,0.027017,0.023247,0,0.234051,138,0.284548,-0.041152
0.0301,22.144796,0.222427,0.006793,-0.000000,0.025841,0.023247,0,0.234051,148,0.284659,-0.041361
0.0401,22.145077,0.222427,-0.000234,-0.000000,0.025151,0.023247,0,0.234051,158,0.285022,-0.040718
0.0501,22.144974,0.222427,-0.009652,-0.000000,0.020010,0.023247,0,0.234051,168,0.285323,-0.040914
0.0601,22.144885,0.222427,-0.000538,-0.000000,0.017715,0.023247,0,0.234051,178,0.284944,-0.040020
0.0701,22.144982,0.222427,0.002604,-0.000000,0.014964,0.023247,0,0.234051,188,0.284792,-0.039940
0.0801,22.144972,0.222427,-0.008708,-0.000000,0.019596,0.023247,0,0.234051,198,0.285048,-0.041620
0.0901,22.144883,0.222427,-0.003194,-0.000000,0.016332,0.023247,0,0.234051,208,0.285470,-0.041613
0.1001,22.144786,0.222427,-0.005871,-0.000000,0.004154,0.023247,0,0.234051,218,0.285757,-0.041252
0.1101,22.144686,0.222427,-0.008468,-0.000000,-0.014350,0.023247,0,0.234051,228,0.285490,-0.041404
0.1201,22.144305,0.222427,-0.005997,-0.000000,-0.030363,0.023247,0,0.234051,238,0.285439,-0.041577
0.1301,22.143732,0.222427,-0.004310,-0.000000,-0.043855,0.023247,0,0.234051,248,0.285352,-0.040884
0.1401,22.141817,0.222427,-0.000162,-0.000000,-0.065931,0.023247,0,0.234051,2,0.285547,-0.041023
0.1501,22.136250,0.222427,-0.009941,-0.000000,-0.097838,0.023247,0,0.234051,12,0.285735,-0.040585
0.1601,22.120626,0.222427,-0.000845,-0.000000,-0.141077,0.023247,0,0.234051,22,0.285040,-0.040423
0.1701,22.095231,0.223194,0.021241,-0.000000,-0.175942,0.014043,0,0.234051,32,0.283547,-0.040689
0.1801,22.072575,0.226295,0.165762,0.073304,-0.197202,-0.015493,0,0.234051,42,0.274528,-0.040555
0.1901,22.073825,0.231895,-0.200490,0.428157,-0.211855,-0.051689,0,0.234051,52,0.265323,-0.041176
