t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,56.199107,0.009204,-0.001824,-0.000000,0.059034,0.000000,0,0.099161,67,0.056279,0.087490
0.0101,56.199106,0.009204,-0.001302,-0.000000,0.011628,0.000802,0,0.099161,78,0.056278,0.087253
0.0201,56.199128,0.009971,0.037245,-0.000000,0.027048,-0.003463,0,0.099161,88,0.057401,0.087142
0.0301,56.204827,0.010738,0.061239,-0.000000,0.045406,0.005542,0,0.099161,98,0.058076,0.085391
0.0401,56.214010,0.010738,0.046212,-0.000000,0.071568,0.030140,0,0.099161,108,0.058298,0.086033
0.0501,56.219487,0.011505,0.058432,-0.000000,0.124730,0.043534,0,0.099161,118,0.060114,0.084960
0.0601,56.220507,0.013039,0.127434,-0.000000,0.177249,0.058674,0,0.099161,126,0.063690,0.083862
0.0701,56.223692,0.013832,0.188715,0.036652,0.206195,0.092778,0,0.099161,138,0.066911,0.084517
0.0801,56.230161,0.015343,0.269066,0.004253,0.245506,0.109993,0,0.099161,148,0.071540,0.085391
0.0901,56.233696,0.016937,0.339085,0.073692,0.264442,0.130871,0,0.099161,158,0.077876,0.082268
0.1001,56.236362,0.020120,0.479197,0.197125,0.279139,0.130181,0,0.099161,167,0.079621,0.079124
0.1101,56.240441,0.024055,0.543913,0.300580,0.272110,0.132225,0,0.099161,178,0.083563,0.080964
0.1201,56.244743,0.028571,0.605032,0.398610,0.261366,0.129908,0,0.099161,188,0.086654,0.082893
0.1301,56.249282,0.034990,0.665225,0.509096,0.234047,0.104824,0,0.099161,198,0.087074,0.077425
0.1401,56.254431,0.041029,0.730239,0.574053,0.192012,0.096851,0,0.099161,208,0.088592,0.079828
0.1501,56.260074,0.047955,0.734116,0.622022,0.159712,0.069216,0,0.099161,218,0.090778,0.083024
0.1601,56.266634,0.055138,0.792888,0.590936,0.116974,0.044200,0,0.099161,228,0.090807,0.079770
0.1701,56.274501,0.060418,0.824905,0.541477,0.081667,0.042562,0,0.099161,238,0.089144,0.080360
0.1801,56.283237,0.064805,0.881750,0.391894,0.057560,0.033922,0,0.099161,248,0.087751,0.082927
0.1901,56.290654,0.067717,0.967039,0.279984,0.028966,0.036686,0,0.099161,2,0.088852,0.082189
0.2001,56.300849,0.069889,1.050768,0.193801,0.007304,0.037035,0,0.099161,12,0.089168,0.079892
0.2101,56.308702,0.071426,1.159493,0.086674,-0.034779,0.040101,0,0.099161,22,0.090020,0.075681
0.2201,56.314764,0.073776,1.165500,0.156559,-0.042155,0.027266,0,0.099161,32,0.090001,0.075773
0.2301,56.319397,0.076066,1.173780,0.171210,-0.066194,0.023287,0,0.099161,42,0.090918,0.073342
0.2401,56.318990,0.079152,1.081022,0.230555,-0.079660,0.009159,0,0.099161,52,0.091990,0.072241
0.2501,56.310721,0.082354,1.009955,0.267807,-0.105467,0.001598,0,0.099161,62,0.093804,0.070065
0.2601,56.291626,0.086222,0.984696,0.276687,-0.103849,-0.012805,0,0.099161,70,0.094068,0.070195
0.2701,56.268666,0.090763,1.020141,0.320912,-0.112187,-0.028609,0,0.099161,81,0.087776,0.072296
0.2801,56.268224,0.100349,0.849648,0.759197,-0.096238,-0.098232,0,0.099161,90,0.065837,0.071703
0.2901,56.276860,0.108787,0.480416,0.824084,-0.113313,-0.103637,0,0.099161,102,0.067811,0.075179
0.3001,56.275254,0.118620,0.191852,0.905590,-0.072008,-0.137245,0,0.099161,112,0.070525,0.074395
0.3101,56.275288,0.128907,-0.165930,0.950921,-0.047092,-0.162357,0,0.099161,122,0.066080,0.062377
0.3201,56.274872,0.134822,-0.285432,0.655098,-0.053562,-0.130478,0,0.099161,130,0.070171,0.064742
0.3301,56.275414,0.137613,-0.417823,0.350282,-0.036086,-0.104815,0,0.099161,142,0.076380,0.072298
0.3401,56.275309,0.138119,-0.375400,0.057251,-0.019497,-0.082976,0,0.099161,152,0.073235,0.067004
0.3501,56.275004,0.136308,-0.373673,-0.166446,-0.017470,-0.056179,0,0.099161,162,0.075581,0.061865
0.3601,56.275957,0.133249,-0.332022,-0.297020,-0.011826,-0.037580,0,0.099161,172,0.085073,0.068832
0.3701,56.277347,0.129237,-0.217860,-0.447572,-0.006094,-0.020036,0,0.099161,182,0.093519,0.067625
0.3801,56.278695,0.123756,-0.188478,-0.530263,-0.010510,0.005624,0,0.099161,191,0.095418,0.065443
0.3901,56.280080,0.118995,-0.120162,-0.567204,0.001151,0.007939,0,0.099161,201,0.096923,0.069447
0.4001,56.281368,0.114702,-0.142728,-0.492006,0.000541,0.011848,0,0.099161,212,0.098287,0.076639
0.4101,56.281349,0.109242,-0.124845,-0.503325,-0.007956,0.034444,0,0.099161,222,0.098380,0.077653
0.4201,56.281767,0.106210,-0.087519,-0.445285,0.016193,0.016219,0,0.099161,231,0.096465,0.077639
0.4301,56.282129,0.103913,-0.085601,-0.335916,0.016809,0.013465,0,0.099161,242,0.096802,0.076269
0.4401,56.281993,0.101883,-0.095932,-0.256208,0.014183,0.014856,0,0.099161,251,0.093679,0.077621
0.4501,56.284941,0.101071,-0.080792,-0.214866,0.026492,0.004301,0,0.099161,5,0.089708,0.074117
0.4601,56.290783,0.100451,-0.168607,-0.024931,0.022093,0.003624,0,0.099161,16,0.088053,0.072500
0.4701,56.298559,0.101240,-0.188169,-0.002893,0.037907,-0.012053,0,0.099161,26,0.088111,0.073088
0.4801,56.306380,0.101243,-0.189460,-0.000336,0.033142,-0.004183,0,0.099161,36,0.089248,0.070878
0.4901,56.314107,0.101243,-0.219823,-0.000039,0.039403,-0.004166,0,0.099161,46,0.090541,0.070334
0.5001,56.322241,0.100476,-0.244744,-0.000005,0.039130,0.005041,0,0.099161,55,0.093561,0.071646
0.5101,56.329225,0.098859,-0.145084,-0.168531,0.034597,0.016775,0,0.099161,66,0.095478,0.076495
0.5201,56.334968,0.096363,0.029253,-0.341130,0.029248,0.030554,0,0.099161,76,0.097982,0.079369
0.5301,56.337687,0.094123,0.068160,-0.291738,0.026891,0.032477,0,0.099161,86,0.098537,0.082535
0.5401,56.337394,0.091790,0.177322,-0.311558,0.016542,0.038074,0,0.099161,96,0.098186,0.081965
0.5501,56.337425,0.090340,0.224682,-0.221288,0.011677,0.032143,0,0.099161,106,0.095988,0.080453
0.5601,56.337235,0.090453,0.176865,-0.058892,0.015636,0.016292,0,0.099161,116,0.094835,0.076956
0.5701,56.336760,0.092032,0.172415,-0.006833,0.022534,-0.001537,0,0.099161,126,0.093974,0.073827
0.5801,56.336495,0.092805,0.181535,-0.000793,0.009411,0.004983,0,0.099161,135,0.092709,0.072584
0.5901,56.336676,0.093573,0.166219,-0.000092,0.007751,0.003500,0,0.099161,146,0.091205,0.073705
0.6001,56.336752,0.095119,0.141152,0.010055,0.016337,-0.007371,0,0.099161,155,0.090749,0.073419
0.6101,56.336341,0.096654,0.122828,0.011232,0.018029,-0.010334,0,0.099161,166,0.091765,0.073989
0.6201,56.336506,0.096642,0.088279,0.001303,0.004154,0.005149,0,0.099161,176,0.092026,0.076938
0.6301,56.336580,0.097408,0.072507,0.000151,0.014043,-0.004150,0,0.099161,186,0.090692,0.077907
0.6401,56.336783,0.097408,0.075753,0.000018,0.006555,0.003509,0,0.099161,196,0.090950,0.076486
0.6501,56.336283,0.097408,0.062889,0.000002,0.005818,0.003507,0,0.099161,206,0.091581,0.076083
0.6601,56.336573,0.097408,0.066894,0.000000,0.004405,0.003507,0,0.099161,215,0.092695,0.075079
0.6701,56.336366,0.097408,0.054562,0.000000,0.004548,0.003507,0,0.099161,226,0.093044,0.073631
0.6801,56.336233,0.098175,0.043341,0.000000,0.014105,-0.005697,0,0.099161,236,0.093089,0.075576
0.6901,56.336245,0.098175,0.033306,0.000000,0.005582,0.001973,0,0.099161,246,0.092662,0.074448
0.7001,56.336410,0.098175,0.013455,0.000000,0.007999,0.001973,0,0.099161,254,0.092284,0.075166
0.7101,56.336498,0.098175,0.010486,0.000000,0.007918,0.001973,0,0.099161,10,0.093202,0.077905
0.7201,56.336301,0.098175,0.000802,0.000000,0.008204,0.001973,0,0.099161,20,0.093499,0.075695
0.7301,56.336494,0.098175,0.001142,0.000000,0.009132,0.001973,0,0.099161,30,0.092551,0.079745
0.7401,56.336395,0.098175,-0.007218,0.000000,0.009802,0.001973,0,0.099161,39,0.092192,0.079694
0.7501,56.336388,0.098175,-0.020349,0.000000,0.010706,0.001973,0,0.099161,49,0.092753,0.078494
0.7601,56.336456,0.098175,-0.029839,0.000000,0.012320,0.001973,0,0.099161,59,0.093668,0.075594
0.7701,56.336376,0.098175,-0.015582,0.000000,0.011993,0.001973,0,0.099161,70,0.094315,0.075924
0.7801,56.336483,0.097408,-0.018651,0.000000,0.003474,0.011177,0,0.099161,80,0.094452,0.078816
0.7901,56.336479,0.097408,-0.022139,0.000000,0.012019,0.003507,0,0.099161,89,0.094132,0.078706
0.8001,56.336393,0.097408,0.000123,0.000000,0.010375,0.003507,0,0.099161,100,0.095408,0.075393
0.8101,56.336265,0.097408,-0.019388,0.000000,0.011281,0.003507,0,0.099161,108,0.095522,0.077884
0.8201,56.336448,0.097408,-0.018601,0.000000,0.012084,0.003507,0,0.099161,118,0.095224,0.079078
0.8301,56.336500,0.097396,0.016720,-0.023824,0.012031,0.003646,0,0.099161,129,0.094410,0.079801
0.8401,56.336497,0.097407,0.011220,-0.002764,0.011150,0.003408,0,0.099161,139,0.094079,0.080403
0.8501,56.336497,0.097408,0.008052,-0.000321,0.009784,0.003495,0,0.099161,149,0.094697,0.080704
0.8601,56.336399,0.097408,0.006434,-0.000037,0.010498,0.003506,0,0.099161,160,0.095121,0.077743
0.8701,56.336413,0.097408,0.007788,-0.000004,0.009583,0.003507,0,0.099161,170,0.094892,0.078261
0.8801,56.336401,0.097408,0.000043,-0.000001,0.009598,0.003507,0,0.099161,180,0.094737,0.078301
0.8901,56.336297,0.097408,0.000869,-0.000000,0.010580,0.003507,0,0.099161,188,0.095057,0.077668
0.9001,56.336398,0.097408,0.000675,-0.000000,0.010062,0.003507,0,0.099161,200,0.095773,0.076832
0.9101,56.336509,0.097408,0.009995,-0.000000,0.009371,0.003507,0,0.099161,210,0.096030,0.076494
0.9201,56.336281,0.097408,-0.019047,-0.000000,0.012203,0.003507,0,0.099161,218,0.095786,0.078210
0.9301,56.336289,0.097408,-0.012100,-0.000000,0.012076,0.003507,0,0.099161,229,0.095274,0.078283
0.9401,56.336399,0.097408,0.002701,-0.000000,0.011157,0.003507,0,0.099161,240,0.095488,0.079195
0.9501,56.336396,0.097408,-0.002247,-0.000000,0.011038,0.003507,0,0.099161,250,0.095798,0.080320
0.9601,56.336487,0.097408,-0.005936,-0.000000,0.011124,0.003507,0,0.099161,3,0.095911,0.080174
0.9701,56.336485,0.097408,-0.009869,-0.000000,0.011262,0.003507,0,0.099161,14,0.095927,0.080208
0.9801,56.336495,0.097408,0.004356,-0.000000,0.011122,0.003507,0,0.099161,24,0.095598,0.080732
0.9901,56.336499,0.097408,0.006362,-0.000000,0.010863,0.003507,0,0.099161,34,0.095893,0.079790
1.0001,56.336496,0.097408,0.002495,-0.000000,0.010591,0.003507,0,0.099161,44,0.096729,0.079461
1.0101,56.336387,0.097408,-0.009801,-0.000000,0.010851,0.003507,0,0.099161,54,0.097106,0.079534
1.0201,56.336479,0.097408,-0.017274,-0.000000,0.011723,0.003507,0,0.099161,64,0.096477,0.080021
1.0301,56.336491,0.097408,0.002310,-0.000000,0.011032,0.003507,0,0.099161,74,0.096186,0.080564
1.0401,56.336394,0.097408,-0.010933,-0.000000,0.011169,0.003507,0,0.099161,84,0.096327,0.082332
1.0501,56.336495,0.097408,0.001503,-0.000000,0.011620,0.003507,0,0.099161,94,0.096287,0.082047
1.0601,56.336490,0.097408,-0.005168,-0.000000,0.012016,0.003507,0,0.099161,104,0.096915,0.081972
1.0701,56.336498,0.097408,0.001312,-0.000000,0.011116,0.003507,0,0.099161,114,0.096916,0.082881
1.0801,56.336497,0.097408,0.006248,-0.000000,0.011060,0.003507,0,0.099161,122,0.096288,0.081786
1.0901,56.336403,0.097408,0.004636,-0.000000,0.011607,0.003507,0,0.099161,134,0.096581,0.082355
1.1001,56.336489,0.097408,-0.006032,-0.000000,0.011375,0.003507,0,0.099161,143,0.097142,0.082185
1.1101,56.336485,0.097408,-0.007122,-0.000000,0.012457,0.003507,0,0.099161,153,0.097287,0.082225
1.1201,56.336493,0.097408,0.000134,-0.000000,0.012106,0.003507,0,0.099161,163,0.097035,0.082939
1.1301,56.336492,0.097408,-0.000150,-0.000000,0.011699,0.003507,0,0.099161,173,0.097170,0.083460
1.1401,56.336481,0.097408,-0.006230,-0.000000,0.012590,0.003507,0,0.099161,184,0.097294,0.083166
1.1501,56.336489,0.097408,-0.007078,-0.000000,0.012445,0.003507,0,0.099161,194,0.097426,0.083788
1.1601,56.336493,0.097408,-0.002573,-0.000000,0.012124,0.003507,0,0.099161,204,0.097852,0.083728
1.1701,56.336492,0.097408,0.000257,-0.000000,0.012161,0.003507,0,0.099161,213,0.097626,0.084687
1.1801,56.336496,0.097408,0.004728,-0.000000,0.012075,0.003507,0,0.099161,224,0.097635,0.085205
1.1901,56.336487,0.097408,-0.001496,-0.000000,0.012034,0.003507,0,0.099161,234,0.097867,0.083178
1.2001,56.336495,0.097408,0.001982,-0.000000,0.011573,0.003507,0,0.099161,244,0.097577,0.085880
1.2101,56.336494,0.097408,-0.003767,-0.000000,0.012311,0.003507,0,0.099161,252,0.098500,0.082366
1.2201,56.336479,0.097408,-0.012892,-0.000000,0.012758,0.003507,0,0.099161,7,0.098634,0.082649
1.2301,56.336386,0.097408,-0.006364,-0.000000,0.013582,0.003507,0,0.099161,16,0.098423,0.082831
1.2401,56.336488,0.097408,-0.010572,-0.000000,0.012868,0.003507,0,0.099161,28,0.097966,0.085676
1.2501,56.336588,0.097408,-0.003199,-0.000000,0.012747,0.003507,0,0.099161,37,0.098548,0.083364
1.2601,56.336490,0.097408,-0.001831,-0.000000,0.012631,0.003507,0,0.099161,48,0.098828,0.084017
1.2701,56.336488,0.097408,0.000208,-0.000000,0.012883,0.003507,0,0.099161,58,0.099088,0.084193
1.2801,56.336488,0.097408,-0.004385,-0.000000,0.013037,0.003507,0,0.099161,68,0.098793,0.084896
1.2901,56.336398,0.097408,-0.002458,-0.000000,0.012996,0.003507,0,0.099161,78,0.098420,0.084968
1.3001,56.336500,0.097408,0.003301,-0.000000,0.012150,0.003507,0,0.099161,87,0.098983,0.084774
1.3101,56.336684,0.097408,-0.001593,-0.000000,0.012393,0.003507,0,0.099161,98,0.099278,0.084675
1.3201,56.336487,0.097408,-0.006737,-0.000000,0.013512,0.003507,0,0.099161,108,0.099065,0.084619
1.3301,56.336493,0.097408,-0.000689,-0.000000,0.012719,0.003507,0,0.099161,116,0.099031,0.084407
1.3401,56.336578,0.097408,-0.009268,-0.000000,0.013345,0.003507,0,0.099161,128,0.099233,0.085067
1.3501,56.336584,0.097408,-0.002803,-0.000000,0.013973,0.003507,0,0.099161,136,0.099212,0.085192
1.3601,56.336597,0.097408,0.014564,-0.000000,0.012287,0.003507,0,0.099161,148,0.099378,0.085694
1.3701,56.336488,0.097408,-0.010394,-0.000000,0.014292,0.003507,0,0.099161,158,0.099893,0.086148
1.3801,56.336585,0.097408,-0.003386,-0.000000,0.013741,0.003507,0,0.099161,166,0.099250,0.086868
1.3901,56.336499,0.097408,0.009072,-0.000000,0.012457,0.003507,0,0.099161,177,0.099226,0.086717
1.4001,56.336494,0.097408,0.002916,-0.000000,0.012884,0.003507,0,0.099161,187,0.099876,0.087233
1.4101,56.336485,0.097408,-0.006250,-0.000000,0.013765,0.003507,0,0.099161,198,0.100190,0.086209
1.4201,56.336496,0.097408,0.005402,-0.000000,0.013359,0.003507,0,0.099161,207,0.100264,0.086706
1.4301,56.336584,0.097408,-0.004468,-0.000000,0.012959,0.003507,0,0.099161,218,0.100053,0.086910
1.4401,56.336494,0.097408,0.002114,-0.000000,0.014291,0.003507,0,0.099161,227,0.100074,0.087511
1.4501,56.336590,0.097408,-0.000006,-0.000000,0.013322,0.003507,0,0.099161,236,0.100515,0.087196
1.4601,56.336496,0.097408,0.009747,-0.000000,0.013125,0.003507,0,0.099161,246,0.101235,0.086975
1.4701,56.336483,0.097408,-0.017468,-0.000000,0.014366,0.003507,0,0.099161,2,0.101214,0.087421
1.4801,56.336481,0.097408,-0.005124,-0.000000,0.014933,0.003507,0,0.099161,11,0.100918,0.084703
1.4901,56.336690,0.097408,0.004705,-0.000000,0.012838,0.003507,0,0.099161,22,0.101104,0.087656
1.5001,56.336475,0.097408,-0.008001,-0.000000,0.014294,0.003507,0,0.099161,32,0.101761,0.085081
1.5101,56.336586,0.097408,-0.001462,-0.000000,0.014399,0.003507,0,0.099161,42,0.101943,0.088002
1.5201,56.336489,0.097408,-0.004858,-0.000000,0.013689,0.003507,0,0.099161,52,0.102192,0.085458
1.5301,56.336666,0.097408,-0.011407,-0.000000,0.014812,0.003507,0,0.099161,62,0.102002,0.085455
1.5401,56.336574,0.097408,-0.013156,-0.000000,0.015534,0.003507,0,0.099161,71,0.101974,0.085315
1.5501,56.336685,0.097408,0.000818,-0.000000,0.014607,0.003507,0,0.099161,82,0.102740,0.085287
1.5601,56.336587,0.097408,-0.001937,-0.000000,0.014424,0.003507,0,0.099161,92,0.103143,0.085698
1.5701,56.336750,0.097408,-0.016228,-0.000000,0.015583,0.003507,0,0.099161,102,0.102863,0.086313
1.5801,56.336684,0.097408,0.000037,-0.000000,0.014509,0.003507,0,0.099161,112,0.102861,0.086200
1.5901,56.336690,0.097408,0.005475,-0.000000,0.013862,0.003507,0,0.099161,122,0.102864,0.089169
1.6001,56.336577,0.097408,-0.005528,-0.000000,0.015432,0.003507,0,0.099161,130,0.103281,0.085917
1.6101,56.336589,0.097408,0.000549,-0.000000,0.014747,0.003507,0,0.099161,142,0.103593,0.088460
1.6201,56.336491,0.097408,0.000468,-0.000000,0.014243,0.003507,0,0.099161,152,0.103811,0.088758
1.6301,56.336667,0.097408,-0.013085,-0.000000,0.016088,0.003507,0,0.099161,162,0.103604,0.085542
1.6401,56.336685,0.097408,0.002503,-0.000000,0.014968,0.003507,0,0.099161,172,0.103280,0.089329
1.6501,56.336686,0.097408,0.002618,-0.000000,0.014202,0.003507,0,0.099161,182,0.104072,0.089106
1.6601,56.336585,0.097408,-0.011686,-0.000000,0.015241,0.003507,0,0.099161,191,0.104405,0.088511
1.6701,56.336684,0.097408,0.003727,-0.000000,0.015368,0.003507,0,0.099161,202,0.104489,0.085373
1.6801,56.336585,0.097408,-0.005035,-0.000000,0.014743,0.003507,0,0.099161,212,0.104255,0.085882
1.6901,56.336686,0.097408,-0.001712,-0.000000,0.014889,0.003507,0,0.099161,222,0.103902,0.089273
1.7001,56.336573,0.097408,-0.010836,-0.000000,0.015517,0.003507,0,0.099161,230,0.104573,0.086342
1.7101,56.336497,0.097408,0.004486,-0.000000,0.014618,0.003507,0,0.099161,242,0.104845,0.086804
1.7201,56.336678,0.097408,-0.009857,-0.000000,0.015212,0.003507,0,0.099161,252,0.104713,0.086445
1.7301,56.336688,0.097408,0.009585,-0.000000,0.015167,0.003507,0,0.099161,6,0.104443,0.086762
1.7401,56.336782,0.097408,-0.000365,-0.000000,0.014900,0.003507,0,0.099161,15,0.104686,0.087215
1.7501,56.336583,0.097408,-0.003730,-0.000000,0.015453,0.003507,0,0.099161,26,0.105008,0.087582
1.7601,56.336706,0.097396,0.008901,-0.010066,0.015257,0.003648,0,0.099161,34,0.105120,0.087471
1.7701,56.336685,0.097407,-0.000971,-0.001168,0.016323,0.003406,0,0.099161,45,0.105279,0.087759
1.7801,56.336598,0.097408,0.010742,-0.000136,0.014632,0.003495,0,0.099161,55,0.105221,0.087861
1.7901,56.336686,0.097408,0.003654,-0.000016,0.016124,0.003506,0,0.099161,65,0.105187,0.088869
1.8001,56.336688,0.097408,0.000276,-0.000002,0.015251,0.003507,0,0.099161,75,0.105206,0.088152
1.8101,56.336686,0.097408,-0.002220,-0.000000,0.015023,0.003507,0,0.099161,85,0.105740,0.088295
1.8201,56.336670,0.097408,-0.010350,-0.000000,0.016262,0.003507,0,0.099161,96,0.105985,0.088229
1.8301,56.336583,0.097408,-0.006260,-0.000000,0.016089,0.003507,0,0.099161,106,0.105502,0.088493
1.8401,56.336678,0.097408,-0.010513,-0.000000,0.016221,0.003507,0,0.099161,115,0.105641,0.089287
1.8501,56.336678,0.097408,-0.006289,-0.000000,0.016379,0.003507,0,0.099161,126,0.105871,0.089668
1.8601,56.336587,0.097408,0.003193,-0.000000,0.016029,0.003507,0,0.099161,136,0.105957,0.089070
1.8701,56.336691,0.097408,0.004723,-0.000000,0.014857,0.003507,0,0.099161,146,0.106370,0.089161
1.8801,56.336682,0.097408,-0.005505,-0.000000,0.016056,0.003507,0,0.099161,156,0.105968,0.089984
1.8901,56.336681,0.097408,-0.002512,-0.000000,0.016093,0.003507,0,0.099161,164,0.105490,0.090520
1.9001,56.336592,0.097408,0.007484,-0.000000,0.015476,0.003507,0,0.099161,175,0.106027,0.090238
1.9101,56.336690,0.097408,0.005463,-0.000000,0.014662,0.003507,0,0.099161,184,0.106624,0.090538
1.9201,56.336582,0.097408,-0.008468,-0.000000,0.017089,0.003507,0,0.099161,196,0.106349,0.091079
1.9301,56.336685,0.097408,0.006549,-0.000000,0.015988,0.003507,0,0.099161,205,0.106432,0.090820
1.9401,56.336682,0.097408,-0.005596,-0.000000,0.016001,0.003507,0,0.099161,216,0.106205,0.091530
1.9501,56.336679,0.097408,-0.007143,-0.000000,0.017190,0.003507,0,0.099161,226,0.105913,0.091584
1.9601,56.336693,0.097408,0.005480,-0.000000,0.015339,0.003507,0,0.099161,236,0.106749,0.091494
1.9701,56.336681,0.097408,-0.004291,-0.000000,0.016026,0.003507,0,0.099161,246,0.107160,0.091717
1.9801,56.336652,0.097408,-0.014904,-0.000000,0.017026,0.003507,0,0.099161,254,0.106418,0.092101
1.9901,56.336687,0.097408,0.000986,-0.000000,0.016358,0.003507,0,0.099161,10,0.106265,0.092320
2.0001,56.336783,0.097408,0.005961,-0.000000,0.015866,0.003507,0,0.099161,20,0.106782,0.092177
2.0101,56.336680,0.097408,-0.009841,-0.000000,0.016941,0.003507,0,0.099161,30,0.107240,0.092214
2.0201,56.336784,0.097408,0.006419,-0.000000,0.016073,0.003507,0,0.099161,40,0.107133,0.092591
2.0301,56.336784,0.097408,-0.001092,-0.000000,0.015898,0.003507,0,0.099161,50,0.107285,0.090804
2.0401,56.336681,0.097408,-0.007836,-0.000000,0.016789,0.003507,0,0.099161,60,0.106700,0.093668
2.0501,56.336686,0.097408,0.003273,-0.000000,0.016723,0.003507,0,0.099161,70,0.106897,0.093253
2.0601,56.336787,0.097408,0.006866,-0.000000,0.015189,0.003507,0,0.099161,80,0.107942,0.092794
2.0701,56.336678,0.097408,-0.007580,-0.000000,0.016186,0.003507,0,0.099161,90,0.108157,0.092605
2.0801,56.336697,0.097395,0.016690,-0.015485,0.017061,0.003665,0,0.099161,100,0.107356,0.092906
2.0901,56.336685,0.097407,0.001592,-0.001797,0.016958,0.003389,0,0.099161,110,0.107177,0.094596
2.1001,56.336786,0.097408,0.002861,-0.000208,0.015872,0.003499,0,0.099161,120,0.108189,0.091813
2.1101,56.336685,0.097408,-0.001025,-0.000024,0.016995,0.003505,0,0.099161,130,0.108531,0.091099
2.1201,56.336688,0.097408,0.000186,-0.000003,0.016048,0.003507,0,0.099161,140,0.108807,0.091826
2.1301,56.336777,0.097408,-0.006178,-0.000000,0.017092,0.003507,0,0.099161,150,0.108084,0.095500
2.1401,56.336867,0.097408,-0.009284,-0.000000,0.017898,0.003507,0,0.099161,160,0.107817,0.091799
2.1501,56.336706,0.097408,0.014789,-0.000000,0.016187,0.003507,0,0.099161,170,0.108549,0.092028
2.1601,56.336780,0.097408,-0.000377,-0.000000,0.016367,0.003507,0,0.099161,180,0.109110,0.092423
2.1701,56.336677,0.097408,-0.006135,-0.000000,0.017452,0.003507,0,0.099161,189,0.108975,0.092273
2.1801,56.336688,0.097408,0.006303,-0.000000,0.016866,0.003507,0,0.099161,200,0.108816,0.092249
2.1901,56.336884,0.097408,0.005551,-0.000000,0.015945,0.003507,0,0.099161,210,0.108431,0.093551
2.2001,56.336675,0.097408,-0.011081,-0.000000,0.017206,0.003507,0,0.099161,218,0.108742,0.092859
2.2101,56.336683,0.097408,0.001432,-0.000000,0.017123,0.003507,0,0.099161,230,0.109390,0.093220
2.2201,56.336784,0.098175,-0.001212,-0.000000,0.025749,-0.005697,0,0.099161,240,0.109611,0.094067
2.2301,56.336762,0.097408,-0.016483,-0.000000,0.010764,0.011177,0,0.099161,249,0.109060,0.094143
2.2401,56.336867,0.097408,-0.004443,-0.000000,0.018891,0.003507,0,0.099161,3,0.108517,0.093789
2.2501,56.337279,0.097408,0.015816,-0.000000,0.015626,0.003507,0,0.099161,14,0.110092,0.093153
2.2601,56.336866,0.097408,-0.011737,-0.000000,0.017682,0.003507,0,0.099161,24,0.110291,0.095107
2.2701,56.336967,0.097408,-0.003779,-0.000000,0.017869,0.003507,0,0.099161,34,0.110313,0.095159
2.2801,56.337065,0.097408,-0.003398,-0.000000,0.016910,0.003507,0,0.099161,44,0.109588,0.094872
2.2901,56.337058,0.097408,-0.010795,-0.000000,0.018028,0.003507,0,0.099161,54,0.109369,0.095050
2.3001,56.337079,0.097408,0.011801,-0.000000,0.016791,0.003507,0,0.099161,64,0.109898,0.094877
2.3101,56.337079,0.097408,0.008940,-0.000000,0.015654,0.003507,0,0.099161,74,0.110864,0.095425
2.3201,56.336866,0.098175,-0.010440,-0.000000,0.026517,-0.005697,0,0.099161,83,0.110747,0.094991
2.3301,56.337058,0.097401,-0.007626,-0.006543,0.011310,0.011263,0,0.099161,94,0.109850,0.095674
2.3401,56.337164,0.097407,-0.000003,-0.000759,0.018246,0.003444,0,0.099161,103,0.109264,0.096726
2.3501,56.337261,0.097408,0.009478,-0.000088,0.016581,0.003501,0,0.099161,114,0.110982,0.096119
2.3601,56.337073,0.097408,0.006769,-0.000010,0.017165,0.003506,0,0.099161,124,0.110966,0.096610
2.3701,56.337256,0.097408,-0.009420,-0.000001,0.018052,0.003507,0,0.099161,134,0.110940,0.097455
2.3801,56.337061,0.097408,-0.006052,-0.000000,0.018078,0.003507,0,0.099161,143,0.110654,0.096492
2.3901,56.337057,0.097408,-0.003945,-0.000000,0.018361,0.003507,0,0.099161,154,0.110126,0.096608
2.4001,56.337174,0.097408,0.011670,-0.000000,0.016415,0.003507,0,0.099161,164,0.110574,0.097706
2.4101,56.337157,0.097408,-0.008551,-0.000000,0.017727,0.003507,0,0.099161,174,0.111675,0.097385
2.4201,56.337054,0.098175,-0.013310,-0.000000,0.028705,-0.005697,0,0.099161,184,0.111540,0.096807
2.4301,56.337165,0.097408,-0.002029,-0.000000,0.011036,0.011177,0,0.099161,193,0.110860,0.097210
2.4401,56.337252,0.097408,-0.007893,-0.000000,0.019272,0.003507,0,0.099161,204,0.110001,0.098584
2.4501,56.337460,0.097408,0.008431,-0.000000,0.018125,0.003507,0,0.099161,212,0.111606,0.097542
2.4601,56.337067,0.098175,-0.000679,-0.000000,0.027037,-0.005697,0,0.099161,224,0.111889,0.097697
2.4701,56.337248,0.097408,-0.008939,-0.000000,0.010798,0.011177,0,0.099161,234,0.112330,0.097610
