t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,16.179048,-0.242369,0.000256,-0.000000,0.022212,-0.033099,1,17.504390,192,0.061247,0.058120
0.0101,16.179535,-0.243143,0.024975,-0.023824,0.013467,-0.023807,1,17.504390,202,0.060870,0.057910
0.0201,16.179239,-0.242369,0.008280,-0.002764,0.030413,-0.040837,1,17.504390,212,0.061694,0.057743
0.0301,16.179250,-0.241602,0.013642,-0.000321,0.029305,-0.042305,1,17.504390,222,0.062185,0.055768
0.0401,16.179132,-0.242369,-0.014672,-0.000037,0.015375,-0.025432,1,17.504390,232,0.062201,0.056974
0.0501,16.179902,-0.242397,0.000822,-0.036656,0.024478,-0.032761,1,17.504390,242,0.060853,0.055905
0.0601,16.179718,-0.242369,0.012739,-0.004253,0.022527,-0.033381,1,17.504390,252,0.061692,0.057703
0.0701,16.179731,-0.242369,0.013818,-0.000493,0.021144,-0.033095,1,17.504390,6,0.062336,0.055125
0.0801,16.179824,-0.242369,0.014663,-0.000057,0.021499,-0.033103,1,17.504390,16,0.063567,0.055833
0.0901,16.179911,-0.242369,0.003155,-0.000007,0.021618,-0.033100,1,17.504390,26,0.063227,0.055505
0.1001,16.179817,-0.242369,0.005767,-0.000001,0.021602,-0.033099,1,17.504390,36,0.062138,0.055815
0.1100,16.179815,-0.241602,0.005165,-0.000000,0.030910,-0.042303,1,17.504390,46,0.062290,0.057147
0.1200,16.179820,-0.242369,0.010918,-0.000000,0.013034,-0.025429,1,17.504390,56,0.063272,0.056245
0.1300,16.180000,-0.242369,-0.015526,-0.000000,0.022716,-0.033099,1,17.504390,66,0.063455,0.057211
0.1401,16.179814,-0.241602,0.000636,-0.000000,0.031107,-0.042303,1,17.504390,76,0.063947,0.057100
0.1501,16.179818,-0.242369,0.010878,-0.000000,0.013523,-0.025429,1,17.504390,86,0.063575,0.056261
0.1601,16.180388,-0.242369,-0.008482,-0.000000,0.022588,-0.033099,1,17.504390,96,0.063730,0.057923
0.1701,16.180396,-0.242369,0.008863,-0.000000,0.020951,-0.033099,1,17.504390,106,0.063215,0.054073
0.1801,16.180016,-0.242369,0.012428,-0.000000,0.020103,-0.033099,1,17.504390,115,0.063771,0.054583
0.1901,16.180294,-0.242369,0.003367,-0.000000,0.021068,-0.033099,1,17.504390,126,0.064455,0.054721
0.2001,16.180197,-0.242369,-0.000471,-0.000000,0.021060,-0.033099,1,17.504390,136,0.064011,0.054106
0.2100,16.180201,-0.242369,0.003189,-0.000000,0.021196,-0.033099,1,17.504390,146,0.063333,0.054237
0.2201,16.180201,-0.242369,0.006950,-0.000000,0.020473,-0.033099,1,17.504390,156,0.064130,0.054981
0.2301,16.180198,-0.242369,0.001554,-0.000000,0.020762,-0.033099,1,17.504390,166,0.065105,0.055081
0.2401,16.180197,-0.242369,-0.001049,-0.000000,0.021344,-0.032297,1,17.504390,176,0.064430,0.054497
0.2501,16.180200,-0.242369,0.000096,-0.000000,0.020833,-0.027358,1,17.504390,186,0.064159,0.054934
0.2601,16.180195,-0.241602,-0.007467,-0.000000,0.030793,-0.026410,1,17.504390,196,0.064707,0.055500
0.2701,16.180201,-0.241602,0.011707,-0.000000,0.021672,-0.007931,1,17.504390,206,0.065240,0.055055
0.2801,16.180589,-0.241602,0.027605,-0.000000,0.020195,-0.000446,1,17.504390,216,0.065824,0.055267
0.2901,16.180699,-0.240835,0.078329,-0.000000,0.024425,-0.006362,1,17.504390,226,0.067428,0.054122
0.3001,16.180518,-0.239298,0.111620,0.010066,0.028080,-0.018844,1,17.504390,236,0.068718,0.052529
0.3100,16.180602,-0.238534,0.135579,0.001168,0.016477,-0.019103,1,17.504390,246,0.069563,0.053128
0.3201,16.180710,-0.237000,0.111337,0.000136,0.026262,-0.035466,1,17.504390,0,0.068306,0.053114
0.3301,16.180559,-0.236233,0.084557,0.000016,0.019506,-0.031342,1,17.504390,10,0.065592,0.050084
0.3401,16.180681,-0.236233,0.063504,0.000002,0.013975,-0.021292,1,17.504390,19,0.065100,0.054563
0.3501,16.180681,-0.235466,0.053638,0.000000,0.023546,-0.022924,1,17.504390,30,0.065263,0.055964
0.3601,16.180631,-0.235466,0.055321,0.000000,0.014068,-0.001883,1,17.504390,40,0.065888,0.051176
0.3701,16.180781,-0.234699,0.069867,0.000000,0.022643,0.004294,1,17.504390,50,0.067216,0.053759
0.3801,16.180644,-0.233097,0.075396,0.097128,0.024232,0.005499,1,17.504390,60,0.068269,0.050521
0.3901,16.180685,-0.231610,0.130901,0.024355,0.020463,0.012836,1,17.504390,70,0.068779,0.049085
0.4001,16.180806,-0.229311,0.140432,0.078787,0.027781,0.004889,1,17.504390,80,0.069907,0.050960
0.4101,16.180791,-0.226981,0.067333,0.187737,0.022351,-0.000506,1,17.504390,90,0.070984,0.049890
0.4201,16.180987,-0.224711,0.134004,0.108172,0.021321,-0.010670,1,17.504390,100,0.072328,0.049461
0.4301,16.181015,-0.222408,0.147345,0.051187,0.021929,-0.023814,1,17.504390,110,0.072525,0.048504
0.4401,16.180839,-0.220891,0.173806,0.005939,0.016051,-0.024549,1,17.504390,120,0.071561,0.049007
0.4501,16.181005,-0.220126,0.118585,0.000689,0.013351,-0.020615,1,17.504390,130,0.069368,0.050407
0.4601,16.180985,-0.219359,0.089429,0.000080,0.017185,-0.022236,1,17.504390,140,0.067720,0.051910
0.4701,16.180811,-0.218592,0.094181,0.000009,0.016892,-0.022972,1,17.504390,150,0.067408,0.051054
0.4801,16.180891,-0.217825,0.074541,0.000001,0.018964,-0.019573,1,17.504390,160,0.068544,0.051902
0.4901,16.180910,-0.217825,0.053020,0.000000,0.011318,-0.001755,1,17.504390,170,0.069164,0.049760
0.5001,16.180979,-0.217825,0.052506,0.000000,0.011863,0.009057,1,17.504390,180,0.069540,0.050519
0.5101,16.181118,-0.217058,0.079034,0.000000,0.017004,0.008946,1,17.504390,190,0.069506,0.046362
0.5201,16.180913,-0.215497,0.070583,0.039309,0.022941,0.011049,1,17.504390,199,0.072789,0.045432
0.5301,16.180936,-0.213987,0.108794,0.004561,0.022636,0.027928,1,17.504390,210,0.075456,0.045240
0.5401,16.181119,-0.213223,0.115472,0.000529,0.014561,0.059412,1,17.504390,220,0.075819,0.044279
0.5501,16.181141,-0.210912,0.166746,0.020192,0.026447,0.068441,1,17.504390,230,0.075208,0.041903
0.5601,16.181017,-0.206919,0.093557,0.283574,0.030671,0.074678,1,17.504390,240,0.078767,0.038849
