t,theta_big,theta_small,dtheta_big,dtheta_small,tau_big,tau_small,axis,held_target,mcu2_seq,gravity_ax,gravity_ay
0.0001,42.012636,0.004602,0.003370,-0.000000,0.052734,0.000000,1,20.279385,122,0.189453,-0.143184
0.0101,42.012733,0.004602,0.001648,-0.000000,0.010613,-0.000802,1,20.279385,132,0.189453,-0.143757
0.0201,42.014842,0.004602,0.015613,-0.000000,0.018652,-0.005741,1,20.279385,142,0.189979,-0.142089
0.0301,42.020121,0.004602,0.010253,-0.000000,0.039235,-0.016280,1,20.279385,152,0.190405,-0.143695
0.0401,42.022894,0.004602,-0.001574,-0.000000,0.074490,-0.033208,1,20.279385,162,0.190458,-0.144225
0.0501,42.025962,0.003811,0.018551,-0.097128,0.112581,-0.046312,1,20.279385,172,0.189893,-0.142151
0.0601,42.035598,0.002193,0.085751,-0.196408,0.160636,-0.060689,1,20.279385,182,0.189462,-0.142156
0.0701,42.056178,-0.001609,0.078429,-0.330606,0.201235,-0.060113,1,20.279385,192,0.190416,-0.139882
0.0801,42.079605,-0.008055,0.071574,-0.591791,0.254482,-0.052664,1,20.279385,202,0.196759,-0.141761
0.0901,42.082414,-0.017971,0.250696,-0.971206,0.307107,-0.032941,1,20.279385,212,0.208632,-0.136913
0.1001,42.085989,-0.030127,0.604425,-1.184883,0.342454,-0.021811,1,20.279385,222,0.195460,-0.140609
0.1101,42.095807,-0.043801,0.836353,-1.377533,0.385464,-0.012827,1,20.279385,231,0.188825,-0.139693
0.1201,42.104521,-0.058141,0.969443,-1.419151,0.445881,-0.008076,1,20.279385,242,0.196320,-0.138146
0.1301,42.113752,-0.070649,1.036316,-1.368063,0.527695,-0.028188,1,20.279385,252,0.195834,-0.142808
0.1401,42.124722,-0.084325,1.105156,-1.362135,0.586632,-0.011437,1,20.279385,6,0.193707,-0.146621
0.1501,42.135777,-0.097918,1.205992,-1.454016,0.666821,-0.001990,1,20.279385,16,0.191812,-0.142240
0.1601,42.149193,-0.112073,1.318652,-1.428025,0.740575,0.021192,1,20.279385,26,0.185315,-0.143676
0.1701,42.161486,-0.124479,1.449757,-1.357991,0.836273,0.024034,1,20.279385,36,0.171283,-0.146878
0.1801,42.173300,-0.135648,1.542274,-1.207921,0.920126,0.033318,1,20.279385,46,0.165105,-0.149696
